no,timestamp,teks,teks_processed,text_length,length_category
15,2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat,butuh kebijakan konkret untuk eksplorasi energipanasbumi untuk butuh listrik nasional yang makin tingkat,104,sedang
16,2016-12-29T03:14:38.000Z,Mr Sandi CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR Salam Profesional,mr sandi CA mohon bantu untuk tanda tangan petisi ke ketua dan wkl ketua DPR salam profesional,94,sedang
17,2016-12-29T00:49:57.000Z,Pagi all tiada yang lebih baik dari silaturrahim dengan konstituen Tetap menyambangi rakyat Edisi Reses,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap sambang rakyat edisi reses,99,sedang
18,2016-12-28T12:33:03.000Z,Anggota Komisi II DPR RI Hetifah Gelar Reses di Kabupaten Berau,anggota komisi II DPR RI hetifah gelar reses di kabupaten rau,61,sedang
19,2016-12-28T11:56:37.000Z,Reses Anggota DPR RI Viktor Bungtilu Laiskodat di Desa Merbaun Tofa Kec Amarasi Barat Kab Kupang NTT,reses anggota DPR RI viktor bungtilu laiskodat di desa merbaun tofa kec amarasi barat kab kupang NTT,100,sedang
20,2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE,ketua panja RUU revisi ITE TB hasanuddin sampai muat materi UU ubah UU ITE,74,sedang
21,2016-12-28T03:55:30.000Z,Gelar Peringatan Maulid Nabi dan Reses Anggota DPR RI Komisi VIII klik,gelar ingat maulid nabi dan reses anggota DPR RI komisi VII klik,64,sedang
22,2016-12-27T16:01:19.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang,62,sedang
23,2016-12-27T15:50:22.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang via,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang via,66,sedang
24,2016-12-27T14:37:18.000Z,Anggota DPR RI EE Mangindaan Manfaatkan Massa Reses di Desa Esandom Minahasa Tenggara,anggota DPR RI EE mangindaan manfaat rakyat reses di desa esandom minahasa tenggara,83,sedang
25,2016-12-27T07:13:56.000Z,Demikian ulasan singkat tentang Masa Reses DPR semoga bermanfaat bagi kita semua ResesDPR,demikian ulas singkat tentang masa reses DPR moga manfaat bagi kita semua resesdpr,82,sedang
26,2016-12-27T07:08:59.000Z,Masa Reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya ResesDPR,masa reses ini harap dapat manfaat dengan maksimal oleh masyarakat untuk sampai aspirasi pembangunan daerah resesdpr,116,sedang
27,2016-12-27T07:07:13.000Z,Yg perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama Masa Reses ditindaklanjuti sesuai mekanisme ResesDPR,yang perlu ingat kita paham sama bahwa DPR bukan eksekutor jadi temu lama masa reses ditindaklanjuti sesuai mekanisme resesdpr,126,sedang
28,2016-12-27T07:06:25.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR,dasar tatib DPR pasal ayat hasil reses sebut lapor cara tulis oleh anggota kepada partai masing masing resesdpr,111,sedang
29,2016-12-27T07:06:11.000Z,Kegiatan reses para Anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas ResesDPR,giat reses para anggota DPR pelaksanaan cara transparan dan ada pertanggungjawaban yang jelas resesdpr,102,sedang
30,2016-12-27T07:05:57.000Z,Pada Masa Persidangan aspirasi masukan masyarakat selama Masa Reses akan disampaikan dibahas dg pemerintah saat Rapat Kerja ResesDPR,pada masa sidang aspirasi masuk masyarakat lama masa reses akan sampai bahas dengan pemerintah saat rapat kerja resesdpr,120,sedang
31,2016-12-27T07:05:31.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR,pada masa reses DPR laksana tugas serap aspirasi masyarakat yang kait dengan laksana fungsi dan tugas DPR resesdpr,114,sedang
32,2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR,masa reses sendiri tuang dalam UU MD no dan pengaturan DPR no tentang tata tertib DPR resesdpr,94,sedang
33,2016-12-27T07:05:01.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR,masa reses bukan arti para anggota DPR tidak kerja namuan aktivitas pelaksanaan di daerah utama di daerah pilih resesdpr,120,sedang
34,2016-12-27T07:04:08.000Z,Dalam Masa Reses Anggota DPR akan melakukan kunjungan ke Dapil maupun kunjungan ke daerah lainnya dengan Alat Kelengkapan Dewan ResesDPR,dalam masa reses anggota DPR akan pelaksanaan kunjung ke dapil maupun kunjung ke daerah lain dengan alat lengkap dewan resesdpr,127,sedang
35,2016-12-27T07:02:47.000Z,Masa Reses adalah masa dimana Anggota DPR melakukan kegiatan di luar Masa Sidang terutama di luar gedung DPR ResesDPR,masa reses adalah masa mana anggota DPR pelaksanaan giat di luar masa sidang utama di luar gedung DPR resesdpr,110,sedang
36,2016-12-27T07:00:49.000Z,Masa Reses DPR Masa Persidangan II Tahun Sidang akan berlangsung dari tanggal Desember hingga Januari ResesDPR,masa reses DPR masa sidang II tahun sidang akan langsung dari tanggal desember hingga januari resesdpr,102,sedang
37,2016-12-27T06:59:33.000Z,Selamat sore Sahabat Parle Saat ini DPR RI sedang memasuki Masa Reses Masa Persidangan II Tahun Sidang ResesDPR,selamat sore sahabat parle saat ini DPR RI sedang pasuk masa reses masa sidang II tahun sidang resesdpr,103,sedang
38,2016-12-27T03:09:09.000Z,Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga,reses di sinjai anggota DPR RI nasyid umar jemput keluh warga,61,sedang
39,2016-12-27T02:16:01.000Z,Kabarnya memanfaatkan waktu reses ini wakil rakyat daerah pemilihan Nusa Tenggara Timur NTT itu memboyong,kabar manfaat waktu reses ini wakil rakyat daerah pilih nusa tenggara timur NTT itu boyong,90,sedang
40,2016-12-26T10:35:17.000Z,KUNINGAN KAPOL Reses Anggota DPR RI bisa dilakukan dengan berbagai cara Namun bagi KH Asep Maosul Affandi,KUNINGAN KAPOL reses anggota DPR RI dapat pelaksanaan dengan bagai cara tetapi bagi KAH asep maosul affandi,107,sedang
41,2016-12-26T08:41:36.000Z,CC Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,CC anggota DPR ini minta kebijakan bebas visa cabut,51,sedang
42,2016-12-26T05:11:02.000Z,Inilah indikator kesuksesan reses Anggota DPR RI,ini indikator sukses reses anggota DPR RI,41,pendek
43,2016-12-26T04:16:32.000Z,Ada misi Anggota DPR ketika masa reses Pertama untuk membangun akuntabilitas politik cc,ada misi anggota DPR ketika masa reses pertama untuk bangun akuntabilitas politik cc,84,sedang
44,2016-12-26T03:42:57.000Z,Siang teman teman Tgl Des Jan anggota melaksanakan reses Apa yg perlu kt ketahui sbg konstituen? cc,siang teman teman tanggal des jangan anggota laksana reses apa yang perlu kita tahu bagai konstituen ? cc,105,sedang
45,2016-12-26T03:29:55.000Z,Akan Bentuk Pansus Pekerja Asing Ilegal SEGERA Tinjau Ulang Kebijakan Bebas Visa dengan RRC Pak,akan bentuk pansus kerja asing ilegal SEGERA tinjau ulang kebijakan bebas visa dengan RRC pak,93,sedang
46,2016-12-26T01:01:22.000Z,Terkait Kegiatan Reses Anggota DPR RI KPU dan Panwaslih Diuji Profesionalismenya,kait giat reses anggota DPR RI KPU dan panwaslih uji profesionalisme,68,sedang
47,2016-12-25T15:07:03.000Z,Reses di Bone Anggota DPR RI Akbar Faisal Sampaikan ini,reses di bone anggota DPR RI akbar faisal sampai ini,52,sedang
48,2016-12-25T08:09:14.000Z,Temuan Komisi IX DPR RI Serbuan Buruh China Akibat Kebijakan Bebas Visa,temu komisi IX DPR RI serbu buruh china akibat kebijakan bebas visa,67,sedang
49,2016-12-25T01:14:32.000Z,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila? dprkemana,kemankalian saat rakyat jerit karena kebijakan eksekutip yang gila ? dprkemana,78,sedang
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI rekomendasi kepada pem agar tinjau ulang kebijakan bebas visa,94,sedang
51,2016-12-24T11:47:15.000Z,KTweets Komunitas Disabilitas Serahkan Draft RUU Penyandang Disabilitas ke Sekjen DPR RI RUUDisabilitas,ktweets komunitas disabilitas serah draft RUU sandang disabilitas ke sekjen DPR RI ruudisabilitas,97,sedang
52,2016-12-24T10:44:44.000Z,Konsolidasi Pendidikan Politik DPD Golkar Kota Semarang Reses Anggota DPR RI Mujib Rohmad,konsolidasi didik politik DPD golkar kota semarang reses anggota DPR RI mujib rohmad,84,sedang
53,2016-12-24T10:02:14.000Z,DPR Minta Pemerintah Evaluasi Kebijakan Bebas Visa Komisi IX DPR RI merekomendasikan kepada pemerintah untuk,DPR minta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI rekomendasi kepada pemerintah untuk,103,sedang
54,2016-12-24T09:32:54.000Z,Reses Anggota DPR RI Drs H Dadang S Muchtar Bersama Masyarakat Desa Pasirtalaga Kecamatan Telagasari Kabupaten Karawang Desember,reses anggota DPR RI drs h dadang si muchtar sama masyarakat desa pasirtalaga camat telagasari kabupaten karawang desember,122,sedang
55,2016-12-24T02:57:25.000Z,Bayangkan bila anggota dpr dlm reses nya mensosialisasikan tax amnesti pasti efek nya positif tuk menyakin kan rakyat Tujuan ini program,bayang bila anggota dpr dalam reses nya sosialisasi tax amnesti pasti efek nya positif untuk menyakin kan rakyat tuju ini program,129,sedang
56,2016-12-23T21:07:30.000Z,BaBekasihtau Rencana Kebijakan Redenominasi Ini Pandangan Positif Anggota DPR,babekasihtau rencana kebijakan redenominasi ini pandang positif anggota DPR,75,sedang
57,2016-12-23T21:06:09.000Z,body status Dewibet Jkt Rencana Kebijakan uangrupiah redenominasi surabaya TeamK wanita dewi,body status dewibet jakarta rencana kebijakan uangrupiah redenominasi surabaya teamk wanita dewi,96,sedang
58,2016-12-23T20:56:28.000Z,Rencana Kebijakan Redenominasi Ini Pandangan Positif Anggota DPR,rencana kebijakan redenominasi ini pandang positif anggota DPR,62,sedang
59,2016-12-23T16:26:59.000Z,Ratusan Pekerja Ilegal China Ditangkap Kebijakan BEBAS VISA perlu DITINJAU ULANG,ratus kerja ilegal china tangkap kebijakan BEBAS VISA perlu TINJAU ULANG,72,sedang
60,2016-12-23T15:36:09.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,anggota DPR ini minta kebijakan bebas visa cabut goaceh,55,sedang
61,2016-12-23T14:46:16.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,anggota DPR ini minta kebijakan bebas visa cabut,48,pendek
62,2016-12-23T14:45:13.000Z,Sudah seharusnya di tinjau ulang Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,sudah harus di tinjau ulang anggota DPR ini minta kebijakan bebas visa cabut,76,sedang
63,2016-12-23T14:32:35.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,bikin resah masyarakat anggota DPR ini minta kebijakan bebas visa cabut goaceh,78,sedang
64,2016-12-23T11:54:13.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bikin resah masyarakat anggota DPR ini minta kebijakan bebas visa cabut,71,sedang
65,2016-12-23T09:46:38.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,komisi VII harap RUU kerja sosial masuk prolegnas,49,pendek
66,2016-12-23T09:46:15.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas info,komisi VII harap RUU kerja sosial masuk prolegnas info,54,sedang
67,2016-12-23T09:46:06.000Z,Dwi Murdaningsih Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,dwi murdaningsih komisi VII harap RUU kerja sosial masuk prolegnas,66,sedang
68,2016-12-23T09:44:26.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas News,komisi VII harap RUU kerja sosial masuk prolegnas news,54,sedang
69,2016-12-23T09:43:20.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas ROL,komisi VII harap RUU kerja sosial masuk prolegnas ROL,53,sedang
70,2016-12-23T09:41:28.000Z,republikaonline Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,republikaonline komisi VII harap RUU kerja sosial masuk prolegnas,65,sedang
71,2016-12-23T09:36:12.000Z,Bilal Ramadhan Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bilal ramadhan anggota DPR ini minta kebijakan bebas visa cabut,63,sedang
72,2016-12-23T09:33:08.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut ROL,anggota DPR ini minta kebijakan bebas visa cabut ROL,52,sedang
73,2016-12-23T09:31:25.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut info,anggota DPR ini minta kebijakan bebas visa cabut info,53,sedang
74,2016-12-23T09:31:11.000Z,republikaonline Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,republikaonline anggota DPR ini minta kebijakan bebas visa cabut,64,sedang
75,2016-12-23T09:29:07.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut News,anggota DPR ini minta kebijakan bebas visa cabut news,53,sedang
76,2016-12-23T09:16:21.000Z,DPR Minta Kebijakan Bebas Visa Dicabut,DPR minta kebijakan bebas visa cabut,36,pendek
77,2016-12-23T09:02:12.000Z,Cc RT JK Sebut Kebijakan Bebas Visa Perlu Dievaluasi,cc RT JIKA sebut kebijakan bebas visa perlu evaluasi,52,sedang
78,2016-12-23T06:02:31.000Z,Anggota DPR RI Gelar Reses di Desa Siberida Kecamatan Batang Gansal,anggota DPR RI gelar reses di desa siberida camat batang gansal,63,sedang
79,2016-12-23T04:24:14.000Z,Kunjungi Ponpes Tazaka Anggota DPR Minta Masukan soal RUU Ponpes,kunjung ponpes tazaka anggota DPR minta masuk soal RUU ponpes,61,sedang
80,2016-12-22T14:07:26.000Z,Reses A DPR RI Jaring aspirasi Kamis malam,reses a DPR RI jaring aspirasi kamis malam,42,pendek
81,2016-12-22T13:53:37.000Z,JMR JAringRadio DPR RI Pemberdayaan ekonomi sangat penting u tekan terorisme bahkan kebijakan bebas Visa jg harus dihapus Cc,JMR jaringradio DPR RI daya ekonomi sangat penting kamu tekan terorisme bahkan kebijakan bebas visa juga harus hapus cc,119,sedang
82,2016-12-22T08:16:25.000Z,Pemerintah Diminta Evaluasi Kebijakan Bebas Visa,pemerintah minta evaluasi kebijakan bebas visa,46,pendek
83,2016-12-21T10:15:01.000Z,Kebijakan Bebas Visa Hilangkan Potensi Pendapatan Negara Rp Triliun,kebijakan bebas visa hilang potensi dapat negara rp triliun,59,sedang
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumah reses dan silaturahim sama anggota DPR RI pkbmembelarakyat,72,sedang
85,2016-12-21T07:25:06.000Z,RUU ini merupakan inisiatif dari DPR RI telah penuhi tata tertib dan segala peraturan DPR RI baleg,RUU ini rupa inisiatif dari DPR RI telah penuh tata tertib dan segala pengaturan DPR RI baleg,93,sedang
86,2016-12-21T06:15:58.000Z,Anggota DPR Minta Kebijakan Bebas Visa Dievaluasi,anggota DPR minta kebijakan bebas visa evaluasi,47,pendek
87,2016-12-21T04:31:12.000Z,Edhie Baskoro Yudhoyono atau yg biasa disapa Ibas anggota DPR RI dari Partai Demokrat kembali melakukan reses,edhie baskoro yudhoyono atau yang biasa sapa ibas anggota DPR RI dari partai demokrat kembali pelaksanaan reses,111,sedang
88,2016-12-21T04:22:05.000Z,Anggota DPR RI ini menilai kebijakan penambahan biaya visa riyal Saudi bagi jemaah umrah itu hal positif,anggota DPR RI ini nilai kebijakan tambah biaya visa riyal saudi bagi jemaah umrah itu hal positif,98,sedang
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,haru wakil rakyat terlalu banyak waktu untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang wakil,123,sedang
90,2016-12-20T15:40:47.000Z,Anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,anggota DPR nilai kebijakan bebas visa picu banyak TKA yang kerja cara ilegal,77,sedang
91,2016-12-20T12:22:48.000Z,DPR Desak Pemerintah Evaluasi Kebijakan Bebas Visa Wakil Ketua Komisi IX DPR RI Saleh Partaonan Daulay menilai,DPR desakan pemerintah evaluasi kebijakan bebas visa wakil ketua komisi IX DPR RI saleh partaonan daulay nilai,110,sedang
92,2016-12-20T12:17:29.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,kebijakan bebas visa nilai perlu evaluasi,41,pendek
93,2016-12-20T09:28:30.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi info,kebijakan bebas visa nilai perlu evaluasi info,46,pendek
94,2016-12-20T09:28:19.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi News,kebijakan bebas visa nilai perlu evaluasi news,46,pendek
95,2016-12-20T09:27:27.000Z,Dwi Murdaningsih Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,dwi murdaningsih kebijakan bebas visa nilai perlu evaluasi,58,sedang
96,2016-12-20T07:50:32.000Z,Berkunjung ke DPR RI diterima Setjen bagian Bamus Krn DPR RInya masa reses,kunjung ke DPR RI terima setjen bagi bamus karena DPR rinya masa reses,70,sedang
97,2016-12-20T05:18:42.000Z,Anggota Komisi I DPR RI Jazuli Juwaini data Dirjen Imigrasi Kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah Tiongkok,anggota komisi i DPR RI jazuli juwaini data dirjen imigrasi kemenkumham WNA paling banyak langgar kebijakan bebas visa adalah tiongkok,134,sedang
98,2016-12-20T05:17:26.000Z,Anggota Komisi I DPR RI Jazuli Juwaini munculnya kekhawatiran dugaan pelanggaran WNA yg memanfaatkan kebijakan pemerintah pembebasan visa,anggota komisi i DPR RI jazuli juwaini muncul khawatir duga langgar WNA yang manfaat kebijakan pemerintah bebas visa,116,sedang
99,2016-12-20T05:01:48.000Z,rakyat kritikmu mengenai kebijakan presiden kerjasama dng Iran dan kebebasan ormas asing dalam negri RI,rakyat kritikan kena kebijakan presiden kerjasama dengan iran dan bebas ormas asing dalam negeri RI,99,sedang
100,2016-12-20T04:46:41.000Z,berantas kebijakan sewenang wenang pak allahuakbar,berantas kebijakan wenang wenang pak allahuakbar,48,pendek
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI via,86,sedang
102,2016-12-19T23:57:42.000Z,good permintaan DPR RI utk evaluasi kebijakan pemerinth bebas visa cumlaude,good minta DPR RI untuk evaluasi kebijakan pemerinth bebas visa cumlaude,72,sedang
103,2016-12-19T23:23:08.000Z,semoga Ruu ini bisa Segera selesai dan disahkan sebagai UU AMIN,moga ruu ini dapat segera selesai dan sah bagai UU AMIN,55,sedang
104,2016-12-19T23:18:25.000Z,Knp diam?FungsiDPR apa?Jd penontn? DPR Sdh Lama Waspadai Dampak Buruk Kebijakan Bebas Visa,kenapa diam ? fungsidpr apa ? jd penontn ? DPR sudah lama waspada dampak buruk kebijakan bebas visa,99,sedang
105,2016-12-19T22:45:44.000Z,Kunjungan Kerja Anggota Komisi II DPR RI di dalam masa reses persidangan thn cc,kunjung kerja anggota komisi II DPR RI di dalam masa reses sidang tahun cc,74,sedang
106,2016-12-19T17:40:17.000Z,Emnu Azamri Sebagai Wakil Rakyat Saya Tak Takut Reses,emnu azamri bagai wakil rakyat saya tak takut reses,51,sedang
107,2016-12-19T15:57:14.000Z,Sahkan Revisi Undang Undang Aparatur Sipil Negara SahkanRevisiUUASN,sahkan revisi undang undang aparatur sipil negara sahkanrevisiuuasn,67,sedang
108,2016-12-19T12:34:24.000Z,Jika salah kebijakan yg bahayakan keutuhan kdaulatan negara rakyat jgn takut ingatkan demi bangsa,jika salah kebijakan yang bahaya utuh kdaulatan negara rakyat jangan takut ingat demi bangsa,92,sedang
109,2016-12-19T11:58:15.000Z,Hari ini brsm pimpinan anggota Komisi V DPR RI dg didampingi mitra kerja komisi melakukan Kunker masa Reses ke NTB,hari ini brsm kepemimpinan anggota komisi v DPR RI dengan damping mitra kerja komisi pelaksanaan kunker masa reses ke NTB,121,sedang
110,2016-12-19T11:20:09.000Z,hrs kaji kebijakan jika langgar konstitusi RI maka lengserkan dg konstitusi bkn makar,harus kaji kebijakan jika langgar konstitusi RI maka lengser dengan konstitusi bukan makar,90,sedang
111,2016-12-19T10:53:11.000Z,Wakil Rakyat Ini Beberkan Argumen Telak untuk Tolak Komunisme di Indonesia,wakil rakyat ini kan argumen telak untuk penolakan komunisme di indonesia,73,sedang
112,2016-12-19T09:49:06.000Z,Anggota Komisi II DPR RI Keberatan dengan Revisi Undang Undang ASN,anggota komisi II DPR RI berat dengan revisi undang undang ASN,62,sedang
113,2016-12-19T04:21:05.000Z,Harap seluruh anggota dpr agar reses ka suriah bantu pengungsi suriah kalian kan perpanjang tangan rakyat kesana kalian bantu,harap seluruh anggota dpr agar reses kak suriah bantu ungsi suriah kalian kan panjang tangan rakyat kesana kalian bantu,119,sedang
114,2016-12-19T04:16:26.000Z,DPR Minta Pemerintah Konkret di Krisis Suriah via,DPR minta pemerintah konkret di krisis suriah via,49,pendek
115,2016-12-19T02:45:01.000Z,Siapa bilang Dewan Perwakilan Rakyat bekerja lambat? Revisi Undang Undang tentang MPR DPR DPD dan DPRD,siapa bilang dewan wakil rakyat kerja lambat ? revisi undang undang tentang MPR DPR DPD dan DPRD,96,sedang
116,2016-12-19T02:25:00.000Z,IPC Beri Masukan RUU Migas Ini Tanggapan BKD DPR RI,IPC beri masuk RUU migas ini tanggap BKD DPR RI,47,pendek
117,2016-12-19T02:10:10.000Z,body status Dewibet Jkt DPR RI Sahkan RUU Jasa konstruksi kementerianpupr surabaya TeamK wanita dewi,body status dewibet jakarta DPR RI sahkan RUU jasa konstruksi kementerianpupr surabaya teamk wanita dewi,104,sedang
118,2016-12-19T01:46:25.000Z,DPR RI Sahkan RUU Jasa Konstruksi Menjadi Undang Undang,DPR RI sahkan RUU jasa konstruksi jadi undang undang,52,sedang
119,2016-12-18T04:44:48.000Z,sehingga Tidak Bisa Sesuai Ke inginan Tapi seauai Undang Undang tapi mau gmna U U nya Jga Ga Solid ya salah Warga,sehingga tidak dapat sesuai ke ingin tetapi seauai undang undang tetapi mau bagaimana kamu kamu nya juga tidak solid ya salah warga,131,sedang
120,2016-12-18T04:43:39.000Z,harus Menegakan Hukum Sesuai Undang Undang kalau tidak Sesuai Tentu Harus Ada Penegak Untuk Penegak Hukum,harus tega hukum sesuai undang undang jika tidak sesuai tentu harus ada tegak untuk tegak hukum,95,sedang
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR minta TNI AU investigasi celaka hercules mereka siap jika harus buat kebijakan newstoday,105,sedang
122,2016-12-17T05:19:04.000Z,Kunjungan Kerja Reses Komisi IX DPR RI Masa Persidangan II Tahun Sidang ke Propinsi Sulawesi Utara,kunjung kerja reses komisi IX DPR RI masa sidang II tahun sidang ke propinsi sulawesi utara,91,sedang
123,2016-12-17T04:57:03.000Z,Ketua Para Wkl Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI lewat,ketua para wkl ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI lewat,82,sedang
124,2016-12-17T04:55:42.000Z,Jangan lupa pak diperjuangkan pengesahan REVISI terbatas uu asn,jangan lupa pak juang pengesahan REVISI batas uu asn,52,sedang
125,2016-12-17T03:08:13.000Z,Banyak anggota dpr tak hadiri rapat paripurna kamis lalu cuma disuruh datang duduk dengar diam dan duit saja koq susah,banyak anggota dpr tak hadir rapat paripurna kamis lalu cuma suruh datang kedudukan dengar diam dan duit saja kok susah,119,sedang
