kata,mean,std,raw_ratings
berakar,1.6,1.0,"[2, 2, 1, 2, 4, 1, 1, 2, -1, 2]"
para-para,1.6,1.0,"[2, 1, 2, 3, 1, 2, -1, 2, 2, 2]"
termakan,0.8,1.0,"[1, 0, 1, 2, 0, 0, 0, 3, 1, 0]"
kemasyhuran,3.2,1.0,"[4, 4, 4, 4, 4, 2, 4, 1, 2, 3]"
reputasi,1.6,1.0,"[2, 1, 1, 1, 3, 1, 3, 2, 2, 0]"
gelar,1.6,1.0,"[3, 1, 0, 2, 1, 1, 2, 4, 1, 1]"
serep,1.6,1.0,"[1, 3, 2, 0, 1, 1, 2, 2, 2, 2]"
invite,0.8,1.0,"[2, 1, 0, 1, 2, 1, -2, 1, 1, 1]"
nyanyian,1.6,1.0,"[1, 3, 3, -1, 1, 1, 3, 2, 1, 2]"
dendang,1.6,1.0,"[1, 1, 2, 2, 2, 2, 2, 1, 2, 1]"
gita,1.6,1.0,"[4, 0, 1, 1, 2, 2, 2, 1, 1, 2]"
gending,0.8,1.0,"[1, 2, 1, 2, 1, 1, 1, -1, 1, -1]"
lagu,1.6,1.0,"[0, 2, 3, 2, 2, 3, 0, 2, 0, 2]"
rintisan,1.6,1.0,"[3, 0, 2, 3, 1, 0, 2, 4, 1, 0]"
bergelora,1.6,1.0,"[4, 2, 1, 1, 1, 1, 0, 0, 2, 4]"
antusias,1.6,1.0,"[3, 1, 2, 1, 1, 1, 1, 1, 2, 3]"
ringan tangan,3.2,1.0,"[3, 3, 4, 4, 2, 4, 4, 2, 3, 3]"
membara,1.6,1.0,"[3, 1, 3, 1, 2, 0, 3, 2, 1, 0]"
menyala,1.6,1.0,"[1, 2, 1, 3, 2, 3, 1, 1, 1, 1]"
berlangganan,1.6,1.0,"[3, 4, -1, 1, 1, 2, 2, 1, 1, 2]"
berdenyut,1.6,1.0,"[2, 1, 3, 1, 2, 2, 0, 3, 1, 1]"
bersungguh-sungguh,3.2,1.0,"[3, 3, 4, 4, 4, 2, 2, 3, 3, 4]"
rintis,1.6,1.0,"[1, 1, 1, 1, 3, 4, 2, 2, 1, 0]"
jalan bebas hambatan,1.6,1.0,"[1, 2, 2, 1, 3, 1, 0, 2, 1, 3]"
tarekat,1.6,1.0,"[2, 1, 2, 1, 2, 0, 1, 2, 3, 2]"
bajing,0.8,1.0,"[0, 2, 1, 1, 1, 1, 1, 0, 0, 1]"
bopong,0.8,1.0,"[1, 0, -1, 2, 2, 0, 1, 3, 0, 0]"
berlezat,1.6,1.0,"[2, 1, 4, 0, 2, 2, 1, 2, 1, 1]"
getaran,0.8,1.0,"[1, 0, 0, 1, 0, 2, 0, 2, 1, 1]"
berperan serta,1.6,1.0,"[2, 2, 1, 2, 0, -1, 2, 3, 2, 3]"
debar,1.6,1.0,"[1, 1, 2, 4, 1, 3, 0, 4, 0, 0]"
raba,0.8,1.0,"[-2, 2, 2, 0, 1, 2, 2, 1, 1, -1]"
degub,0.8,1.0,"[3, 0, 0, 1, 0, 1, 1, 2, 0, 0]"
ikut serta,2.4,1.0,"[2, 1, 1, 2, 4, 2, 3, 3, 2, 4]"
berpartisipasi,2.4,1.0,"[3, 4, 3, 2, 2, 0, 3, 4, 2, 1]"
menguntiti,0.8,1.0,"[-1, 0, 0, 0, 0, 2, 1, 3, 1, 2]"
penghayatan,2.4,1.0,"[3, 3, 3, 1, 3, 1, 3, 3, 3, 1]"
mitra,1.6,1.0,"[1, 3, 2, 1, 3, 2, -1, 1, 1, 3]"
diterima,1.6,1.0,"[2, 2, 2, 1, 2, 1, 0, 1, 4, 1]"
sohib,2.4,1.0,"[3, 3, 4, 1, 0, 1, 2, 4, 3, 3]"
beriktikad,1.6,1.0,"[2, -1, 1, 3, 1, 2, 3, 0, 4, 1]"
berkeyakinan,2.4,1.0,"[3, 4, 1, 1, 2, 2, 1, 3, 3, 4]"
beriman,2.4,1.0,"[3, 2, 2, 3, 1, 3, 3, 2, 3, 2]"
percaya,1.6,1.0,"[1, 2, 4, 2, 2, 0, 0, 2, 2, 1]"
menghajatkan,0.8,1.0,"[1, 1, 0, 1, 1, 2, 1, 2, 0, -1]"
senyum,1.6,1.0,"[2, 2, 2, 1, 0, 2, 3, 0, 0, 4]"
haloo,2.4,1.0,"[4, 1, 4, 3, 3, 2, 1, 3, 2, 1]"
menarik hati,2.4,1.0,"[2, 3, 2, 2, 3, 3, 1, 2, 2, 4]"
cedayam,1.6,1.0,"[0, 1, 2, 2, 2, 2, 2, 3, 1, 1]"
hasan,2.4,1.0,"[2, 4, 2, 3, 3, 3, 1, 2, 3, 1]"
tumandang,0.8,1.0,"[1, 0, 1, 1, 2, -1, -2, 1, 3, 2]"
pengen,2.4,1.0,"[2, 2, 2, 1, 2, 3, 3, 4, 3, 2]"
bener,2.4,1.0,"[2, 2, 3, 1, 2, 4, 2, 2, 4, 2]"
hellooo,1.6,1.0,"[2, 0, 2, 1, -2, 1, 3, 3, 3, 3]"
marilah,0.8,1.0,"[1, -1, 1, 1, 2, 0, 0, 1, 2, 1]"
terbaik,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
ulung,3.2,1.0,"[4, 2, 4, 3, 4, 3, 1, 3, 4, 4]"
good,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
silakan,0.8,1.0,"[1, 1, 0, 0, 0, 2, 0, 0, 2, 2]"
main,1.6,1.0,"[3, 1, 1, 1, 1, 2, 1, 2, 2, 2]"
alhamdulillah,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
unek-unek,1.6,1.0,"[2, 2, 3, 1, 2, 1, -1, 2, 2, 2]"
sesalan,0.8,1.0,"[1, -1, 0, 2, 0, 2, 2, 0, 0, 2]"
menyaksikan,0.8,1.0,"[1, -1, 1, 1, 2, 1, -1, 2, 2, 0]"
pemenangnya,3.2,1.0,"[3, 4, 2, 4, 3, 3, 2, 3, 4, 4]"
hiii,0.8,1.0,"[3, -1, 2, 1, 1, 1, 1, 0, 0, 0]"
menyuarakan,2.4,1.0,"[4, 2, 4, 2, 3, 0, 3, 2, 2, 2]"
menginterprestasikan,0.8,1.0,"[0, 2, 1, 2, 0, 0, 1, 1, 2, -1]"
menaksir,2.4,1.0,"[2, 2, 1, 3, 4, 3, 3, 4, 1, 1]"
menuturkan,2.4,1.0,"[4, 0, 1, 3, 3, 3, 2, 2, 3, 3]"
memperkirakan,1.6,1.0,"[1, 2, 3, 3, 1, 0, 2, 1, 1, 2]"
mengimla,0.8,1.0,"[1, 0, 2, 2, 3, -1, 1, 0, -1, 1]"
mengantisipasi,2.4,1.0,"[2, 2, 3, 1, 4, 2, 4, 4, 0, 2]"
menafsirkan,1.6,1.0,"[0, 0, 2, 2, 1, 2, 3, 3, 2, 1]"
mengartikan,0.8,1.0,"[0, 1, 0, 2, 2, 0, 0, 1, 1, 1]"
mengasosiasikan,2.4,1.0,"[2, 2, 2, 2, 2, 2, 4, 2, 2, 4]"
borong,1.6,1.0,"[2, 4, 1, 1, 0, 2, 3, 1, 0, 2]"
payu,1.6,1.0,"[2, 3, 0, 2, 1, 1, 0, 2, 2, 3]"
membeli,1.6,1.0,"[1, 1, 0, 3, 1, 2, 2, 3, 1, 2]"
membuat,0.8,1.0,"[1, 2, -1, -1, 3, 2, 0, 1, 0, 1]"
tertawa kecil,3.2,1.0,"[3, 2, 4, 3, 2, 4, 4, 4, 4, 2]"
minta,1.6,1.0,"[1, 1, 3, 4, 0, 0, 2, 2, 0, 3]"
mengorak senyum,1.6,1.0,"[1, 0, 1, 3, 2, 2, 2, 1, 3, 1]"
mesem,1.6,1.0,"[2, 1, 1, 3, 1, 1, 0, 1, 3, 3]"
tersenyum,3.2,1.0,"[2, 3, 2, 3, 3, 4, 4, 4, 3, 4]"
ok,3.2,1.0,"[4, 2, 3, 3, 4, 4, 3, 3, 3, 3]"
ayo,3.2,1.0,"[4, 3, 3, 4, 4, 4, 1, 4, 4, 1]"
mari,3.2,1.0,"[4, 4, 3, 3, 3, 4, 3, 3, 3, 2]"
yuk,3.2,1.0,"[4, 3, 4, 2, 3, 2, 3, 4, 4, 3]"
lincah,3.2,1.0,"[4, 4, 3, 4, 3, 3, 4, 2, 2, 3]"
buru-buru,0.8,1.0,"[1, 1, 1, 1, 2, -3, 0, 1, 2, 2]"
kencang,2.4,1.0,"[2, 2, 3, 3, 4, 1, 3, 2, 4, 0]"
buntut,0.8,1.0,"[0, -1, 1, 0, 1, 1, 2, 2, 0, 2]"
kilat,2.4,1.0,"[3, 3, 3, 4, 2, 3, 1, 0, 2, 3]"
kunjung,2.4,1.0,"[4, 2, 0, 1, 3, 3, 2, 4, 2, 3]"
mendahului,1.6,1.0,"[1, 3, 0, 3, 2, 1, 1, 2, 1, 2]"
segera,2.4,1.0,"[1, 1, 3, 3, 3, 1, 3, 4, 2, 3]"
lekas,1.6,1.0,"[2, 1, 2, 3, 2, 1, 3, 2, 0, 0]"
akas,1.6,1.0,"[3, 3, -1, 0, 3, 2, 2, 1, 1, 2]"
terampil,3.2,1.0,"[4, 4, 2, 4, 4, 1, 2, 4, 3, 4]"
jeraus,1.6,1.0,"[4, 1, 1, 2, 3, 2, 0, 2, 0, 1]"
pagi,0.8,1.0,"[2, 2, 0, 0, 0, 1, 1, 1, 1, 0]"
pesat,2.4,1.0,"[3, 0, 4, 1, 2, 3, 4, 4, 1, 2]"
sebat,0.8,1.0,"[0, 0, 1, 2, 0, 0, 1, 1, 3, 0]"
kawal,0.8,1.0,"[2, 2, 0, -1, 0, 1, 1, 1, 1, 1]"
berkawal,3.2,1.0,"[4, 1, 3, 2, 3, 4, 4, 3, 4, 4]"
gugah,1.6,1.0,"[3, 1, 1, 4, 0, 2, 0, 2, 1, 2]"
pustaka,3.2,1.0,"[4, 3, 4, 4, 1, 4, 3, 4, 3, 2]"
sir-siran,1.6,1.0,"[2, 2, 3, 2, 1, 0, 1, 1, 2, 2]"
pelihara,2.4,1.0,"[2, 2, 2, 3, 4, 2, 2, 2, 4, 1]"
patroli,1.6,1.0,"[0, 2, 1, 4, 2, 2, 0, 2, 1, 2]"
kitab,1.6,1.0,"[4, 1, 2, -1, 2, 2, 1, 2, 2, 1]"
ronda,1.6,1.0,"[2, 2, 2, 0, 1, 3, 2, 2, 1, 1]"
sambang,1.6,1.0,"[2, 0, 2, 2, 2, 1, 2, 1, 1, 3]"
berguru,2.4,1.0,"[3, 4, 1, 4, 3, 2, 4, 1, 1, 1]"
menuntut ilmu,3.2,1.0,"[3, 3, 4, 3, 4, 3, 4, 4, 2, 2]"
melatih diri,3.2,1.0,"[4, 3, 2, 3, 3, 3, 2, 4, 4, 4]"
menimba ilmu,3.2,1.0,"[3, 4, 3, 4, 3, 3, 3, 3, 2, 4]"
mengaji,3.2,1.0,"[3, 3, 3, 3, 4, 4, 3, 3, 3, 3]"
meneladan,3.2,1.0,"[4, 3, 3, 4, 4, 3, 3, 4, 2, 2]"
mencari ilmu,3.2,1.0,"[4, 1, 4, 3, 4, 4, 3, 3, 4, 2]"
luck,3.2,1.0,"[3, 3, 3, 3, 4, 3, 4, 4, 3, 2]"
bersekolah,2.4,1.0,"[0, 2, 3, 1, 3, 2, 3, 3, 4, 3]"
menggali ilmu,3.2,1.0,"[3, 4, 3, 3, 2, 4, 4, 3, 2, 4]"
desak,0.8,1.0,"[1, 1, 0, 1, -1, 3, 0, 1, 0, 2]"
menelaah,1.6,1.0,"[2, 1, 1, 2, 0, 3, 2, 1, 2, 2]"
memahirkan,3.2,1.0,"[1, 4, 4, 4, 4, 2, 4, 3, 4, 2]"
harmonisasiuniv,1.6,1.0,"[2, 2, 3, 2, -1, 2, 2, 1, 1, 2]"
takut,0.8,1.0,"[1, 0, 1, 1, 1, 2, 2, 0, 0, 0]"
sreg,1.6,1.0,"[1, 0, 2, 4, 2, -1, 2, 0, 4, 2]"
penyatuan,2.4,1.0,"[1, 3, 3, 3, 2, 4, 1, 2, 2, 3]"
wangi,3.2,1.0,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 2]"
pulas,3.2,1.0,"[3, 3, 3, 4, 2, 3, 4, 4, 2, 4]"
merdu,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
harum,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
legit,3.2,1.0,"[2, 3, 4, 3, 4, 4, 3, 2, 4, 3]"
inkorporasi,2.4,1.0,"[2, 2, 3, 2, 2, 3, 1, 1, 4, 4]"
serundai,1.6,1.0,"[1, 2, 3, 2, -1, 2, 4, 1, 1, 1]"
helloo,0.8,1.0,"[0, 0, 2, 3, 1, -1, 3, 1, -1, 0]"
page,1.6,1.0,"[2, 1, 0, 2, 2, 1, 2, 3, 3, 0]"
menyerempakkan,2.4,1.0,"[2, 3, 1, 3, 2, 4, 2, 2, 3, 2]"
menyinkronkan,0.8,1.0,"[0, 3, 0, -1, 3, 0, 1, 1, 0, 1]"
tolong,2.4,1.0,"[2, 2, 3, 4, 3, 2, 3, 2, 2, 1]"
kediaman,1.6,1.0,"[3, 1, 1, 3, 3, -1, 1, 2, 1, 2]"
panti,1.6,1.0,"[3, 2, -1, 1, 2, 3, 2, 2, 0, 2]"
rumah,2.4,1.0,"[4, 3, 2, 2, 2, 3, 2, 3, 1, 2]"
simplistis,2.4,1.0,"[1, 2, 3, 3, 2, 2, 2, 4, 4, 1]"
menjejali,0.8,1.0,"[-3, 3, 1, -1, 1, 0, 2, 3, 1, 1]"
perfek,3.2,1.0,"[3, 4, 4, 2, 2, 2, 4, 4, 3, 4]"
tayib,1.6,1.0,"[2, 2, 1, 2, 0, 1, 2, 3, 0, 3]"
memejahijaukan,0.8,1.0,"[1, 1, 0, -1, 1, 2, 2, 0, 2, 0]"
tayibah,1.6,1.0,"[2, 3, 4, 0, 2, -1, 1, 3, 2, 0]"
jamil,1.6,1.0,"[1, 0, 3, 2, 2, 1, 2, 1, 2, 2]"
mungil,2.4,1.0,"[2, 2, 1, 4, 2, 2, 2, 3, 3, 3]"
rancak,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
mengisi,1.6,1.0,"[0, 4, 1, 2, 0, 2, 1, 0, 3, 3]"
necis,3.2,1.0,"[4, 4, 4, 3, 4, 4, 2, 4, 1, 2]"
menyidangkan,0.8,1.0,"[0, 0, 0, 0, 1, 1, 3, 2, 1, 0]"
bagusan,1.6,1.0,"[2, 1, 1, 2, 2, 2, 1, 2, 1, 2]"
estetis,3.2,1.0,"[3, 3, 3, 3, 3, 2, 4, 4, 4, 3]"
firasat,0.8,1.0,"[0, 2, 0, 2, 0, 0, 1, 1, 1, 1]"
cawis,1.6,1.0,"[3, 2, 0, 1, 2, 1, 2, 1, 3, 1]"
berdandan,3.2,1.0,"[3, 4, 1, 4, 3, 4, 3, 4, 3, 3]"
andini,1.6,1.0,"[3, 3, 0, 0, 1, 2, 1, 2, 2, 2]"
indikasi,1.6,1.0,"[2, 1, -1, 3, 3, 1, 2, 1, 1, 3]"
tersedia,3.2,1.0,"[3, 3, 3, 4, 2, 3, 4, 4, 3, 3]"
tersaji,3.2,1.0,"[3, 4, 3, 3, 2, 2, 4, 4, 3, 4]"
sholat,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
pastikan,2.4,1.0,"[3, 2, 3, 3, 2, 4, 1, 2, 1, 3]"
tersuguh,1.6,1.0,"[3, 2, 2, 2, 2, 0, 3, 1, 1, 0]"
perpanjangan,1.6,1.0,"[1, 2, 2, 1, 3, -1, 3, 2, 1, 2]"
fiesta,2.4,1.0,"[3, 2, 1, 1, 3, 3, 2, 4, 1, 4]"
terdamping,0.8,1.0,"[0, 0, 2, 2, 0, 0, 0, 2, 2, 0]"
jomblo,0.8,1.0,"[2, 3, 1, 1, 2, 0, 0, 1, -1, -1]"
medali,3.2,1.0,"[3, 4, 3, 4, 2, 4, 3, 2, 3, 4]"
terdekat,0.8,1.0,"[0, 3, -1, 0, 0, 3, 0, 1, 1, 1]"
artistik,3.2,1.0,"[2, 4, 4, 4, 2, 3, 4, 4, 2, 3]"
wah,2.4,1.0,"[4, 2, 3, 1, 2, 3, 2, 3, 2, 2]"
imut-imut,3.2,1.0,"[4, 3, 3, 3, 4, 4, 3, 3, 3, 2]"
langkah baik,3.2,1.0,"[4, 4, 4, 4, 1, 4, 2, 3, 2, 4]"
langkah kanan,2.4,1.0,"[2, 4, 4, 1, 2, 2, 3, 4, 2, 0]"
guys,0.8,1.0,"[0, 2, 1, 1, 0, 1, 0, 0, 2, 1]"
profit,3.2,1.0,"[4, 3, 2, 3, 3, 2, 4, 4, 3, 4]"
waris,2.4,1.0,"[4, 3, 3, 1, 2, 3, 3, 1, 2, 2]"
dominan,2.4,1.0,"[3, 3, 2, 3, 0, 2, 3, 3, 2, 3]"
kooperasi,0.8,1.0,"[1, 1, 2, 1, 0, 2, -1, 1, 0, 1]"
keras tulang,1.6,1.0,"[3, 1, 1, 2, 1, 2, 4, 0, 0, 2]"
gedembal,1.6,1.0,"[2, 4, 2, 0, 2, 2, 1, 1, 1, 1]"
tangguh,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
wedel,1.6,1.0,"[0, 2, 1, 3, 2, 1, 4, 1, 1, 1]"
tapa,1.6,1.0,"[2, 2, 1, 1, 1, 1, 1, 3, 1, 3]"
kedot,1.6,1.0,"[3, 3, 1, 0, 3, 2, 1, 1, 0, 2]"
keikutsertaan,2.4,1.0,"[4, 3, 2, 2, 1, 3, 2, 2, 3, 2]"
kesertaan,1.6,1.0,"[1, 4, 1, 2, 2, 1, 1, 1, 3, 0]"
dibalas,1.6,1.0,"[2, 0, 2, 2, 2, 1, 3, 2, 2, 0]"
kerja sama,3.2,1.0,"[3, 4, 4, 1, 3, 4, 3, 4, 3, 3]"
tatap,0.8,1.0,"[2, 1, 1, 0, 0, 1, 1, 1, 2, -1]"
berpengaruh,2.4,1.0,"[2, 3, 1, 3, 2, 2, 2, 1, 4, 4]"
besar lengan,2.4,1.0,"[2, 3, 4, 1, 2, 2, 3, 3, 4, 0]"
partisipasi,2.4,1.0,"[3, 4, 1, 3, 1, 3, 2, 1, 2, 4]"
bedegap,2.4,1.0,"[2, 3, 3, 3, 2, 2, 2, 1, 3, 3]"
peran serta,2.4,1.0,"[4, 4, 1, 2, 3, 1, 2, 0, 3, 4]"
masif,1.6,1.0,"[3, 0, 1, 3, 2, 2, 1, 2, 1, 1]"
gratis,3.2,1.0,"[2, 4, 4, 3, 2, 3, 3, 3, 4, 4]"
membantu,3.2,1.0,"[4, 3, 4, 3, 3, 3, 3, 3, 3, 3]"
busana,1.6,1.0,"[1, -1, 2, 3, 2, 0, 3, 3, 2, 1]"
hasad,1.6,1.0,"[3, 2, 0, 1, 3, 2, 0, 2, 2, 1]"
keki,0.8,1.0,"[0, 0, 1, 1, 0, 0, 2, 1, 1, 2]"
free,2.4,1.0,"[2, 3, 3, 3, 1, 2, 3, 3, 3, 1]"
wkwkwk,2.4,1.0,"[3, 3, 4, 3, 2, 2, 3, 1, 1, 2]"
