no,timestamp,teks,teks_casefold,teks_token,teks_stopword,teks_stemming,teks_final
11,2016-12-29T11:42:17.000Z,Saat bertemu Kel Ternak Gemah Ripah dan KUB Sido Makmur di Kulon Progo yg trm UPPO Rp jt Reses,saat bertemu kel ternak gemah ripah dan kub sido makmur di kulon progo yg trm uppo rp jt reses,"['saat', 'bertemu', 'kel', 'ternak', 'gemah', 'ripah', 'dan', 'kub', 'sido', 'makmur', 'di', 'kulon', 'progo', 'yg', 'trm', 'uppo', 'rp', 'jt', 'reses']","['bertemu', 'kel', 'ternak', 'gemah', 'ripah', 'kub', 'sido', 'makmur', 'kulon', 'progo', 'trm', 'uppo', 'rp', 'jt', 'reses']","['temu', 'kel', 'ternak', 'gemah', 'ripah', 'kub', 'sido', 'makmur', 'kulon', 'progo', 'trm', 'uppo', 'rp', 'jt', 'reses']",temu kel ternak gemah ripah kub sido makmur kulon progo trm uppo rp jt reses
12,2016-12-29T11:35:55.000Z,Turba ke Masjid Baiturrochman Kulon Progo yg Pernah Terima Bantuan PKBL BRI Rp Juta reses,turba ke masjid baiturrochman kulon progo yg pernah terima bantuan pkbl bri rp juta reses,"['turba', 'ke', 'masjid', 'baiturrochman', 'kulon', 'progo', 'yg', 'pernah', 'terima', 'bantuan', 'pkbl', 'bri', 'rp', 'juta', 'reses']","['turba', 'masjid', 'baiturrochman', 'kulon', 'progo', 'terima', 'bantuan', 'pkbl', 'bri', 'rp', 'juta', 'reses']","['turba', 'masjid', 'baiturrochman', 'kulon', 'progo', 'terima', 'bantu', 'pkbl', 'bri', 'rp', 'juta', 'reses']",turba masjid baiturrochman kulon progo terima bantu pkbl bri rp juta reses
13,2016-12-29T08:51:26.000Z,kebijakan yang salah mengawasi,kebijakan yang salah mengawasi,"['kebijakan', 'yang', 'salah', 'mengawasi']","['kebijakan', 'salah', 'mengawasi']","['bijak', 'salah', 'awas']",bijak salah awas
14,2016-12-29T07:01:33.000Z,Sidang Rapat Paripurna PAW Tiga Anggota DPR Aceh Diganti,sidang rapat paripurna paw tiga anggota dpr aceh diganti,"['sidang', 'rapat', 'paripurna', 'paw', 'tiga', 'anggota', 'dpr', 'aceh', 'diganti']","['sidang', 'rapat', 'paripurna', 'paw', 'anggota', 'dpr', 'aceh', 'diganti']","['sidang', 'rapat', 'paripurna', 'paw', 'anggota', 'dpr', 'aceh', 'ganti']",sidang rapat paripurna paw anggota dpr aceh ganti
15,2016-12-29T03:36:27.000Z,Butuh kebijakan konkret untuk mengeksplorasi EnergiPanasBumi untuk kebutuhan listrik nasional yang semakin meningkat,butuh kebijakan konkret untuk mengeksplorasi energipanasbumi untuk kebutuhan listrik nasional yang semakin meningkat,"['butuh', 'kebijakan', 'konkret', 'untuk', 'mengeksplorasi', 'energipanasbumi', 'untuk', 'kebutuhan', 'listrik', 'nasional', 'yang', 'semakin', 'meningkat']","['butuh', 'kebijakan', 'konkret', 'mengeksplorasi', 'energipanasbumi', 'kebutuhan', 'listrik', 'nasional', 'meningkat']","['butuh', 'bijak', 'konkret', 'eksplorasi', 'energipanasbumi', 'butuh', 'listrik', 'nasional', 'tingkat']",butuh bijak konkret eksplorasi energipanasbumi butuh listrik nasional tingkat
16,2016-12-29T03:14:38.000Z,Mr Sandi CA mohon bantuan utk tanda tangani Petisi Ke Ketua dan Wkl Ketua DPR Salam Profesional,mr sandi ca mohon bantuan utk tanda tangani petisi ke ketua dan wkl ketua dpr salam profesional,"['mr', 'sandi', 'ca', 'mohon', 'bantuan', 'utk', 'tanda', 'tangani', 'petisi', 'ke', 'ketua', 'dan', 'wkl', 'ketua', 'dpr', 'salam', 'profesional']","['mr', 'sandi', 'ca', 'mohon', 'bantuan', 'tanda', 'tangani', 'petisi', 'ketua', 'wkl', 'ketua', 'dpr', 'salam', 'profesional']","['mr', 'sandi', 'ca', 'mohon', 'bantu', 'tanda', 'tangan', 'petisi', 'ketua', 'wkl', 'ketua', 'dpr', 'salam', 'profesional']",mr sandi ca mohon bantu tanda tangan petisi ketua wkl ketua dpr salam profesional
17,2016-12-29T00:49:57.000Z,Pagi all tiada yang lebih baik dari silaturrahim dengan konstituen Tetap menyambangi rakyat Edisi Reses,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap menyambangi rakyat edisi reses,"['pagi', 'all', 'tiada', 'yang', 'lebih', 'baik', 'dari', 'silaturrahim', 'dengan', 'konstituen', 'tetap', 'menyambangi', 'rakyat', 'edisi', 'reses']","['pagi', 'all', 'tiada', 'silaturrahim', 'konstituen', 'menyambangi', 'rakyat', 'edisi', 'reses']","['pagi', 'all', 'tiada', 'silaturrahim', 'konstituen', 'sambang', 'rakyat', 'edisi', 'reses']",pagi all tiada silaturrahim konstituen sambang rakyat edisi reses
18,2016-12-28T12:33:03.000Z,Anggota Komisi II DPR RI Hetifah Gelar Reses di Kabupaten Berau,anggota komisi ii dpr ri hetifah gelar reses di kabupaten berau,"['anggota', 'komisi', 'ii', 'dpr', 'ri', 'hetifah', 'gelar', 'reses', 'di', 'kabupaten', 'berau']","['anggota', 'komisi', 'ii', 'dpr', 'ri', 'hetifah', 'gelar', 'reses', 'kabupaten', 'berau']","['anggota', 'komisi', 'ii', 'dpr', 'ri', 'hetifah', 'gelar', 'reses', 'kabupaten', 'rau']",anggota komisi ii dpr ri hetifah gelar reses kabupaten rau
19,2016-12-28T11:56:37.000Z,Reses Anggota DPR RI Viktor Bungtilu Laiskodat di Desa Merbaun Tofa Kec Amarasi Barat Kab Kupang NTT,reses anggota dpr ri viktor bungtilu laiskodat di desa merbaun tofa kec amarasi barat kab kupang ntt,"['reses', 'anggota', 'dpr', 'ri', 'viktor', 'bungtilu', 'laiskodat', 'di', 'desa', 'merbaun', 'tofa', 'kec', 'amarasi', 'barat', 'kab', 'kupang', 'ntt']","['reses', 'anggota', 'dpr', 'ri', 'viktor', 'bungtilu', 'laiskodat', 'desa', 'merbaun', 'tofa', 'kec', 'amarasi', 'barat', 'kab', 'kupang', 'ntt']","['reses', 'anggota', 'dpr', 'ri', 'viktor', 'bungtilu', 'laiskodat', 'desa', 'merbaun', 'tofa', 'kec', 'amarasi', 'barat', 'kab', 'kupang', 'ntt']",reses anggota dpr ri viktor bungtilu laiskodat desa merbaun tofa kec amarasi barat kab kupang ntt
20,2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE,ketua panja ruu revisi ite tb hasanuddin sampaikan muatan materi uu perubahan uu ite,"['ketua', 'panja', 'ruu', 'revisi', 'ite', 'tb', 'hasanuddin', 'sampaikan', 'muatan', 'materi', 'uu', 'perubahan', 'uu', 'ite']","['ketua', 'panja', 'ruu', 'revisi', 'ite', 'tb', 'hasanuddin', 'muatan', 'materi', 'uu', 'perubahan', 'uu', 'ite']","['ketua', 'panja', 'ruu', 'revisi', 'ite', 'tb', 'hasanuddin', 'muat', 'materi', 'uu', 'ubah', 'uu', 'ite']",ketua panja ruu revisi ite tb hasanuddin muat materi uu ubah uu ite
21,2016-12-28T03:55:30.000Z,Gelar Peringatan Maulid Nabi dan Reses Anggota DPR RI Komisi VIII klik,gelar peringatan maulid nabi dan reses anggota dpr ri komisi viii klik,"['gelar', 'peringatan', 'maulid', 'nabi', 'dan', 'reses', 'anggota', 'dpr', 'ri', 'komisi', 'viii', 'klik']","['gelar', 'peringatan', 'maulid', 'nabi', 'reses', 'anggota', 'dpr', 'ri', 'komisi', 'viii', 'klik']","['gelar', 'ingat', 'maulid', 'nabi', 'reses', 'anggota', 'dpr', 'ri', 'komisi', 'viii', 'klik']",gelar ingat maulid nabi reses anggota dpr ri komisi viii klik
22,2016-12-27T16:01:19.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang,reses di sinjai dpr ri pusat serap aspirasi warga desa saukang,"['reses', 'di', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang']","['reses', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang']","['reses', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang']",reses sinjai dpr ri pusat serap aspirasi warga desa saukang
23,2016-12-27T15:50:22.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang via,reses di sinjai dpr ri pusat serap aspirasi warga desa saukang via,"['reses', 'di', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang', 'via']","['reses', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang', 'via']","['reses', 'sinjai', 'dpr', 'ri', 'pusat', 'serap', 'aspirasi', 'warga', 'desa', 'saukang', 'via']",reses sinjai dpr ri pusat serap aspirasi warga desa saukang via
24,2016-12-27T14:37:18.000Z,Anggota DPR RI EE Mangindaan Manfaatkan Massa Reses di Desa Esandom Minahasa Tenggara,anggota dpr ri ee mangindaan manfaatkan massa reses di desa esandom minahasa tenggara,"['anggota', 'dpr', 'ri', 'ee', 'mangindaan', 'manfaatkan', 'massa', 'reses', 'di', 'desa', 'esandom', 'minahasa', 'tenggara']","['anggota', 'dpr', 'ri', 'ee', 'mangindaan', 'manfaatkan', 'massa', 'reses', 'desa', 'esandom', 'minahasa', 'tenggara']","['anggota', 'dpr', 'ri', 'ee', 'mangindaan', 'manfaat', 'massa', 'reses', 'desa', 'esandom', 'minahasa', 'tenggara']",anggota dpr ri ee mangindaan manfaat massa reses desa esandom minahasa tenggara
25,2016-12-27T07:13:56.000Z,Demikian ulasan singkat tentang Masa Reses DPR semoga bermanfaat bagi kita semua ResesDPR,demikian ulasan singkat tentang masa reses dpr semoga bermanfaat bagi kita semua resesdpr,"['demikian', 'ulasan', 'singkat', 'tentang', 'masa', 'reses', 'dpr', 'semoga', 'bermanfaat', 'bagi', 'kita', 'semua', 'resesdpr']","['ulasan', 'singkat', 'reses', 'dpr', 'semoga', 'bermanfaat', 'resesdpr']","['ulas', 'singkat', 'reses', 'dpr', 'moga', 'manfaat', 'resesdpr']",ulas singkat reses dpr moga manfaat resesdpr
26,2016-12-27T07:08:59.000Z,Masa Reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya ResesDPR,masa reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya resesdpr,"['masa', 'reses', 'ini', 'diharapkan', 'dapat', 'dimanfaatkan', 'dengan', 'maksimal', 'oleh', 'masyarakat', 'untuk', 'menyampaikan', 'aspirasi', 'pembangunan', 'daerahnya', 'resesdpr']","['reses', 'diharapkan', 'dimanfaatkan', 'maksimal', 'masyarakat', 'aspirasi', 'pembangunan', 'daerahnya', 'resesdpr']","['reses', 'harap', 'manfaat', 'maksimal', 'masyarakat', 'aspirasi', 'bangun', 'daerah', 'resesdpr']",reses harap manfaat maksimal masyarakat aspirasi bangun daerah resesdpr
27,2016-12-27T07:07:13.000Z,Yg perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama Masa Reses ditindaklanjuti sesuai mekanisme ResesDPR,yg perlu diingat kita pahami bersama bahwa dpr bukanlah eksekutor jadi temuan selama masa reses ditindaklanjuti sesuai mekanisme resesdpr,"['yg', 'perlu', 'diingat', 'kita', 'pahami', 'bersama', 'bahwa', 'dpr', 'bukanlah', 'eksekutor', 'jadi', 'temuan', 'selama', 'masa', 'reses', 'ditindaklanjuti', 'sesuai', 'mekanisme', 'resesdpr']","['pahami', 'dpr', 'eksekutor', 'temuan', 'reses', 'ditindaklanjuti', 'sesuai', 'mekanisme', 'resesdpr']","['paham', 'dpr', 'eksekutor', 'temu', 'reses', 'ditindaklanjuti', 'sesuai', 'mekanisme', 'resesdpr']",paham dpr eksekutor temu reses ditindaklanjuti sesuai mekanisme resesdpr
28,2016-12-27T07:06:25.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR,berdasarkan tatib dpr pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing resesdpr,"['berdasarkan', 'tatib', 'dpr', 'pasal', 'ayat', 'hasil', 'reses', 'tersebut', 'dilaporkan', 'secara', 'tertulis', 'oleh', 'anggota', 'kepada', 'fraksi', 'masing', 'masing', 'resesdpr']","['berdasarkan', 'tatib', 'dpr', 'pasal', 'ayat', 'hasil', 'reses', 'dilaporkan', 'tertulis', 'anggota', 'fraksi', 'resesdpr']","['dasar', 'tatib', 'dpr', 'pasal', 'ayat', 'hasil', 'reses', 'lapor', 'tulis', 'anggota', 'fraksi', 'resesdpr']",dasar tatib dpr pasal ayat hasil reses lapor tulis anggota fraksi resesdpr
29,2016-12-27T07:06:11.000Z,Kegiatan reses para Anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas ResesDPR,kegiatan reses para anggota dpr dilakukan secara transparan dan adanya pertanggungjawaban yang jelas resesdpr,"['kegiatan', 'reses', 'para', 'anggota', 'dpr', 'dilakukan', 'secara', 'transparan', 'dan', 'adanya', 'pertanggungjawaban', 'yang', 'jelas', 'resesdpr']","['kegiatan', 'reses', 'anggota', 'dpr', 'transparan', 'pertanggungjawaban', 'resesdpr']","['giat', 'reses', 'anggota', 'dpr', 'transparan', 'pertanggungjawaban', 'resesdpr']",giat reses anggota dpr transparan pertanggungjawaban resesdpr
30,2016-12-27T07:05:57.000Z,Pada Masa Persidangan aspirasi masukan masyarakat selama Masa Reses akan disampaikan dibahas dg pemerintah saat Rapat Kerja ResesDPR,pada masa persidangan aspirasi masukan masyarakat selama masa reses akan disampaikan dibahas dg pemerintah saat rapat kerja resesdpr,"['pada', 'masa', 'persidangan', 'aspirasi', 'masukan', 'masyarakat', 'selama', 'masa', 'reses', 'akan', 'disampaikan', 'dibahas', 'dg', 'pemerintah', 'saat', 'rapat', 'kerja', 'resesdpr']","['persidangan', 'aspirasi', 'masukan', 'masyarakat', 'reses', 'dibahas', 'dg', 'pemerintah', 'rapat', 'kerja', 'resesdpr']","['sidang', 'aspirasi', 'masuk', 'masyarakat', 'reses', 'bahas', 'dg', 'perintah', 'rapat', 'kerja', 'resesdpr']",sidang aspirasi masuk masyarakat reses bahas dg perintah rapat kerja resesdpr
31,2016-12-27T07:05:31.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR,pada masa reses dpr melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas dpr resesdpr,"['pada', 'masa', 'reses', 'dpr', 'melaksanakan', 'tugas', 'menyerap', 'aspirasi', 'masyarakat', 'yang', 'terkait', 'dengan', 'pelaksanaan', 'fungsi', 'dan', 'tugas', 'dpr', 'resesdpr']","['reses', 'dpr', 'melaksanakan', 'tugas', 'menyerap', 'aspirasi', 'masyarakat', 'terkait', 'pelaksanaan', 'fungsi', 'tugas', 'dpr', 'resesdpr']","['reses', 'dpr', 'laksana', 'tugas', 'serap', 'aspirasi', 'masyarakat', 'kait', 'laksana', 'fungsi', 'tugas', 'dpr', 'resesdpr']",reses dpr laksana tugas serap aspirasi masyarakat kait laksana fungsi tugas dpr resesdpr
32,2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR,masa reses sendiri tertuang dalam uu md no dan peraturan dpr no tentang tata tertib dpr resesdpr,"['masa', 'reses', 'sendiri', 'tertuang', 'dalam', 'uu', 'md', 'no', 'dan', 'peraturan', 'dpr', 'no', 'tentang', 'tata', 'tertib', 'dpr', 'resesdpr']","['reses', 'tertuang', 'uu', 'md', 'no', 'peraturan', 'dpr', 'no', 'tata', 'tertib', 'dpr', 'resesdpr']","['reses', 'tuang', 'uu', 'md', 'no', 'atur', 'dpr', 'no', 'tata', 'tertib', 'dpr', 'resesdpr']",reses tuang uu md no atur dpr no tata tertib dpr resesdpr
33,2016-12-27T07:05:01.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR,masa reses bukan berarti para anggota dpr tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya resesdpr,"['masa', 'reses', 'bukan', 'berarti', 'para', 'anggota', 'dpr', 'tidak', 'bekerja', 'namuan', 'aktivitasnya', 'dilakukan', 'di', 'daerah', 'terutama', 'di', 'daerah', 'pemilihannya', 'resesdpr']","['reses', 'anggota', 'dpr', 'namuan', 'aktivitasnya', 'daerah', 'daerah', 'pemilihannya', 'resesdpr']","['reses', 'anggota', 'dpr', 'namuan', 'aktivitas', 'daerah', 'daerah', 'pilih', 'resesdpr']",reses anggota dpr namuan aktivitas daerah daerah pilih resesdpr
34,2016-12-27T07:04:08.000Z,Dalam Masa Reses Anggota DPR akan melakukan kunjungan ke Dapil maupun kunjungan ke daerah lainnya dengan Alat Kelengkapan Dewan ResesDPR,dalam masa reses anggota dpr akan melakukan kunjungan ke dapil maupun kunjungan ke daerah lainnya dengan alat kelengkapan dewan resesdpr,"['dalam', 'masa', 'reses', 'anggota', 'dpr', 'akan', 'melakukan', 'kunjungan', 'ke', 'dapil', 'maupun', 'kunjungan', 'ke', 'daerah', 'lainnya', 'dengan', 'alat', 'kelengkapan', 'dewan', 'resesdpr']","['reses', 'anggota', 'dpr', 'kunjungan', 'dapil', 'kunjungan', 'daerah', 'alat', 'kelengkapan', 'dewan', 'resesdpr']","['reses', 'anggota', 'dpr', 'kunjung', 'dapil', 'kunjung', 'daerah', 'alat', 'lengkap', 'dewan', 'resesdpr']",reses anggota dpr kunjung dapil kunjung daerah alat lengkap dewan resesdpr
35,2016-12-27T07:02:47.000Z,Masa Reses adalah masa dimana Anggota DPR melakukan kegiatan di luar Masa Sidang terutama di luar gedung DPR ResesDPR,masa reses adalah masa dimana anggota dpr melakukan kegiatan di luar masa sidang terutama di luar gedung dpr resesdpr,"['masa', 'reses', 'adalah', 'masa', 'dimana', 'anggota', 'dpr', 'melakukan', 'kegiatan', 'di', 'luar', 'masa', 'sidang', 'terutama', 'di', 'luar', 'gedung', 'dpr', 'resesdpr']","['reses', 'dimana', 'anggota', 'dpr', 'kegiatan', 'sidang', 'gedung', 'dpr', 'resesdpr']","['reses', 'mana', 'anggota', 'dpr', 'giat', 'sidang', 'gedung', 'dpr', 'resesdpr']",reses mana anggota dpr giat sidang gedung dpr resesdpr
36,2016-12-27T07:00:49.000Z,Masa Reses DPR Masa Persidangan II Tahun Sidang akan berlangsung dari tanggal Desember hingga Januari ResesDPR,masa reses dpr masa persidangan ii tahun sidang akan berlangsung dari tanggal desember hingga januari resesdpr,"['masa', 'reses', 'dpr', 'masa', 'persidangan', 'ii', 'tahun', 'sidang', 'akan', 'berlangsung', 'dari', 'tanggal', 'desember', 'hingga', 'januari', 'resesdpr']","['reses', 'dpr', 'persidangan', 'ii', 'sidang', 'tanggal', 'desember', 'januari', 'resesdpr']","['reses', 'dpr', 'sidang', 'ii', 'sidang', 'tanggal', 'desember', 'januari', 'resesdpr']",reses dpr sidang ii sidang tanggal desember januari resesdpr
37,2016-12-27T06:59:33.000Z,Selamat sore Sahabat Parle Saat ini DPR RI sedang memasuki Masa Reses Masa Persidangan II Tahun Sidang ResesDPR,selamat sore sahabat parle saat ini dpr ri sedang memasuki masa reses masa persidangan ii tahun sidang resesdpr,"['selamat', 'sore', 'sahabat', 'parle', 'saat', 'ini', 'dpr', 'ri', 'sedang', 'memasuki', 'masa', 'reses', 'masa', 'persidangan', 'ii', 'tahun', 'sidang', 'resesdpr']","['selamat', 'sore', 'sahabat', 'parle', 'dpr', 'ri', 'memasuki', 'reses', 'persidangan', 'ii', 'sidang', 'resesdpr']","['selamat', 'sore', 'sahabat', 'parle', 'dpr', 'ri', 'pasuk', 'reses', 'sidang', 'ii', 'sidang', 'resesdpr']",selamat sore sahabat parle dpr ri pasuk reses sidang ii sidang resesdpr
38,2016-12-27T03:09:09.000Z,Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga,reses di sinjai anggota dpr ri nasyid umar jemput keluhan warga,"['reses', 'di', 'sinjai', 'anggota', 'dpr', 'ri', 'nasyid', 'umar', 'jemput', 'keluhan', 'warga']","['reses', 'sinjai', 'anggota', 'dpr', 'ri', 'nasyid', 'umar', 'jemput', 'keluhan', 'warga']","['reses', 'sinjai', 'anggota', 'dpr', 'ri', 'nasyid', 'umar', 'jemput', 'keluh', 'warga']",reses sinjai anggota dpr ri nasyid umar jemput keluh warga
