no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,0.0,0.0,0.0,neutral,"['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']","['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']",[],"['agenda', 'rabu', 'pukul', 'WIB', 'paripurna', 'agendadpr']","[{'word': 'agenda', 'score': 0.0, 'matched': True}, {'word': 'rabu', 'score': 0.0, 'matched': True}, {'word': 'pukul', 'score': 0.8, 'matched': True}, {'word': 'WIB', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'agendadpr', 'score': 0.0, 'matched': True}]"
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temui petani tembakau anggota DPR ini janji kawal penyelesaian RUU pertembakauan,0.8,0.2,0.447213595499958,positive,"['temui', 'petani', 'tembakau', 'anggota', 'DPR', 'ini', 'janji', 'kawal', 'penyelesaian', 'RUU', 'pertembakauan']","['temui', 'petani', 'tembakau', 'anggota', 'DPR', 'kawal', 'penyelesaian', 'RUU', 'pertembakauan']","['ini', 'janji']","['temui', 'petani', 'tembakau', 'janji', 'kawal', 'penyelesaian', 'pertembakauan']","[{'word': 'temui', 'score': 0.0, 'matched': True}, {'word': 'petani', 'score': 0.0, 'matched': True}, {'word': 'tembakau', 'score': 0.0, 'matched': True}, {'word': 'janji', 'score': 0.0, 'matched': False}, {'word': 'kawal', 'score': 0.8, 'matched': True}, {'word': 'penyelesaian', 'score': 1.6, 'matched': True}, {'word': 'pertembakauan', 'score': 0.0, 'matched': True}]"
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,-1.6,-0.4,0.8944271909999161,negative,"['sangat', 'free', 'hatin', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']","['free', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']",['hatin'],"['sangat', 'free', 'hatin', 'ruang', 'paripurna']","[{'word': 'sangat', 'score': 0.0, 'matched': True}, {'word': 'free', 'score': 2.4000000000000004, 'matched': True}, {'word': 'hatin', 'score': 0.0, 'matched': False}, {'word': 'ruang', 'score': -2.4000000000000004, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}]"
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,0.2,0.05,0.447213595499958,positive,"['RUU', 'CSR', 'wajib', 'atau', 'sukarela']","['RUU', 'sukarela']","['CSR', 'atau']","['CSR', 'wajib', 'sukarela']","[{'word': 'CSR', 'score': 0.0, 'matched': False}, {'word': 'wajib', 'score': -1.6, 'matched': True}, {'word': 'sukarela', 'score': 3.2, 'matched': True}]"
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masukan soal RUU CSR ikibangsaku,0.2,0.05,1.3038404810405295,positive,"['DPR', 'gali', 'masukan', 'soal', 'RUU', 'CSR', 'ikibangsaku']","['DPR', 'masukan', 'soal', 'RUU']","['gali', 'CSR', 'ikibangsaku']","['gali', 'masukan', 'soal', 'CSR', 'ikibangsaku']","[{'word': 'gali', 'score': 0.0, 'matched': False}, {'word': 'masukan', 'score': 0.0, 'matched': True}, {'word': 'soal', 'score': -0.8, 'matched': True}, {'word': 'CSR', 'score': 0.0, 'matched': False}, {'word': 'ikibangsaku', 'score': 0.0, 'matched': False}]"
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana kemajuan ruu_jasa_konstruksi ?,-0.6,-0.15,0.8944271909999159,negative,"['mohon', 'info', 'bagaimana', 'kemajuan', 'ruu_jasa_konstruksi', '?']","['mohon', 'info', 'kemajuan']","['bagaimana', 'ruu_jasa_konstruksi', '?']","['mohon', 'info', 'kemajuan', 'ruu_jasa_konstruksi', '?']","[{'word': 'mohon', 'score': 1.6, 'matched': True}, {'word': 'info', 'score': 0.0, 'matched': True}, {'word': 'kemajuan', 'score': 0.8, 'matched': True}, {'word': 'ruu_jasa_konstruksi', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}]"
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'at']","['rapat', 'paripurna']",['at'],"['paripurna', 'at']","[{'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'at', 'score': 0.0, 'matched': False}]"
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan terkait pengesahan UU santet lewat,-0.2,-0.05,0.447213595499958,negative,"['reaksi', 'mbah', 'mijan', 'terkait', 'pengesahan', 'UU', 'santet', 'lewat']","['reaksi', 'terkait', 'pengesahan', 'UU', 'santet', 'lewat']","['mbah', 'mijan']","['reaksi', 'mbah', 'mijan', 'terkait', 'pengesahan', 'UU', 'santet', 'lewat']","[{'word': 'reaksi', 'score': 1.6, 'matched': True}, {'word': 'mbah', 'score': 0.0, 'matched': False}, {'word': 'mijan', 'score': 0.0, 'matched': False}, {'word': 'terkait', 'score': -2.4000000000000004, 'matched': True}, {'word': 'pengesahan', 'score': 0.0, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'santet', 'score': -4.0, 'matched': True}, {'word': 'lewat', 'score': 1.6, 'matched': True}]"
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi fraksi nasdem paling sering bolos,-2.2,-0.55,1.3038404810405295,negative,"['formappi', 'fraksi', 'nasdem', 'paling', 'sering', 'bolos']","['fraksi', 'nasdem', 'sering', 'bolos']","['formappi', 'paling']","['formappi', 'nasdem', 'paling', 'sering', 'bolos']","[{'word': 'formappi', 'score': 0.0, 'matched': False}, {'word': 'nasdem', 'score': 0.0, 'matched': True}, {'word': 'paling', 'score': 0.0, 'matched': False}, {'word': 'sering', 'score': 2.4000000000000004, 'matched': True}, {'word': 'bolos', 'score': -2.0, 'matched': True}]"
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan revisi undang undang pemilu RUU,0.8,0.2,0.447213595499958,positive,"['pemerintah', 'dan', 'DPR', 'RI', 'sepakat', 'menetapkan', 'batas', 'waktu', 'penyelesaian', 'pembahasan', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']","['pemerintah', 'DPR', 'RI', 'sepakat', 'menetapkan', 'batas', 'waktu', 'penyelesaian', 'pembahasan', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']",['dan'],"['sepakat', 'menetapkan', 'batas', 'waktu', 'penyelesaian', 'pembahasan', 'revisi', 'pemilu']","[{'word': 'sepakat', 'score': 0.6400000000000001, 'matched': True}, {'word': 'menetapkan', 'score': 0.0, 'matched': True}, {'word': 'batas', 'score': -2.4000000000000004, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'penyelesaian', 'score': 1.6, 'matched': True}, {'word': 'pembahasan', 'score': 0.0, 'matched': True}, {'word': 'revisi', 'score': 0.0, 'matched': True}, {'word': 'pemilu', 'score': 0.0, 'matched': True}]"
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen percepat pembahasan RUU,1.0,0.25,0.7071067811865476,positive,"['DPR', 'komitmen', 'percepat', 'pembahasan', 'RUU']","['DPR', 'komitmen', 'percepat', 'pembahasan', 'RUU']",[],"['komitmen', 'percepat', 'pembahasan']","[{'word': 'komitmen', 'score': 0.6400000000000001, 'matched': True}, {'word': 'percepat', 'score': 0.8, 'matched': True}, {'word': 'pembahasan', 'score': 0.0, 'matched': True}]"
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,0.0,0.0,0.0,neutral,"['reses', 'wakil', 'rakyat', 'dapil', 'lampung', 'i', 'ahmad', 'muzani']","['reses', 'wakil', 'rakyat', 'dapil', 'i']","['lampung', 'ahmad', 'muzani']","['reses', 'rakyat', 'dapil', 'lampung', 'i', 'ahmad', 'muzani']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'dapil', 'score': 0.0, 'matched': True}, {'word': 'lampung', 'score': 0.0, 'matched': False}, {'word': 'i', 'score': 0.0, 'matched': True}, {'word': 'ahmad', 'score': 0.0, 'matched': False}, {'word': 'muzani', 'score': 0.0, 'matched': False}]"
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpulkan kepala desa se kabupaten sumbawa dorong desa mandiri,0.8,0.2,0.447213595499958,positive,"['reses', 'anggota', 'MASIH', 'II', 'tahun', 'sidang', 'bang', 'kumpulkan', 'kepala', 'desa', 'se', 'kabupaten', 'sumbawa', 'dorong', 'desa', 'mandiri']","['reses', 'anggota', 'MASIH', 'II', 'tahun', 'sidang', 'bang', 'kepala', 'desa', 'kabupaten', 'dorong', 'desa', 'mandiri']","['kumpulkan', 'se', 'sumbawa']","['reses', 'MASIH', 'II', 'tahun', 'bang', 'kumpulkan', 'kepala', 'desa', 'se', 'kabupaten', 'sumbawa', 'dorong', 'desa', 'mandiri']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'MASIH', 'score': -0.4, 'matched': True}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'bang', 'score': 0.0, 'matched': True}, {'word': 'kumpulkan', 'score': 0.0, 'matched': False}, {'word': 'kepala', 'score': 0.0, 'matched': True}, {'word': 'desa', 'score': 0.0, 'matched': True}, {'word': 'se', 'score': 0.0, 'matched': False}, {'word': 'kabupaten', 'score': 0.0, 'matched': True}, {'word': 'sumbawa', 'score': 0.0, 'matched': False}, {'word': 'dorong', 'score': 0.4, 'matched': True}, {'word': 'desa', 'score': 0.0, 'matched': True}, {'word': 'mandiri', 'score': -2.4000000000000004, 'matched': True}]"
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,0.0,0.0,0.0,neutral,"['RESES', 'ANGGOTA', 'DPR', 'RI', 'FRAKSI', 'PDIP', 'MARUARAR', 'SIRAIT']","['RESES', 'ANGGOTA', 'DPR', 'RI', 'FRAKSI', 'PDIP']","['MARUARAR', 'SIRAIT']","['RESES', 'PDIP', 'MARUARAR', 'SIRAIT']","[{'word': 'RESES', 'score': 0.0, 'matched': True}, {'word': 'PDIP', 'score': 0.0, 'matched': True}, {'word': 'MARUARAR', 'score': 0.0, 'matched': False}, {'word': 'SIRAIT', 'score': 0.0, 'matched': False}]"
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke fraksi golkar daerah,0.0,0.0,0.0,neutral,"['reses', 'DPR', 'RI', 'harus', 'lapor', 'ke', 'fraksi', 'golkar', 'daerah']","['reses', 'DPR', 'RI', 'lapor', 'fraksi', 'golkar', 'daerah']",['ke'],"['reses', 'harus', 'lapor', 'golkar']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'harus', 'score': -4.0, 'matched': True}, {'word': 'lapor', 'score': 0.0, 'matched': True}, {'word': 'golkar', 'score': 0.0, 'matched': True}]"
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,kesekian kalinya dewan perwakilan rakyat daerah DPRD kabupaten gresik menggelar rapat paripurna penyampaian,0.0,0.0,0.0,neutral,"['kesekian', 'kalinya', 'dewan', 'perwakilan', 'rakyat', 'daerah', 'DPRD', 'kabupaten', 'gresik', 'menggelar', 'rapat', 'paripurna', 'penyampaian']","['dewan', 'perwakilan', 'rakyat', 'daerah', 'DPRD', 'kabupaten', 'menggelar', 'rapat', 'paripurna', 'penyampaian']","['kesekian', 'kalinya', 'gresik']","['kesekian', 'kalinya', 'dewan', 'perwakilan', 'rakyat', 'DPRD', 'kabupaten', 'gresik', 'menggelar', 'paripurna', 'penyampaian']","[{'word': 'kesekian', 'score': 0.0, 'matched': False}, {'word': 'kalinya', 'score': 0.0, 'matched': False}, {'word': 'dewan', 'score': 0.0, 'matched': True}, {'word': 'perwakilan', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'DPRD', 'score': 0.0, 'matched': True}, {'word': 'kabupaten', 'score': 0.0, 'matched': True}, {'word': 'gresik', 'score': 0.0, 'matched': False}, {'word': 'menggelar', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'penyampaian', 'score': 0.0, 'matched': True}]"
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR targetkan UU perbukuan nnasional rampung komisi kali DPR RI menargetkan rancangan undang undang sis RT,0.8,0.2,0.447213595499958,positive,"['DPR', 'targetkan', 'UU', 'perbukuan', 'nnasional', 'rampung', 'komisi', 'kali', 'DPR', 'RI', 'menargetkan', 'rancangan', 'undang', 'undang', 'sis', 'RT']","['DPR', 'targetkan', 'UU', 'perbukuan', 'rampung', 'komisi', 'DPR', 'RI', 'menargetkan', 'rancangan', 'undang', 'undang']","['nnasional', 'kali', 'sis', 'RT']","['targetkan', 'UU', 'perbukuan', 'nnasional', 'rampung', 'kali', 'menargetkan', 'rancangan', 'sis', 'RT']","[{'word': 'targetkan', 'score': 0.24, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'perbukuan', 'score': 0.0, 'matched': True}, {'word': 'nnasional', 'score': 0.0, 'matched': False}, {'word': 'rampung', 'score': 2.4000000000000004, 'matched': True}, {'word': 'kali', 'score': 0.0, 'matched': False}, {'word': 'menargetkan', 'score': 0.0, 'matched': True}, {'word': 'rancangan', 'score': 0.0, 'matched': True}, {'word': 'sis', 'score': 0.0, 'matched': False}, {'word': 'RT', 'score': 0.0, 'matched': False}]"
