no,timestamp,teks,teks_processed,teks_translated
19,2016-12-28T11:56:37.000Z,Reses Anggota DPR RI Viktor Bungtilu Laiskodat di Desa Merbaun Tofa Kec Amarasi Barat Kab Kupang NTT,reses anggota DPR RI viktor bungtilu laiskodat di desa merbaun tofa kec amarasi barat kab kupang NTT,"DPR RI member Viktor Bungtilu Laiskodat recess in Merbaun Tofa village, West Amarasi district, Kupang district, NTT"
20,2016-12-28T05:26:34.000Z,Ketua Panja RUU Revisi ITE TB Hasanuddin sampaikan muatan materi UU Perubahan UU ITE,ketua panja RUU revisi ITE TB hasanuddin sampaikan muatan materi UU perubahan UU ITE,"Chairman of the working committee on the ITE revision bill, TB Hasanuddin, conveyed the material content of the law on changes to the ITE law"
21,2016-12-28T03:55:30.000Z,Gelar Peringatan Maulid Nabi dan Reses Anggota DPR RI Komisi VIII klik,gelar peringatan maulid nabi dan reses anggota DPR RI komisi VII klik,Celebrate the Prophet's birthday and recess for DPR RI Commission VII members. Click
22,2016-12-27T16:01:19.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang,recess in Sinjai DPR RI center to absorb aspirations of Saukang village residents
23,2016-12-27T15:50:22.000Z,Reses di Sinjai DPR RI Pusat Serap Aspirasi Warga Desa Saukang via,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang via,recess in Sinjai DPR RI center to absorb aspirations of Saukang village residents via
24,2016-12-27T14:37:18.000Z,Anggota DPR RI EE Mangindaan Manfaatkan Massa Reses di Desa Esandom Minahasa Tenggara,anggota DPR RI EE mangindaan manfaatkan massa reses di desa esandom minahasa tenggara,"DPR RI member EE wants to take advantage of the mass recess in the village of Esandom, Southeast Minahasa"
25,2016-12-27T07:13:56.000Z,Demikian ulasan singkat tentang Masa Reses DPR semoga bermanfaat bagi kita semua ResesDPR,demikian ulasan singkat tentang masa reses DPR semoga bermanfaat bagi kita semua resesdpr,"So, this is a brief review of the DPR recess period, hopefully it will be useful for all of us during the DPR recess"
26,2016-12-27T07:08:59.000Z,Masa Reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya ResesDPR,masa reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya resesdpr,It is hoped that this recess period can be utilized optimally by the community to convey their regional development aspirations during the DPR Recess
27,2016-12-27T07:07:13.000Z,Yg perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama Masa Reses ditindaklanjuti sesuai mekanisme ResesDPR,yang perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama masa reses ditindaklanjuti sesuai mekanisme resesdpr,"What we need to remember is that we all understand that the DPR is not the executor, so findings during the recess period are followed up according to the DPR recess mechanism"
28,2016-12-27T07:06:25.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing ResesDPR,berdasarkan tatib DPR pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing resesdpr,"Based on DPR regulations, article paragraph, the results of the recess are reported in writing by members to their respective DPR recess factions"
29,2016-12-27T07:06:11.000Z,Kegiatan reses para Anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas ResesDPR,kegiatan reses para anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas resesdpr,DPR members' recess activities are carried out transparently and there is clear accountability for DPR members' recess
30,2016-12-27T07:05:57.000Z,Pada Masa Persidangan aspirasi masukan masyarakat selama Masa Reses akan disampaikan dibahas dg pemerintah saat Rapat Kerja ResesDPR,pada masa persidangan aspirasi masukan masyarakat selama masa reses akan disampaikan dibahas dengan pemerintah saat rapat kerja resesdpr,"During the trial period, community input aspirations during the recess period will be discussed with the government during the DPR recess working meeting"
31,2016-12-27T07:05:31.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR ResesDPR,pada masa reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR resesdpr,"During the recess period, the DPR carries out the task of absorbing the aspirations of the people related to the implementation of the DPR's recess functions and duties"
32,2016-12-27T07:05:16.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR ResesDPR,masa reses sendiri tertuang dalam UU MD no dan peraturan DPR no tentang tata tertib DPR resesdpr,The recess period itself is stated in MD Law no. and DPR regulation no. concerning DPR recess procedures
33,2016-12-27T07:05:01.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR,masa reses bukan berarti para anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya resesdpr,"The recess period does not mean that DPR members do not work, but their activities are carried out in the regions, especially in the DPR recess electoral areas"
34,2016-12-27T07:04:08.000Z,Dalam Masa Reses Anggota DPR akan melakukan kunjungan ke Dapil maupun kunjungan ke daerah lainnya dengan Alat Kelengkapan Dewan ResesDPR,dalam masa reses anggota DPR akan melakukan kunjungan ke dapil maupun kunjungan ke daerah lainnya dengan alat kelengkapan dewan resesdpr,"During the recess period, members of the DPR will make visits to electoral districts and visits to other areas with the equipment of the DPR recess council"
35,2016-12-27T07:02:47.000Z,Masa Reses adalah masa dimana Anggota DPR melakukan kegiatan di luar Masa Sidang terutama di luar gedung DPR ResesDPR,masa reses adalah masa dimana anggota DPR melakukan kegiatan di luar masa sidang terutama di luar gedung DPR resesdpr,"The recess period is the period when DPR members carry out activities outside the session period, especially outside the DPR building during the DPR recess"
36,2016-12-27T07:00:49.000Z,Masa Reses DPR Masa Persidangan II Tahun Sidang akan berlangsung dari tanggal Desember hingga Januari ResesDPR,masa reses DPR masa persidangan II tahun sidang akan berlangsung dari tanggal desember hingga januari resesdpr,The DPR recess period for the second session of the session year will take place from December to January
37,2016-12-27T06:59:33.000Z,Selamat sore Sahabat Parle Saat ini DPR RI sedang memasuki Masa Reses Masa Persidangan II Tahun Sidang ResesDPR,selamat sore sahabat parle saat ini DPR RI sedang memasuki masa reses masa persidangan II tahun sidang resesdpr,"Good afternoon, Parle friends, currently the DPR RI is entering a recess period for the second session of the DPR session year"
38,2016-12-27T03:09:09.000Z,Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga,reses di sinjai anggota DPR RI nasyid umar jemput keluhan warga,"recess in Sinjai, member of the Indonesian House of Representatives, Nasyid Umar, to take up residents' complaints"
39,2016-12-27T02:16:01.000Z,Kabarnya memanfaatkan waktu reses ini wakil rakyat daerah pemilihan Nusa Tenggara Timur NTT itu memboyong,kabarnya memanfaatkan waktu reses ini wakil rakyat daerah pemilihan nusa tenggara timur NTT itu memboyong,"It is reported that taking advantage of this recess, the people's representative from the East Nusa Tenggara electoral district, NTT, brought in"
40,2016-12-26T10:35:17.000Z,KUNINGAN KAPOL Reses Anggota DPR RI bisa dilakukan dengan berbagai cara Namun bagi KH Asep Maosul Affandi,KUNINGAN KAPOL reses anggota DPR RI dapat dilakukan dengan berbagai cara tetapi bagi KAH asep maosul affandi,BRASS KAPOL recess for DPR RI members can be done in various ways but for KAH asep maosul affandi
41,2016-12-26T08:41:36.000Z,CC Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,CC anggota DPR ini meminta kebijakan bebas visa dicabut,This DPR member CC asked for the visa-free policy to be revoked
42,2016-12-26T05:11:02.000Z,Inilah indikator kesuksesan reses Anggota DPR RI,inilah indikator kesuksesan reses anggota DPR RI,This is an indicator of the success of the DPR RI members' recess
43,2016-12-26T04:16:32.000Z,Ada misi Anggota DPR ketika masa reses Pertama untuk membangun akuntabilitas politik cc,ada misi anggota DPR ketika masa reses pertama untuk membangun akuntabilitas politik cc,There is a mission for DPR members during the first recess to build CC political accountability
44,2016-12-26T03:42:57.000Z,Siang teman teman Tgl Des Jan anggota melaksanakan reses Apa yg perlu kt ketahui sbg konstituen? cc,siang teman teman tanggal des jangan anggota melaksanakan reses apa yang perlu kita ketahui sebagai konstituen ? cc,"afternoon friends, December, don't members take a recess? What do we need to know as constituents? cc"
45,2016-12-26T03:29:55.000Z,Akan Bentuk Pansus Pekerja Asing Ilegal SEGERA Tinjau Ulang Kebijakan Bebas Visa dengan RRC Pak,akan bentuk pansus pekerja asing ilegal SEGERA tinjau ulang kebijakan bebas visa dengan RRC pak,"will form a special committee for illegal foreign workers. IMMEDIATELY review the visa-free policy with the PRC, sir"
46,2016-12-26T01:01:22.000Z,Terkait Kegiatan Reses Anggota DPR RI KPU dan Panwaslih Diuji Profesionalismenya,terkait kegiatan reses anggota DPR RI KPU dan panwaslih diuji profesionalismenya,"regarding the recess activities of DPR RI members, the KPU and Panwaslih were tested for their professionalism"
47,2016-12-25T15:07:03.000Z,Reses di Bone Anggota DPR RI Akbar Faisal Sampaikan ini,reses di bone anggota DPR RI akbar faisal sampaikan ini,"Member of the DPR RI, Akbar Faisal, said this during the recess"
48,2016-12-25T08:09:14.000Z,Temuan Komisi IX DPR RI Serbuan Buruh China Akibat Kebijakan Bebas Visa,temuan komisi IX DPR RI serbuan buruh china akibat kebijakan bebas visa,findings from Commission IX of the Indonesian House of Representatives of the invasion of Chinese workers due to the visa-free policy
49,2016-12-25T01:14:32.000Z,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila? dprkemana,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila ? dprkemana,humanity when people scream because of crazy executive policies? dprwhere
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,"Commission IX, chairman of Commission IX DPR RI, recommended to the government to review the visa-free policy"
51,2016-12-24T11:47:15.000Z,KTweets Komunitas Disabilitas Serahkan Draft RUU Penyandang Disabilitas ke Sekjen DPR RI RUUDisabilitas,ktweets komunitas disabilitas serahkan draft RUU penyandang disabilitas ke sekjen DPR RI ruudisabilitas,ktweets disability community submits draft bill for persons with disabilities to the secretary general of the DPR RI on disability issues
52,2016-12-24T10:44:44.000Z,Konsolidasi Pendidikan Politik DPD Golkar Kota Semarang Reses Anggota DPR RI Mujib Rohmad,konsolidasi pendidikan politik DPD golkar kota semarang reses anggota DPR RI mujib rohmad,consolidation of political education DPD Golkar Semarang City DPR RI member Mujib Rohmad recess
53,2016-12-24T10:02:14.000Z,DPR Minta Pemerintah Evaluasi Kebijakan Bebas Visa Komisi IX DPR RI merekomendasikan kepada pemerintah untuk,DPR meminta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI merekomendasikan kepada pemerintah untuk,The DPR asked the government to evaluate the visa-free policy. Commission IX of the DPR RI recommended to the government to
54,2016-12-24T09:32:54.000Z,Reses Anggota DPR RI Drs H Dadang S Muchtar Bersama Masyarakat Desa Pasirtalaga Kecamatan Telagasari Kabupaten Karawang Desember,reses anggota DPR RI drs h dadang si muchtar bersama masyarakat desa pasirtalaga kecamatan telagasari kabupaten karawang desember,"recess for DPR RI members Drs H Dadang Si Muchtar with the community of Pasirtalaga village, Telagasari sub-district, Karawang regency, December"
55,2016-12-24T02:57:25.000Z,Bayangkan bila anggota dpr dlm reses nya mensosialisasikan tax amnesti pasti efek nya positif tuk menyakin kan rakyat Tujuan ini program,bayangkan bila anggota dpr dalam reses nya mensosialisasikan tax amnesti pasti efek nya positif untuk menyakin kan rakyat tujuan ini program,"Imagine if members of the DPR during their recess socialized tax amnesty, it would definitely have a positive effect in convincing the people of the purpose of this program."
56,2016-12-23T21:07:30.000Z,BaBekasihtau Rencana Kebijakan Redenominasi Ini Pandangan Positif Anggota DPR,babekasihtau rencana kebijakan redenominasi ini pandangan positif anggota DPR,"babe, you know that the DPR members have a positive view of the redenomination policy plan"
57,2016-12-23T21:06:09.000Z,body status Dewibet Jkt Rencana Kebijakan uangrupiah redenominasi surabaya TeamK wanita dewi,body status dewibet jakarta rencana kebijakan uangrupiah redenominasi surabaya teamk wanita dewi,body status Dewibet Jakarta Rupiah Redenomination Policy Plan Surabaya TeamK Wanita Dewi
58,2016-12-23T20:56:28.000Z,Rencana Kebijakan Redenominasi Ini Pandangan Positif Anggota DPR,rencana kebijakan redenominasi ini pandangan positif anggota DPR,This redenomination policy plan is a positive view of DPR members
59,2016-12-23T16:26:59.000Z,Ratusan Pekerja Ilegal China Ditangkap Kebijakan BEBAS VISA perlu DITINJAU ULANG,ratusan pekerja ilegal china ditangkap kebijakan BEBAS VISA perlu DITINJAU ULANG,hundreds of illegal Chinese workers arrested VISA FREE policy needs to be REVIEWED
60,2016-12-23T15:36:09.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,This DPR member asked that the visa-free policy be revoked goaceh
61,2016-12-23T14:46:16.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,anggota DPR ini meminta kebijakan bebas visa dicabut,This DPR member asked for the visa-free policy to be revoked
62,2016-12-23T14:45:13.000Z,Sudah seharusnya di tinjau ulang Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,sudah seharusnya di tinjau ulang anggota DPR ini meminta kebijakan bebas visa dicabut,Members of the DPR should review this and ask for the visa-free policy to be revoked
63,2016-12-23T14:32:35.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,"This member of the DPR has asked for the visa-free policy to be revoked, goaceh"
64,2016-12-23T11:54:13.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut,This member of the DPR is making people anxious and asking for the visa-free policy to be revoked
65,2016-12-23T09:46:38.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,komisi VII berharap RUU pekerja sosial masuk prolegnas,Commission VII hopes that the social workers bill will enter the National Legislation Program
66,2016-12-23T09:46:15.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas info,komisi VII berharap RUU pekerja sosial masuk prolegnas info,Commission VII hopes that the social workers bill will be included in the National Legislative Information Program
67,2016-12-23T09:46:06.000Z,Dwi Murdaningsih Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,dwi murdaningsih komisi VII berharap RUU pekerja sosial masuk prolegnas,Dwi Murdaningsih Commission VII hopes that the social workers bill will be included in the National Legislation Program
68,2016-12-23T09:44:26.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas News,komisi VII berharap RUU pekerja sosial masuk prolegnas news,Commission VII hopes that the social workers bill will be included in the national legislative program
69,2016-12-23T09:43:20.000Z,Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas ROL,komisi VII berharap RUU pekerja sosial masuk prolegnas ROL,Commission VII hopes that the social workers bill will be included in the ROL National Legislation Program
70,2016-12-23T09:41:28.000Z,republikaonline Komisi VIII Berharap RUU Pekerja Sosial Masuk Prolegnas,republikaonline komisi VII berharap RUU pekerja sosial masuk prolegnas,republicaonline commission VII hopes that the social workers bill will enter the national legislative program
71,2016-12-23T09:36:12.000Z,Bilal Ramadhan Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bilal ramadhan anggota DPR ini meminta kebijakan bebas visa dicabut,"Bilal Ramadhan, a member of the DPR, asked that the visa-free policy be revoked"
72,2016-12-23T09:33:08.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut ROL,anggota DPR ini meminta kebijakan bebas visa dicabut ROL,This member of the DPR asked that the visa-free policy be revoked by ROL
73,2016-12-23T09:31:25.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut info,anggota DPR ini meminta kebijakan bebas visa dicabut info,This DPR member asked for the visa-free policy to be revoked
74,2016-12-23T09:31:11.000Z,republikaonline Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,republikaonline anggota DPR ini meminta kebijakan bebas visa dicabut,Republikaonline This DPR member asked for the visa-free policy to be revoked
75,2016-12-23T09:29:07.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut News,anggota DPR ini meminta kebijakan bebas visa dicabut news,This DPR member asked for the visa-free policy to be revoked news
76,2016-12-23T09:16:21.000Z,DPR Minta Kebijakan Bebas Visa Dicabut,DPR meminta kebijakan bebas visa dicabut,The DPR asked for the visa-free policy to be revoked
77,2016-12-23T09:02:12.000Z,Cc RT JK Sebut Kebijakan Bebas Visa Perlu Dievaluasi,cc RT JIKA sebut kebijakan bebas visa perlu dievaluasi,cc RT IF you say the visa-free policy needs to be evaluated
78,2016-12-23T06:02:31.000Z,Anggota DPR RI Gelar Reses di Desa Siberida Kecamatan Batang Gansal,anggota DPR RI gelar reses di desa siberida kecamatan batang gansal,"Members of the DPR RI held a recess in Cyberida village, Batang Gansal sub-district"
79,2016-12-23T04:24:14.000Z,Kunjungi Ponpes Tazaka Anggota DPR Minta Masukan soal RUU Ponpes,kunjungi ponpes tazaka anggota DPR meminta masukan soal RUU ponpes,Visit Islamic boarding school Tazaka DPR members ask for input on the Islamic boarding school bill
80,2016-12-22T14:07:26.000Z,Reses A DPR RI Jaring aspirasi Kamis malam,reses a DPR RI jaring aspirasi kamis malam,DPR RI recess for aspirations Thursday night
81,2016-12-22T13:53:37.000Z,JMR JAringRadio DPR RI Pemberdayaan ekonomi sangat penting u tekan terorisme bahkan kebijakan bebas Visa jg harus dihapus Cc,JMR jaringradio DPR RI pemberdayaan ekonomi sangat penting kamu tekan terorisme bahkan kebijakan bebas visa juga harus dihapus cc,"JMR DPR RI radio network for economic empowerment is very important for you to suppress terrorism, even the visa-free policy must also be abolished cc"
82,2016-12-22T08:16:25.000Z,Pemerintah Diminta Evaluasi Kebijakan Bebas Visa,pemerintah diminta evaluasi kebijakan bebas visa,The government was asked to evaluate the visa-free policy
83,2016-12-21T10:15:01.000Z,Kebijakan Bebas Visa Hilangkan Potensi Pendapatan Negara Rp Triliun,kebijakan bebas visa hilangkan potensi pendapatan negara rp triliun,visa-free policy eliminates potential state revenue of IDR trillion
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumahku reses dan silaturahim bersama anggota DPR RI pkbmembelarakyat,"My electoral district, my house, has a recess and friendship with the members of the DPR RI, PKB to defend the people"
85,2016-12-21T07:25:06.000Z,RUU ini merupakan inisiatif dari DPR RI telah penuhi tata tertib dan segala peraturan DPR RI baleg,RUU ini merupakan inisiatif dari DPR RI telah penuhi tata tertib dan segala peraturan DPR RI baleg,This bill is an initiative of the DPR RI and fulfills the rules and regulations of the DPR RI Baleg
86,2016-12-21T06:15:58.000Z,Anggota DPR Minta Kebijakan Bebas Visa Dievaluasi,anggota DPR meminta kebijakan bebas visa dievaluasi,DPR members asked for the visa-free policy to be evaluated
87,2016-12-21T04:31:12.000Z,Edhie Baskoro Yudhoyono atau yg biasa disapa Ibas anggota DPR RI dari Partai Demokrat kembali melakukan reses,edhie baskoro yudhoyono atau yang biasa disapa ibas anggota DPR RI dari partai demokrat kembali melakukan reses,"Edhie Baskoro Yudhoyono or who is usually called Ibas, a member of the DPR RI from the Democratic Party, is back on recess"
88,2016-12-21T04:22:05.000Z,Anggota DPR RI ini menilai kebijakan penambahan biaya visa riyal Saudi bagi jemaah umrah itu hal positif,anggota DPR RI ini menilai kebijakan penambahan biaya visa riyal saudi bagi jemaah umrah itu hal positif,This member of the Indonesian House of Representatives considers the policy of increasing Saudi riyal visa fees for Umrah pilgrims to be a positive thing
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,"touching, the people's representatives have too much time to update on social media, almost no time to update the aspirations of the people they represent"
90,2016-12-20T15:40:47.000Z,Anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,DPR members believe that the visa-free policy has led to many foreign workers working illegally
91,2016-12-20T12:22:48.000Z,DPR Desak Pemerintah Evaluasi Kebijakan Bebas Visa Wakil Ketua Komisi IX DPR RI Saleh Partaonan Daulay menilai,DPR desak pemerintah evaluasi kebijakan bebas visa wakil ketua komisi IX DPR RI saleh partaonan daulay menilai,"The DPR urges the government to evaluate the visa-free policy, the deputy chairman of Commission IX of the DPR RI, Saleh Partaonan Daulay, assessed"
92,2016-12-20T12:17:29.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,kebijakan bebas visa dinilai perlu dievaluasi,The visa-free policy is deemed to need to be evaluated
93,2016-12-20T09:28:30.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi info,kebijakan bebas visa dinilai perlu dievaluasi info,The visa-free policy is deemed to need to be evaluated
94,2016-12-20T09:28:19.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi News,kebijakan bebas visa dinilai perlu dievaluasi news,the visa-free policy is deemed to need to be evaluated news
95,2016-12-20T09:27:27.000Z,Dwi Murdaningsih Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,dwi murdaningsih kebijakan bebas visa dinilai perlu dievaluasi,Dwi Murdaningsih considers the visa-free policy to be evaluated
96,2016-12-20T07:50:32.000Z,Berkunjung ke DPR RI diterima Setjen bagian Bamus Krn DPR RInya masa reses,berkunjung ke DPR RI diterima setjen bagian bamus karena DPR rinya masa reses,The visit to the DPR RI was received by the General Secretary of the Bamus because the DPR was currently in recess
97,2016-12-20T05:18:42.000Z,Anggota Komisi I DPR RI Jazuli Juwaini data Dirjen Imigrasi Kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah Tiongkok,anggota komisi i DPR RI jazuli juwaini data dirjen imigrasi kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah tiongkok,"Member of Commission I DPR RI Jazuli Juwaini Data from the Director General of Immigration, Ministry of Law and Human Rights, Chinese are the Chinese who most frequently violate the visa-free policy."
