no,timestamp,teks,teks_processed,sentiment,compound_score
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temui petani tembakau anggota DPR ini janji kawal penyelesaian RUU pertembakauan,positive,0.6289226359922113
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,positive,0.19311981839095343
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,positive,0.515992754694415
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masukan soal RUU CSR ikibangsaku,negative,-0.3680368469877013
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana kemajuan ruu_jasa_konstruksi ?,positive,0.5267415375673765
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,neutral,0.0
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan terkait pengesahan UU santet lewat,negative,-0.6369499429264263
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi fraksi nasdem paling sering bolos,positive,0.1027330993875028
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan revisi undang undang pemilu RUU,negative,-0.22467666971922054
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen percepat pembahasan RUU,positive,0.4893110583195424
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,neutral,0.0
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpulkan kepala desa se kabupaten sumbawa dorong desa mandiri,negative,-0.5267415375673765
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,neutral,0.0
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke fraksi golkar daerah,negative,-0.7739149202363939
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,kesekian kalinya dewan perwakilan rakyat daerah DPRD kabupaten gresik menggelar rapat paripurna penyampaian,neutral,0.0
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR targetkan UU perbukuan nnasional rampung komisi kali DPR RI menargetkan rancangan undang undang sis RT,positive,0.6567537776612756
690,2016-10-31T02:44:33.000Z,Untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,negative,-0.9000703207408192
718,2016-10-29T09:00:10.000Z,Anggota DPR Indra Tersangka Penipuan Rp M MKD Bersikap Usai Reses fath,anggota DPR indra tersangka penipuan rp sama MKD bersikap usai reses fath,positive,0.5533611140509962
745,2016-10-28T09:52:38.000Z,DPR Umumkan Susunan Anggota Pansus RUU Pemilu,DPR umumkan susunan anggota pansus RUU pemilu,neutral,0.0
786,2016-10-27T11:22:50.000Z,DPR RI Sahkan Revisi RUU ITE,DPR RI sahkan revisi RUU ITE,neutral,0.0
790,2016-10-27T09:43:16.000Z,Paripurna DPR Sahkan RUU ITE Jadi UU,paripurna DPR sahkan RUU ITE jadi UU,positive,0.3680368469877013
825,2016-10-27T02:00:14.000Z,Anggota DPR Tak Hadir Dalam Sidang Paripurna Pengesahan UU APBN Jakarta DPR siang ini menggelar s,anggota DPR tak hadir dalam sidang paripurna pengesahan UU APBN jakarta DPR siang ini menggelar si,negative,-0.6900905451760714
829,2016-10-26T19:56:26.000Z,DPR RI Menyetujui RUU APBN,DPR RI menyetujui RUU APBN,neutral,0.0
877,2016-10-26T06:20:26.000Z,Agenda hari ini Rapat Paripurna DPR Ke Masa Persidangan I Tahun Sidang agendaDPR sidangparipurna DPR RI,agenda hari ini rapat paripurna DPR ke masa persidangan i tahun sidang agendadpr sidangparipurna DPR RI,neutral,0.0
879,2016-10-26T05:26:12.000Z,Syarifuddin Suding RUU Pemilu Akan Digiring ke Pemilu Sistem Proporsional Tertutup,syarifuddin suding RUU pemilu akan digiring ke pemilu sistem proporsional tertutup,negative,-0.7184212081070996
1003,2016-10-20T10:03:32.000Z,Wakil Ketua DPR RI Agus Hermanto mendorong pemerintah segera menyerahkan draf Rancangan Undang Undang RUU P,wakil ketua DPR RI agus hermanto mendorong pemerintah segera menyerahkan draf rancangan undang undang RUU p,positive,0.6739361716859966
1032,2016-10-19T16:29:23.000Z,Usai Reses Ruhut Mundur sebagai Anggota DPR RI,usai reses ruhut mundur sebagai anggota DPR RI,negative,-0.4465681526609422
1033,2016-10-19T15:20:37.000Z,Terimakasih Indonesia Sahkan Paris Agreement Jadi Undang Undang,terimakasih indonesia sahkan paris agreement jadi undang undang,positive,0.7782533221506258
1121,2016-10-14T09:16:22.000Z,Panja RUU Sistem Perbukuan Identifikasi Masalah Utama,panja RUU sistem perbukuan identifikasi masalah utama,negative,-0.20228869496966945
1155,2016-10-13T01:49:36.000Z,DPR Sahkan UU Pelaksanaan Hukuman Kebiri JAKARTA SK Pihak DPR RI akhirnya mengesahkan undang undang UU,DPR sahkan UU pelaksanaan hukuman kebiri JAKARTA SUKA pihak DPR RI akhirnya mengesahkan undang undang UU,negative,-0.3680368469877014
1223,2016-10-12T02:40:42.000Z,DPR Kembali Bahas UU Perppu di Rapat Paripurna Dewan Perwakilan Rakyat DPR,DPR kembali bahas UU perppu di rapat paripurna dewan perwakilan rakyat DPR,neutral,0.0
1232,2016-10-11T09:38:26.000Z,Rapat juga menyetujui perpanjangan waktu pembahasan Pansus RUU PPILN sampai dengan Masa Persidangan II Tahun Sidang,rapat juga menyetujui perpanjangan waktu pembahasan pansus RUU PPILN sampai dengan masa persidangan II tahun sidang,positive,0.712522343841055
1260,2016-10-10T13:03:13.000Z,KabaKampuang Fraksi Partai Kebangkitan Bangsa di DPR RI akan mengusulkan RUU Pendidikan Madrasah dan Pondok Pesan,kabakampuang fraksi partai kebangkitan bangsa di DPR RI akan mengusulkan RUU pendidikan madrasah dan pondok pesan,positive,0.712522343841055
1279,2016-10-09T23:07:21.000Z,Dewan Perwakilan Rakyat DPR meminta aturan turunan dari Undang Undang UU No Tahun tentang Pendidikan,dewan perwakilan rakyat DPR meminta aturan turunan dari undang undang UU no tahun tentang pendidikan,positive,0.25187359117788316
1282,2016-10-08T20:03:18.000Z,DPR bebas visa disalahgunakan jatim rugi Rp triliun Komisi III DPR RI menemukan penyalahgunaan kebijakan bebas,DPR bebas visa disalahgunakan jatim rugi rp triliun komisi II DPR RI menemukan penyalahgunaan kebijakan bebas,negative,-0.959160896805944
1290,2016-10-07T00:54:12.000Z,Anggota DPR Apresiasi Penghentian Kebijakan Plastik Berbayar,anggota DPR apresiasi penghentian kebijakan plastik berbayar,negative,-0.5267415375673765
1327,2016-10-05T17:45:55.000Z,DPR dukung undang undang khusus tentang Antara Anggota Komisi I DPR RI yang juga pernah menjadi pemimpin reda,DPR dukung undang undang khusus tentang antara anggota komisi i DPR RI yang juga pernah menjadi pemimpin reda,positive,0.4893110583195424
1406,2016-09-28T05:14:03.000Z,Komisi II DPR RI Siap Bahas Pasal RUU Pemilu,komisi II DPR RI siap bahas pasal RUU pemilu,positive,0.3680368469877013
1412,2016-09-27T23:57:38.000Z,hukumOnline Jika RUU Jabatan Hakim Disahkan Hakim Bukan Monopoli MA Dewan Perwakilan Rakyat DPR menjad,hukumonline jika RUU jabatan hakim disahkan hakim bukan monopoli SAMA dewan perwakilan rakyat DPR menjad,negative,-0.6932032345879482
1449,2016-09-22T07:22:19.000Z,Tribun Rieke Diah Pitaloka Undang Undang Tax Amnesty Jangan Menakuti Pengusaha NewsToday DKK,tribun rieke diah pitaloka undang undang tax amnesty jangan menakuti pengusaha newstoday DKK,negative,-0.3636660235977354
1482,2016-09-20T07:07:10.000Z,Cari Masukan RUU Karantina Hewan Ikan dan Tumbuhan Komisi IV DPR RI Gelar FGD di Undip,cari masukan RUU karantina hewan ikan dan tumbuhan komisi IV DPR RI gelar FGD di undip,negative,-0.3680368469877013
1514,2016-09-15T08:20:44.000Z,Berlanjut Baleg DPR RI Bahas DIM RUU Kekarantinaan Kesehatan,berlanjut baleg DPR RI bahas DIM RUU kekarantinaan kesehatan,neutral,0.0
1567,2016-09-10T12:33:07.000Z,Anggota DPR RUU ITE mengacu putusan MK Indonesia,anggota DPR RUU ITE mengacu putusan MAKA indonesia,neutral,0.0
1569,2016-09-10T12:32:44.000Z,Anggota DPR RUU ITE mengacu putusan MK politik,anggota DPR RUU ITE mengacu putusan MAKA politik,negative,-0.3680368469877013
1587,2016-09-09T00:15:54.000Z,Hari Hari Sepi Rapat Paripurna DPR Berlanjut,hari hari sepi rapat paripurna DPR berlanjut,negative,-0.5267415375673765
1759,2016-08-28T11:02:53.000Z,Baleg DPR RI Undang PP IPPAT Bahas Persiapan Pengesahan RUU PPAT,baleg DPR RI undang PP IPPAT bahas persiapan pengesahan RUU PPAT,positive,0.515992754694415
1765,2016-08-27T13:44:06.000Z,Menyambut HUTDPR pada Agustus juga akan diadakan Rapat Paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,menyambut HUTDPR pada agustus juga akan diadakan rapat paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,positive,0.3680368469877013
1819,2016-08-24T13:26:15.000Z,Itu undang undang bung bukan peraturan perusahaan Pembuatan UU butuh anggota dpr komisi hukum dan makan wkt lama,itu undang undang bung bukan peraturan perusahaan pembuatan UU butuh anggota dpr komisi hukum dan makan waktu lama,negative,-0.9390163758477515
1820,2016-08-23T16:03:02.000Z,Populer Aturan Cuti Petahana Sebaiknya Opsional,populer aturan cuti petahana sebaiknya opsional,positive,0.5267415375673765
1861,2016-08-23T12:13:12.000Z,News Ketua DPR Tak Ingin Komisi III Buru buru dalam Membahas RUU KUHP Komisi III DPR RI menggelar acar TU,news ketua DPR tak ingin komisi II buru buru dalam membahas RUU KUHP komisi II DPR RI menggelar acar ITU,positive,0.7739149202363939
1866,2016-08-23T04:32:36.000Z,Dr Agus Hermanto bersama pimpinan DPR RI menghadiri Rapat Paripurna Masa Persidangan I TS,dari agus hermanto bersama pimpinan DPR RI menghadiri rapat paripurna masa persidangan i TS,positive,0.6289226359922112
1898,2016-08-19T15:57:02.000Z,JKTJanken vs Winner Aurel,jktjanken vs winner aurel,neutral,0.0
1903,2016-08-18T14:46:18.000Z,Wakil rakyat perlu elak politikkan RUU,wakil rakyat perlu elak politikkan RUU,negative,-0.3680368469877013
1935,2016-08-16T08:41:53.000Z,Pidato presiden Republik Indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tgl Agustus,pidato presiden republik indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tanggal agustus,positive,0.3680368469877013
1941,2016-08-16T08:02:05.000Z,Demikian beberap poin penting pidato Ketua DPR Ade Komarudin dalam Rapat Paripurna DPR RI mengenai RUU APBN ParipurnaDPR,demikian beberap poin penting pidato ketua DPR adek komarudin dalam rapat paripurna DPR RI mengenai RUU APBN paripurnadpr,positive,0.8986243465789788
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,negative,-0.16303629267022204
2086,2016-08-10T01:05:04.000Z,Anggota DPR Usulan RUU Kamnas Belum Tepat,anggota DPR usulan RUU kamnas belum tepat,negative,-0.3236946803878317
2162,2016-08-06T19:11:16.000Z,Rapat paripurna komisi dpr,rapat paripurna komisi dpr,neutral,0.0
2251,2016-07-28T17:25:49.000Z,Tribun Ketua Komisi V Fary Djemi Luncurkan Buku Pengalaman saat Reses etua Komisi V DPR RI Fary Djemi NewsToday,tribun ketua komisi v fary djemi luncurkan buku pengalaman saat reses etua komisi v DPR RI fary djemi newstoday,positive,0.38181916792267817
2288,2016-07-27T17:17:12.000Z,Fraksi Setuju RUU Pertembakauan Diparipurnakan via republika,fraksi setuju RUU pertembakauan diparipurnakan via republika,positive,0.10273309938750283
2328,2016-07-26T17:38:32.000Z,NEWS Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani GaleriBerita,NEWS anggota DPR sebut RUU tembakau untuk melindungi petani galeriberita,positive,0.3680368469877013
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadiri rapat paripurna wakil rakyat kepulauan riau kepri,negative,-0.7184212081070996
2391,2016-07-22T11:30:57.000Z,tahun RUU PRT diabaikan wakil rakyat via,tahun RUU PRT diabaikan wakil rakyat via,negative,-0.4465681526609422
2398,2016-07-22T07:04:46.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang beritanegara,RUU pertanggungjawaban APBN disetujui DPR untuk dilanjutkan ke tingkat undang undang beritanegara,positive,0.3680368469877013
2403,2016-07-21T14:53:03.000Z,Kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU Tembakau yg memuat racun nikotin perusak kesehatan otak dan paru insan?,kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU tembakau yang memuat racun nikotin perusak kesehatan otak dan paru insan ?,negative,-0.7782533221506259
2472,2016-07-19T03:29:08.000Z,Undang Undang Pertembakauan Tekankan Pengendalian Impor,undang undang pertembakauan tekankan pengendalian impor,neutral,0.0
2547,2016-07-02T08:15:49.000Z,JAKARTA Anggota Komisi IX DPR RI Ahmad Zainuddin menyambut baik kebijakan Badan Penyelenggara Jaminan Sosia,JAKARTA anggota komisi IX DPR RI ahmad zainuddin menyambut baik kebijakan badan penyelenggara jaminan sosia,positive,0.4893110583195424
2566,2016-06-29T07:45:15.000Z,RUU tentang Penyandang Disabilitas yg merupakan revisi dari UU Nomor Tahun kini telah disahkan menjadi Undang Undang oleh,RUU tentang penyandang disabilitas yang merupakan revisi dari UU nomor tahun kini telah disahkan menjadi undang undang oleh,positive,0.6369499429264264
2646,2016-06-27T16:19:02.000Z,RUU Tax Amnesty Melangkah ke Paripurna DPR RI,RUU tax amnesty melangkah ke paripurna DPR RI,neutral,0.0
2660,2016-06-27T14:05:35.000Z,Hari ini Komisi XI DPR_RI melakukan persetujuan tingkat I atas RUU Pengampunan Pajak Semua fraksi setuju diteruskan ke Paripurna DPR,hari ini komisi XI DPR_RI melakukan persetujuan tingkat i atas RUU pengampunan pajak semua fraksi setuju diteruskan ke paripurna DPR,positive,0.4465681526609422
2663,2016-06-27T13:01:17.000Z,Rapat Paripurna Diwarnai Bangku Kosong Anggota Dewan,rapat paripurna diwarnai bangku kosong anggota dewan,negative,-0.6369499429264264
2708,2016-06-27T03:08:44.000Z,Anggota DPR Impor Daging Sapi Kebijakan Sia Sia,anggota DPR impor daging sapi kebijakan sia sia,negative,-0.937127104577154
2729,2016-06-26T11:21:02.000Z,Pengamat spt Ronny Bako apakah ada niat baik dgn mengulur ulur taxamnesty ?,pengamat seperti ronny bako apakah ada niat baik dengan mengulur ulur taxamnesty ?,negative,-0.33131729782405317
2731,2016-06-26T09:24:48.000Z,Tata tertib DPR Pasal Ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,tata tertib DPR pasal ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,positive,0.6289226359922111
2751,2016-06-23T04:04:46.000Z,Rapat Paripurna DPRD Kab Wonogiri,rapat paripurna DPRD kab wonogiri,neutral,0.0
2796,2016-06-20T14:22:37.000Z,Panja RUU Kebudayaan Himpun Masukan ke NTB,panja RUU kebudayaan himpun masukan ke NTB,negative,-0.6289226359922112
2813,2016-06-20T06:16:06.000Z,RUU Kebudayaan Diharap Bisa Lestarikan Kearifan Lokal Republika Online,RUU kebudayaan diharap bisa lestarikan kearifan lokal republika online,positive,0.29595817420019405
2814,2016-06-20T05:53:11.000Z,UMKM dapat tarif tebusan khusus di RUU Tax Amnesty,UMKM dapat tarif tebusan khusus di RUU tax amnesty,positive,0.28077181552431213
2829,2016-06-20T04:54:55.000Z,Wakil Rakyat Tak Hadir di Paripurna DPR Bahas Calon Kapolri DPR menggelar rapat paripurna deng Detikcom,wakil rakyat tak hadir di paripurna DPR bahas calon kapolri DPR menggelar rapat paripurna deng detikcom,negative,-0.29235141826433225
2842,2016-06-20T03:19:13.000Z,DPR RI Impor Daging Kebijakan Sia Sia,DPR RI impor daging kebijakan sia sia,negative,-0.9141356443769735
2843,2016-06-20T02:41:15.000Z,Ruang Rapat Paripurna DPR RI,ruang rapat paripurna DPR RI,negative,-0.6289226359922112
2848,2016-06-19T16:45:20.000Z,RUU pengampunan perampok TolakTAXAmnesty TolakTAXAmnesty,RUU pengampunan perampok tolaktaxamnesty tolaktaxamnesty,negative,-0.7739149202363939
2909,2016-06-15T08:40:20.000Z,RUU Arsitek Bakal Atur Mengenai Jenjang Pendidikan,RUU arsitek bakal atur mengenai jenjang pendidikan,positive,0.6369499429264264
2947,2016-06-13T21:27:29.000Z,Lancar Pak hingga pelantikan Selamat Pak BG,lancar pak hingga pelantikan selamat pak BANG,positive,0.38181916792267817
2948,2016-06-13T21:21:33.000Z,Selamat Pak BG lancar hingga pelantikan,selamat pak BANG lancar hingga pelantikan,positive,0.515992754694415
3078,2016-06-07T06:25:19.000Z,Ketua Fraksi PPP DPR RI Reni Marlinawati mengharapkan pembahasan RUU tentang Perlindungan Kejahatan Seks dip,ketua fraksi PP DPR RI reni marlinawati mengharapkan pembahasan RUU tentang perlindungan kejahatan seks dip,negative,-0.22467666971922054
3136,2016-06-03T08:25:58.000Z,Baleg dan Menkes Bahas RUU Kekarantinaan Kesehatan,baleg dan menkes bahas RUU kekarantinaan kesehatan,neutral,0.0
3137,2016-06-03T08:24:36.000Z,Kebijakan Pemerintah Terkait Harga Daging Sapi Matikan Peternak,kebijakan pemerintah terkait harga daging sapi matikan peternak,negative,-0.5267415375673765
3191,2016-06-02T06:33:30.000Z,Diskusi Publik Fraksi Partai Gerindra DPR RI Urgensi RUU Karantina at Gedung Nusantara I Lt DPR RI,diskusi publik fraksi partai gerindra DPR RI urgensi RUU karantina at gedung nusantara i lantai DPR RI,neutral,0.0
3214,2016-06-02T05:43:33.000Z,Selamat atas pengesahan perubahan kedua UU No ttg Perppu UNo ttg Pemilihan Gubernur Bupati Walikota jadi UU ParipurnaLive,selamat atas pengesahan perubahan kedua UU no tentang perppu uno tentang pemilihan gubernur bupati walikota jadi UU paripurnalive,positive,0.42300222790235126
3297,2016-05-31T10:57:26.000Z,DPR Tegaskan RUU Pertembakauan Lindungi Petani,DPR tegaskan RUU pertembakauan lindungi petani,positive,0.3680368469877013
3308,2016-05-31T04:24:57.000Z,LANGSUNG di Periscope Para Tokoh OIC Youth ICMI AIDA FPI ICJR sampaikan masukan terkait Revisi RUU Pemberant,LANGSUNG di periscope para tokoh OIC youth ICMI AIDA FPI ICJR sampaikan masukan terkait revisi RUU pemberant,positive,0.515992754694415
3360,2016-05-28T09:36:33.000Z,Fraksi PKB DPR RI Siap Ajukan RUU Pengelolaan Madrasah,fraksi PKB DPR RI siap ajukan RUU pengelolaan madrasah,positive,0.3680368469877013
3377,2016-05-27T11:26:23.000Z,RUU Tax Amnesty Saatnya Revolusi Perpajakan,RUU tax amnesty saatnya revolusi perpajakan,neutral,0.0
3411,2016-05-26T09:30:35.000Z,Senin depan rapat terbuka bahas RUU taxamnesty,senin depan rapat terbuka bahas RUU taxamnesty,positive,0.5267415375673765
3417,2016-05-26T06:26:52.000Z,Agenda selanjutnya pendapat Fraksi terhadap RUU Penyelenggaraan Ibadah Haji Umrah usul inisiatif Komisi VIII jadi usul DPR ParipurnaLive,agenda selanjutnya pendapat fraksi terhadap RUU penyelenggaraan ibadah haji umrah usul inisiatif komisi VII jadi usul DPR paripurnalive,positive,0.7739149202363939
3461,2016-05-25T11:08:48.000Z,inikah wakil rakyat???? Makan gaji buta haram hukumnya,inikah wakil rakyat ? ? makan gaji buta haram hukumnya,negative,-0.6965638893816957
3467,2016-05-25T10:08:18.000Z,Retweet FollowMe Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembaha NewsUpdate Today,retweet followme banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembaha newsupdate today,negative,-0.6369499429264264
3468,2016-05-25T10:08:01.000Z,Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembahasan sederet RUU di DPR mandek bahkan hingga beberapa masa sida,banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembahasan sederet RUU di DPR mandek bahkan hingga beberapa masa sida,negative,-0.7982623453420291
3492,2016-05-24T12:09:06.000Z,Ya RUU ini usul inisiatif Komisi DPR RI,ya RUU ini usul inisiatif komisi DPR RI,neutral,0.0
3494,2016-05-24T11:38:49.000Z,Anggota DPR BUMN jangan habisi kontraktor kecil Anggota Panja Revisi Undang Undang Jasa Konstruksi Mohamm,anggota DPR BUMN jangan habisi kontraktor kecil anggota panja revisi undang undang jasa konstruksi mohamm,positive,0.6666558020973253
3567,2016-05-20T08:05:01.000Z,Rapat Paripurna DPR ke Sepi Wakil Rakyat,rapat paripurna DPR ke sepi wakil rakyat,negative,-0.5267415375673765
3570,2016-05-20T07:51:13.000Z,Anggota DPR RI Fraksi Nasdem Johny Plate Pembahasan RUU tax amnesty ditargetkan akan selesai pada Juni mendatang,anggota DPR RI fraksi nasdem johny plate pembahasan RUU tax amnesty ditargetkan akan selesai pada juni mendatang,positive,0.515992754694415
3574,2016-05-20T07:49:09.000Z,Hatta Rajasa RAPBN Jadi Pembahasan Paripurna ke DPR RI Rapat Paripurna dihadiri oleh Menteri Keuan,hatta rajasa RAPBN jadi pembahasan paripurna ke DPR RI rapat paripurna dihadiri oleh menteri keuan,positive,0.3680368469877013
3619,2016-05-18T10:52:37.000Z,Baleg Setuju RUU Kekerasan Seksual Masuk Prolegnas,baleg setuju RUU kekerasan seksual masuk prolegnas,positive,0.10273309938750283
3673,2016-05-17T05:53:27.000Z,semangat bpk smg cpt reses lg,semangat bpk semoga cepat reses lagi,positive,0.7184212081070996
3708,2016-05-16T14:16:53.000Z,Reses DPR RI di Kantor Desa Pasir Angin Cileungsi Bogor,reses DPR RI di kantor desa pasir angin cileungsi bogor,neutral,0.0
3737,2016-05-16T05:31:03.000Z,Tweeps besok Mei rencana panja RUU Pengampunan Pajak mulai bekerja lagi Perlu dipantau nih,tweeps besok mei rencana panja RUU pengampunan pajak mulai bekerja lagi perlu dipantau ini,positive,0.6369499429264265
3842,2016-05-10T02:27:00.000Z,Dinamika Politik Proses Pembentukan Undang Undang di Dewan Perwakilan Rakyat dan Kendalanya at Gedung DPR RI,dinamika politik proses pembentukan undang undang di dewan perwakilan rakyat dan kendalanya at gedung DPR RI,positive,0.5267415375673765
3953,2016-05-04T02:14:54.000Z,Sktr bln lalu ada petisi utk DPR RI agar memskkan RUU Penghapusan Kekerasan Seksual namun hg saat ini hny org yg ttd,sktr bulan lalu ada petisi untuk DPR RI agar memskkan RUU penghapusan kekerasan seksual tetapi hg saat ini hanya orang yang ttd,negative,-0.7782533221506258
4025,2016-04-29T06:01:12.000Z,gelar Rapat Paripurna penutupan masa sidang,gelar rapat paripurna penutupan masa sidang,neutral,0.0
4027,2016-04-29T04:37:17.000Z,Pembahasan RUU Tax Amnesty Dilanjutkan Setelah Reses DPR Pemerintah bersama Dewan Perwakilan Rakyat DPR ak,pembahasan RUU tax amnesty dilanjutkan setelah reses DPR pemerintah bersama dewan perwakilan rakyat DPR aku,positive,0.6289226359922112
4033,2016-04-29T03:44:07.000Z,Ketua DPR Yakin RUU Pengampunan Pajak Selesai Mei,ketua DPR yakin RUU pengampunan pajak selesai mei,positive,0.7739149202363939
4070,2016-04-28T17:33:31.000Z,info DPR RI Akhirnya Siapkan Panja RUU Tax Amnesty,info DPR RI akhirnya siapkan panja RUU tax amnesty,neutral,0.0
4108,2016-04-28T04:53:51.000Z,Komisi XI Rapat Kerja dengan Menteri PPN Kepala Bappenas membahas RUU Tax Amnesty DPRLive,komisi XI rapat kerja dengan menteri PPN kepala bappenas membahas RUU tax amnesty dprlive,positive,0.515992754694415
