no,score_annotator 1,category_annotator 1,score_annotator 2,category_annotator 2,score_annotator 3,category_annotator 3,score_annotator 4,category_annotator 4,score_annotator 5,category_annotator 5
2843,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9474,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5723,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
7301,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
566,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2288,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
8912,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
2663,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
2086,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
5928,1,Slightly Positive,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
11663,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
8592,-3,Very Negative,0,Neutral,0,Neutral,-2,Moderately Negative,0,Neutral
12390,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4375,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
11069,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3411,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
369,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
7654,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10228,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
3360,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
6101,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6397,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
2079,-2,Moderately Negative,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-1,Slightly Negative
4755,1,Slightly Positive,0,Neutral,2,Moderately Positive,0,Neutral,0,Neutral
531,2,Moderately Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
7818,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5249,1,Slightly Positive,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
7891,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5317,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
786,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
7271,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,0,Neutral
12791,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,0,Neutral
4198,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
552,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9999,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral,-2,Moderately Negative
2842,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,0,Neutral
1569,0,Neutral,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,0,Neutral
401,0,Neutral,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive
8100,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,0,Neutral
5259,0,Neutral,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,0,Neutral
5791,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5506,0,Neutral,0,Neutral,1,Slightly Positive,-1,Slightly Negative,0,Neutral
6874,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8190,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6607,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2948,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5933,0,Neutral,0,Neutral,0,Neutral,0,Neutral,-2,Moderately Negative
494,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,0,Neutral
7041,0,Neutral,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,0,Neutral
168,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
790,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9219,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive,0,Neutral
472,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,0,Neutral
4376,0,Neutral,0,Neutral,0,Neutral,0,Neutral,-2,Moderately Negative
8182,-2,Moderately Negative,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3136,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4244,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral,-1,Slightly Negative
10940,-1,Slightly Negative,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,0,Neutral
6283,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11440,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
3673,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,-2,Moderately Negative,0,Neutral
745,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3297,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,0,Neutral
8066,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,0,Neutral
4300,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
5824,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
411,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,-2,Moderately Negative
3567,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,0,Neutral
2796,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,-1,Slightly Negative
1903,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative,0,Neutral
6330,0,Neutral,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative
5094,-1,Slightly Negative,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-2,Moderately Negative
2391,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-3,Very Negative,0,Neutral
4609,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4877,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
420,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-2,Moderately Negative
11867,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
7158,0,Neutral,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-1,Slightly Negative
2947,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
442,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
583,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6744,1,Slightly Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
2909,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6878,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
11998,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6674,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5580,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9450,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
8329,2,Moderately Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
9774,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
5292,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5409,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,-1,Slightly Negative
6165,-1,Slightly Negative,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2848,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
6051,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4070,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
4025,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11625,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
6838,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5445,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
4033,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
8112,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
9783,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral,1,Slightly Positive
3619,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
7497,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
6482,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5808,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8171,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
7035,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
3377,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
2472,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3492,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11082,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
7438,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
4489,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2751,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6684,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
12045,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
1820,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1567,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1898,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2646,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12914,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
6884,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
8389,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative
5581,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
681,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5641,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
5519,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6241,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
3417,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
1282,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative
7075,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
7881,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
718,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
6992,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9632,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
7789,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
1327,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
7189,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5023,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
101,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
2328,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
3953,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
4470,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
10568,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5921,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8132,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1290,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5450,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
690,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1003,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
3078,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
1759,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
12223,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
2660,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
8288,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6807,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,0,Neutral,-1,Slightly Negative
7359,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
6414,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
12924,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1223,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1260,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
523,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11646,-1,Slightly Negative,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2829,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
10943,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
50,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
3137,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,0,Neutral,-2,Moderately Negative
4027,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5940,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3468,-2,Moderately Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
11554,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
359,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3842,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
12249,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
1412,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6056,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
12399,-3,Very Negative,-4,Extremely Negative,-3,Very Negative,-3,Very Negative,-4,Extremely Negative
8083,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
135,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5575,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
1765,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
5610,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
7604,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
6616,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
3191,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
8201,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative
9790,-1,Slightly Negative,-2,Moderately Negative,0,Neutral,-1,Slightly Negative,-2,Moderately Negative
2729,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
12723,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
825,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
3467,-2,Moderately Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
10249,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
1155,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
5526,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
1033,1,Slightly Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
11114,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
6278,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1866,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2398,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
150,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
7860,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5486,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
4108,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4222,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
877,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2403,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
3737,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative
2547,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
2731,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3308,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9708,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral,1,Slightly Positive
6407,1,Slightly Positive,-1,Slightly Negative,-1,Slightly Negative,1,Slightly Positive,-1,Slightly Negative
10919,-2,Moderately Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
9772,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10795,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2351,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2566,0,Neutral,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
5021,0,Neutral,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative,-2,Moderately Negative
7435,-1,Slightly Negative,0,Neutral,0,Neutral,0,Neutral,0,Neutral
363,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
7607,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4657,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
366,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
6376,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,0,Neutral,-2,Moderately Negative
3574,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2813,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
4143,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9236,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
1232,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative
565,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
6011,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4180,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11067,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
3708,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1279,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
11927,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
3494,-2,Moderately Negative,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
1935,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3214,1,Slightly Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
6830,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative
4307,-3,Very Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative
10874,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5893,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5067,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
606,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
121,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
11717,1,Slightly Positive,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,-1,Slightly Negative
6451,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
1449,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
7228,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
5954,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative
9140,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11791,1,Slightly Positive,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,-1,Slightly Negative
8309,0,Neutral,-1,Slightly Negative,0,Neutral,-1,Slightly Negative,-1,Slightly Negative
9682,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
2251,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
5327,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8336,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
89,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
5365,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
84,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12833,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
12685,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
879,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1941,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
7681,-2,Moderately Negative,-4,Extremely Negative,-3,Very Negative,-3,Very Negative,-4,Extremely Negative
1819,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10297,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
8621,-2,Moderately Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative
11797,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
3570,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
1861,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
1482,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10794,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
