no,teks_processed,base_score_inset,compound_score,sentiment
84,dapilku rumah reses dan silaturahim sama anggota DPR RI pkbmembelarakyat,7.0,0.8224628936244653,positive
85,RUU ini rupa inisiatif dari DPR RI telah penuh tata tertib dan segala pengaturan DPR RI baleg,7.0,0.8224628936244653,positive
86,anggota DPR minta kebijakan bebas visa evaluasi,-2.0,-0.38181916792267817,negative
87,edhie baskoro yudhoyono atau yang biasa sapa ibas anggota DPR RI dari partai demokrat kembali pelaksanaan reses,-13.0,-0.937127104577154,negative
88,anggota DPR RI ini nilai kebijakan tambah biaya visa riyal saudi bagi jemaah umrah itu hal positif,12.0,0.9273739248094985,positive
89,haru wakil rakyat terlalu banyak waktu untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang wakil,-6.0,-0.9448537297926608,negative
90,anggota DPR nilai kebijakan bebas visa picu banyak TKA yang kerja cara ilegal,1.0,0.20228869496966945,positive
91,DPR desakan pemerintah evaluasi kebijakan bebas visa wakil ketua komisi IX DPR RI saleh partaonan daulay nilai,11.0,0.9152773258948753,positive
92,kebijakan bebas visa nilai perlu evaluasi,6.0,0.7782533221506259,positive
93,kebijakan bebas visa nilai perlu evaluasi info,3.0,0.5267415375673765,positive
94,kebijakan bebas visa nilai perlu evaluasi news,6.0,0.7782533221506259,positive
95,dwi murdaningsih kebijakan bebas visa nilai perlu evaluasi,6.0,0.7782533221506259,positive
96,kunjung ke DPR RI terima setjen bagi bamus karena DPR rinya masa reses,4.0,0.6369499429264264,positive
97,anggota komisi i DPR RI jazuli juwaini data dirjen imigrasi kemenkumham WNA paling banyak langgar kebijakan bebas visa adalah tiongkok,-1.0,-0.20228869496966945,negative
98,anggota komisi i DPR RI jazuli juwaini muncul khawatir duga langgar WNA yang manfaat kebijakan pemerintah bebas visa,4.0,0.6369499429264264,positive
99,rakyat kritikan kena kebijakan presiden kerjasama dengan iran dan bebas ormas asing dalam negeri RI,0.0,0.0,neutral
100,berantas kebijakan wenang wenang pak allahuakbar,3.0,0.5267415375673765,positive
101,ketua dan para wakil ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI via,11.0,0.9264597282711269,positive
102,good minta DPR RI untuk evaluasi kebijakan pemerinth bebas visa cumlaude,6.0,0.7782533221506259,positive
103,moga ruu ini dapat segera selesai dan sah bagai UU AMIN,11.0,0.9152773258948753,positive
104,kenapa diam ? fungsidpr apa ? jd penontn ? DPR sudah lama waspada dampak buruk kebijakan bebas visa,-9.0,-0.8885233166386385,negative
105,kunjung kerja anggota komisi II DPR RI di dalam masa reses sidang tahun cc,9.0,0.8806721767742777,positive
106,emnu azamri bagai wakil rakyat saya tak takut reses,-2.0,-0.6530766003035043,negative
107,sahkan revisi undang undang aparatur sipil negara sahkanrevisiuuasn,4.0,0.6369499429264264,positive
108,jika salah kebijakan yang bahaya utuh kdaulatan negara rakyat jangan takut ingat demi bangsa,-11.0,-0.9386367049130984,negative
109,hari ini brsm kepemimpinan anggota komisi v DPR RI dengan damping mitra kerja komisi pelaksanaan kunker masa reses ke NTB,4.0,0.6369499429264264,positive
110,harus kaji kebijakan jika langgar konstitusi RI maka lengser dengan konstitusi bukan makar,-1.0,-0.20228869496966945,negative
111,wakil rakyat ini kan argumen telak untuk penolakan komunisme di indonesia,-7.0,-0.8224628936244653,negative
112,anggota komisi II DPR RI berat dengan revisi undang undang ASN,4.0,0.6369499429264264,positive
113,harap seluruh anggota dpr agar reses kak suriah bantu ungsi suriah kalian kan panjang tangan rakyat kesana kalian bantu,6.0,0.7782533221506259,positive
114,DPR minta pemerintah konkret di krisis suriah via,1.0,0.20228869496966945,positive
115,siapa bilang dewan wakil rakyat kerja lambat ? revisi undang undang tentang MPR DPR DPD dan DPRD,6.0,0.7717372111011058,positive
116,IPC beri masuk RUU migas ini tanggap BKD DPR RI,2.0,0.515992754694415,positive
117,body status dewibet jakarta DPR RI sahkan RUU jasa konstruksi kementerianpupr surabaya teamk wanita dewi,4.0,0.6369499429264264,positive
118,DPR RI sahkan RUU jasa konstruksi jadi undang undang,9.0,0.8806721767742777,positive
119,sehingga tidak dapat sesuai ke ingin tetapi seauai undang undang tetapi mau bagaimana kamu kamu nya juga tidak solid ya salah warga,4.0,-0.824349993766685,negative
120,harus tega hukum sesuai undang undang jika tidak sesuai tentu harus ada tegak untuk tegak hukum,-3.0,-0.8914604087972556,negative
121,viva anggota DPR minta TNI AU investigasi celaka hercules mereka siap jika harus buat kebijakan newstoday,-6.0,-0.7782533221506259,negative
122,kunjung kerja reses komisi IX DPR RI masa sidang II tahun sidang ke propinsi sulawesi utara,10.0,0.9000703207408192,positive
123,ketua para wkl ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI lewat,13.0,0.9444800663644433,positive
124,jangan lupa pak juang pengesahan REVISI batas uu asn,-5.0,-0.8289502285071957,negative
125,banyak anggota dpr tak hadir rapat paripurna kamis lalu cuma suruh datang kedudukan dengar diam dan duit saja kok susah,-5.0,-0.8803145806326725,negative
126,suaraberjutatelinga biem_benjamin DPR_RI semua harus lalu payung hukum yaitu undang undang,2.0,0.38181916792267817,positive
127,suaraberjutatelinga semua harus lalu payung hukum yaitu undang undang,2.0,0.38181916792267817,positive
128,anggota DPR AS aju RUU untuk henti dana AS ke al qaeda ISIS di suriah kamu jatuh assad,-5.0,-0.7184212081070996,negative
129,tuju ayo dong DPR kalian kan wakil rakyat jangan melempem jangan takut suara aspirasi rakyat,4.0,0.8651108035664578,positive
130,DPR indonesia tidak butuh ormas asing batal !,-15.0,-0.6133915266822236,negative
131,ketua komisi II DPR RI komitmen selesai RUU pemilu,5.0,0.7184212081070996,positive
132,puluh bidan PTT dan tenaga honorer kawal bahas RUU ASN di gedung DPR EMPAT PILAR MPR lewat,8.0,0.8555415792658776,positive
133,kunjung kerja komisi IX DPR RI kunker ke banyuwangi BANYUWANGI komisi IX DPR RI dalam masa reses,14.0,0.9450887908327322,positive
134,breakingnews protesan panggil eko patrio DPR panggil kapolri telah reses komisi II DPR RI akan panggil kapolri jenderal followme,0.0,0.0,neutral
135,komisi IX ajar program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses sidang II tahun sidang,19.0,0.9690378234957119,positive
136,gerakan damai untuk dorong DPR RI segera pengesahan RUU hapus keras seksual semarang,1.0,0.20228869496966945,positive
137,ya allah ya rob ketuk hati mang kebijakan wakil rakyat sahkanrevisiuuasn,18.0,0.9656820512306714,positive
138,kebijakan yang tepat adalah kembali agar kawasan suci itu bersih pelanggarantelukbenoa,-3.0,-0.5267415375673765,negative
139,bagi laksana pembangunan daerah pungkas senator DIY HL DPDRI sumber,2.0,0.38181916792267817,positive
140,sehingga turut badan legislasi dewan wakil rakyat sepakat pasu ubah dua undang undang nomor DPDRI,0.0,0.0,neutral
141,dalam rapat koordinasi badan legislasi DPR RI dengan menteri hukum dan HAM serta panitia ancang undang undang PPUU DPDRI,14.0,0.9450887908327322,positive
142,baleg DPR RI pakat RUU dalam prolegnas RUU DPDRI,7.0,0.8531129627980243,positive
143,turut menteri laoly tantang ke depan hadap kembang jasa konstruksi dorong pelaksanaan revisi,-4.0,-0.6369499429264264,negative
144,baleg DPR RI pakat RUU dalam prolegnas RUU susun RUU prolegnas belum juga rampung,10.0,0.583123258305116,positive
145,kunker reses komisi di,3.0,0.5267415375673765,positive
146,ya sampai jumpa di bui deh jadi nostalgia pas wakil rakyat bikin RUU pornografi itu hahhaa prett,8.0,0.8555415792658776,positive
147,kunjung kerja nomor rapat paripurna nanti dulu yang hormat anggota dewan,-6.0,-0.7782533221506259,negative
148,RUU jasa konstruksi resmi sah jadi UU,7.0,0.8224628936244653,positive
149,DPR RI sahkan UU jasa konstruksi undang undang jasa konstruksi akhir sah pada rapat paripurna DPR RI,11.0,0.9152773258948753,positive
150,dwi murdaningsih RUU jasa konstruksi resmi sah jadi UU,7.0,0.8224628936244653,positive
151,RUU jasa konstruksi resmi sah jadi UU ROL,7.0,0.8224628936244653,positive
152,republikaonline RUU jasa konstruksi resmi sah jadi UU,7.0,0.8224628936244653,positive
153,RUU jasa konstruksi resmi sah jadi UU news,7.0,0.8224628936244653,positive
154,RUU jasa konstruksi resmi sah jadi UU info,4.0,0.6369499429264264,positive
155,DPR RI sahkan UU jasa konstruksi undang undang jasa konstruksi akhir sah pada rapat paripurna DPR RI,11.0,0.9152773258948753,positive
156,DPR RI tuju dan sah RUU jasa konstruksi jadi undang undang dalam rapat paripurna ke di gedung DPR RI,17.0,0.9617614033633289,positive
157,radio ANDIKA dewan wakil rakyat pengesahan agar rancangan undang undang tentang tembakau jadi,-6.0,-0.7782533221506259,negative
158,debat sama lawan saja enggak bisa bagaimana nanti debat sama anggota dpr soal kebijakan yang untung buat rakyat ? lul,6.0,0.7717372111011058,positive
159,DPR RI tuju RUU tetap batas laut indonesia singapura,3.0,0.5267415375673765,positive
160,DPR RI pengesahan rancangan undang undang tentang jasa konstruksi jadi undang undang menteri hukum dan hak,14.0,0.9450887908327322,positive
161,RUU tembakau tuju jadi RUU inisiatif DPR,1.0,0.20228869496966945,positive
162,bahas RUU terorisme dan RUU wawas nusantara panjang,4.0,0.6369499429264264,positive
163,bismillah moga wakil rakyat wakil aspirasi rakyat amin,8.0,0.8555415792658776,positive
164,paripurna DPR tuju RUU tembakau untuk bahas,3.0,0.5267415375673765,positive
165,republikaonline paripurna DPR tuju RUU tembakau untuk bahas,3.0,0.5267415375673765,positive
166,dwi murdaningsih paripurna DPR tuju RUU tembakau untuk bahas,3.0,0.5267415375673765,positive
167,paripurna DPR tuju RUU tembakau untuk bahas ikibangsaku,3.0,0.5267415375673765,positive
168,paripurna DPR tuju RUU tembakau untuk bahas ROL,3.0,0.5267415375673765,positive
169,paripurna DPR tuju RUU tembakau untuk bahas news,3.0,0.5267415375673765,positive
170,paripurna DPR tuju RUU tembakau untuk bahas info,0.0,0.0,neutral
171,berita malang DPR RI akhir pengesahan RUU jasa konstruksi jadi undang undang,-3.0,-0.5267415375673765,negative
172,DPR RI akhir pengesahan RUU jasa konstruksi jadi undang undang dewan wakil rakyat DPR RI politik,2.0,0.38181916792267817,positive
173,aktivis FKPPBI sedang orasi di dukungan tetap RUU ASN cc,7.0,0.8224628936244653,positive
174,juang FKPPBI sama buah hasil dengan tuju RUU ASN oleh cc,14.0,0.9450887908327322,positive
175,ketua para wakil ketua DPR RI PERLU RUU PEMAKAIAN untuk DUNIA BISNIS USAHA DI BUAH REVOLUSI AKUNTANSI INDONESIA,11.0,0.9264597282711269,positive
176,sahkan RUU ASN gedung DPR MPR i PNS harga mati praja wibawa,7.0,0.8224628936244653,positive
177,hari ini gelar rapat paripurna ini tujuh agenda utama,4.0,0.6369499429264264,positive
178,panjang bahas waktu RUU berantas tindakan pidana terorisme RUU wawas nusantara tuju paripurnalive,10.0,0.9000703207408192,positive
179,agenda ke pengesahan panjang waktu bahas RUU berantas tindakan pidana terorisme RUU wawas nusantara paripurnalive,4.0,0.6369499429264264,positive
180,RUU tembakau tuju jadi RUU usul inisiatif DPR RI dalam rapat paripurna DPR ke paripurnalive,8.0,0.8555415792658776,positive
181,dapat partai atas RUU usul inisiatif anggota DPR RI tentang tembakau jadi RUU usul DPR RI paripurnalive,-2.0,-0.38181916792267817,negative
182,agenda ke dapat partai hadap RUU usul inisiatif anggota DPR RI tentang tembakau jadi RUU usul DPR RI paripurnalive,2.0,0.38181916792267817,positive
183,menkumham sampai dapat akhir presiden RI dalam paripurna DPR RI tentang RUU jasa konstruksi yang akan sah jadi UU jakarta,12.0,0.9273739248094985,positive
184,selamat atas tuju dan sah RUU jasa konstruksi jadi undang undang dalam rapat paripurna DPR ke paripurnalive,18.0,0.9656820512306714,positive
185,sidang paripurna DPR RI sahkan RUU tentang pengesahan janji tetap garis batas laut wilayah RI singapura,-3.0,-0.5267415375673765,negative
186,ambil keputusan hadap RUU tentang jasa konstruksi paripurnalive,4.0,0.6369499429264264,positive
187,agenda ke bicara tingkat II ambil keputusan hadap RUU tentang jasa konstruksi paripurnalive,5.0,0.7184212081070996,positive
188,rapat paripurna DPR ke masa persidanga II TS paripurnalive,2.0,0.38181916792267817,positive
189,gerakan damai depan gedung DPR MPR sahkan revisi RUU ASN adil,8.0,0.8555415792658776,positive
190,dalam tahun akhir tiap tanggal des selalu pelaksanaan sisip RUU baru dalam daftar prioritas tahu dengan RUU TA sekarang RUU MD,0.0,0.0,neutral
191,agenda ke bicara tak II RUU pengesahan janji antara RI singapura tentang tetap garis batas laut paripurnalive,-5.0,0.3004488688879363,positive
192,pandang partai hadap RUU usul inisiatif anggota DPR kait RUU tembakau agendadpr sidangparipurna,-2.0,-0.38181916792267817,negative
193,rapat paripurna DPR ke masa sidang II tahun sidang kepemimpinan wakil ketua DPR paripurnalive,4.0,0.6369499429264264,positive
194,sudah jadi tradisi bang untuk sisip RUU tambah dalam prolegnas prioritas bulan nov DPR tambah RUU tax amnesty sekarang MD,12.0,0.9273739248094985,positive
195,lombok dengar dapat serta masuk warga di masa reses II anggota DPR provinsi,0.0,0.0,neutral
196,DPR serah DIM RUU berantas terorisme kepada menkumham,2.0,0.38181916792267817,positive
197,komisi IV DPR jaring dapat RUU konservasi SDA dan ekosistem,8.0,0.8555415792658776,positive
198,RUU SAWIT UPAYA NEGARA LINDUNG KOMODITAS STRATEGIS palmoilgreen,5.0,0.7739149202363939,positive
199,agenda DPR kamis pukul WIB rapat paripurna DPR ke masa sidang II tahun sidang agendadpr,5.0,0.7184212081070996,positive
200,suluh ikan bantu hari ini gerakan damai di DPR RI dalam rangka dukungan tetap RUU ASN sahkanrevisiuuasn,17.0,0.9617614033633289,positive
201,anggota DPR masih terus debat soal pengaturan pidana seks pranikah RUU KUHP belum dapat ketuk palu,1.0,-0.569023926127436,negative
202,kita semua dukungan DPR RI untuk sahkan RUU ASN sahkanrevisiuuasn adil,5.0,0.7184212081070996,positive
203,pansus RUU penyelenggaraan pemilu DPR RI rapat konsultasi dengan mahkamah konstitusi bahas sengketa pemilu rabu kunkerdpr,3.0,0.5267415375673765,positive
204,pansus RUU berantas tindakan pidana terorisme rapat kerja dengan menteri hukum dan HAM kait serah DIM RUU dprlive,12.0,0.9273739248094985,positive
205,pansus RUU penyelenggaraan pemilu DPR RI rapat konsultasi dengan mahkamah agung rabu kunkerdpr,1.0,0.20228869496966945,positive
206,agenda raker serah DIM RUU tentang berantas tindakan pidana terorisme dan pengesahan anggota panja RUU maksud,3.0,0.5267415375673765,positive
207,ketua pansus RUU penyelenggaraan pemilu lukman edy hak pilih TNI maju demokrasi indonesia,-2.0,-0.38181916792267817,negative
208,kunjung komisi IX DPR ke universitas mataram untuk jaring masuk tentang RUU konservasi sumber daya alam dan ekosistem kunkerdpr,9.0,0.8806721767742777,positive
209,agenda DPR rabu pukul WIB komisi II DPR rapat panja RUU KUHP agendadpr,5.0,0.7184212081070996,positive
210,agenda DPR rabu pukul WIB pansus RUU berantas tindakan pidana terorisme rapat kerja dengan menkumham agendadpr,7.0,0.8224628936244653,positive
211,agenda DPR rabu pukul WIB pansus RUU penyelenggaraan pemilu DPR RI rapat konsultasi dengan mahkamah agung agendadpr,2.0,0.38181916792267817,positive
212,baru sekarang dengar ada kepala daerah ngundat kebijakan bangun masjid pada yang pelaksanaan amanat APBD yang di sahkan bareng wakil rakyat,-2.0,-0.38181916792267817,negative
213,bijak banget tulis anda beda dengan wakil rakyat yang nyinyir abiess tampil tidak jamin kebijakan orang,-17.0,-0.8016098992797965,negative
214,setya novanto periksa KPK rapat paripurna DPR RI tunda,-3.0,-0.5267415375673765,negative
215,pansus RUU penyelenggaraan pemilu DPR RI rapat kerja dengan panglima TNI polri jaksa dan DPD RI kait revisi UU pemilu dprlive,7.0,0.8224628936244653,positive
216,anggota DPR ingat penting integrasi kebijakan TKI,8.0,0.8555415792658776,positive
217,agenda DPR selasa pukul WIB rapat paripurna DPR ke masa sidang II tahun sidang agendadpr,5.0,0.7184212081070996,positive
218,a RUU tentang berantas tindakan pidana terorisme b RUU tentang wawas nusantara pukul rapat intern komisi i DPR RI,10.0,0.9000703207408192,positive
219,tentang tembakau jadi RUU usul DPR RI lanjut dengan ambil keputusan dan,2.0,0.38181916792267817,positive
220,dapat partai partai hadap RUU usul inisiatif anggota DPR RI,1.0,0.20228869496966945,positive
221,agenda selasa desember pukul rapat paripurna DPR RI,3.0,0.5267415375673765,positive
222,kapan ada RUU produktifitas dan integritas anggota DPR MPR ? ?,1.0,0.15309310892394867,positive
223,komisi IV DPR gali masuk kait penyusunana RUU budi daya tanam di universitas sumatera utara jumat kunkerdpr,3.0,0.5267415375673765,positive
224,anggota DPR RI erma si ranik nilai RUU CSR tak hambat investasi via,-2.0,0.8105448249020624,positive
225,RUU redenominasi tak masuk prolegnas,-3.0,0.588620056905324,positive
226,republikaonline RUU redenominasi tak masuk prolegnas via,-3.0,0.588620056905324,positive
227,RUU redenominasi tak masuk prolegnas ROL,-3.0,0.588620056905324,positive
228,RUU redenominasi tak masuk prolegnas news,-3.0,0.588620056905324,positive
229,RUU redenominasi tak masuk prolegnas republikaonline,-3.0,0.588620056905324,positive
230,siap kawal pengesahan REVISI UUASN,-1.0,-0.20228869496966945,negative
231,DPR RI di industri kelapa sawit penting asing sangat nyata dalam kebijakan moratorium masa pemerintah SURABAYA,19.0,0.9711973826378949,positive
232,ketua para wakil ketua DPR RI RUU LAPOR UANG UNTUK DUNIA BISNIS INDONESIA JADI lewat,11.0,0.9264597282711269,positive
233,ketua dan para wakil ketua DPR RI RUU LAPOR UANG UNTUK DUNIA BISNIS INDONESIA paraf lewat,10.0,0.9141356443769735,positive
234,miris wakil rakyat urus hal cemen mesti urus RUU yang banyak bengkalai,-9.0,-0.8806721767742777,negative
235,anggota DPR harap masyarakat paham RUU konservasi anggota DPR RI taufiq r abdullah harap rancangan,0.0,0.0,neutral
236,anggota DPR harap masyarakat paham RUU konservasi,0.0,0.0,neutral
237,anggota DPR harap masyarakat paham RUU konservasi,0.0,0.0,neutral
238,anggota DPR harap masyarakat paham RUU konservasi anggota DPR RI taufiq r abdullah harap rancangan,0.0,0.0,neutral
239,draft RUU hapus keras thd perempuan dapat akses di web n jangan lupa dukungan petisi,3.0,0.16798951556005381,positive
240,anggota DPR harap masyarakat paham RUU konservasi anggota DPR RI taufiq r ab infopuger,0.0,0.0,neutral
