no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,teks_translated
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,0.0,0.0,0.0,neutral,Constituency Outreach Service Community Visit Member of the Republic of Indonesia DPR PDP Fraction Maruarar Sirait
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke fraksi golkar daerah,0.0,0.0,0.0,neutral,Constituency outreach service community visits DPR RI must report to the regional Golkar faction
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,kesekian kalinya dewan perwakilan rakyat daerah DPRD kabupaten gresik menggelar rapat paripurna penyampaian,0.0,0.0,0.0,neutral,"For the umpteenth time, the Gresik Regency Regional People's Representative Council held a plenary meeting to deliver the presentation"
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR targetkan UU perbukuan nnasional rampung komisi kali DPR RI menargetkan rancangan undang undang sis RT,0.8,0.2,0.447213595499958,positive,DPR targets national book law to be completed by commission
690,2016-10-31T02:44:33.000Z,Untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,0.0,0.0,0.0,neutral,"To deal with worthless terrible trash, a holistic national perspective is needed, not only by policy makers"
718,2016-10-29T09:00:10.000Z,Anggota DPR Indra Tersangka Penipuan Rp M MKD Bersikap Usai Reses fath,anggota DPR indra tersangka penipuan rp sama MKD bersikap usai reses fath,-1.6,-0.4,0.8944271909999161,negative,DPR member Indra suspect criminal charged arrested fraud deception corrupt scam rp same mkd acts after constituency outreach service community visit fath
745,2016-10-28T09:52:38.000Z,DPR Umumkan Susunan Anggota Pansus RUU Pemilu,DPR umumkan susunan anggota pansus RUU pemilu,0.0,0.0,0.0,neutral,DPR announces the composition of the special committee members for election bills
786,2016-10-27T11:22:50.000Z,DPR RI Sahkan Revisi RUU ITE,DPR RI sahkan revisi RUU ITE,0.4,0.1,0.5477225575051662,positive,The Republic of Indonesia DPR approves the revision of the bill
790,2016-10-27T09:43:16.000Z,Paripurna DPR Sahkan RUU ITE Jadi UU,paripurna DPR sahkan RUU ITE jadi UU,0.6,0.15,0.5477225575051662,positive,DPR plenary ratifies the bill into law
825,2016-10-27T02:00:14.000Z,Anggota DPR Tak Hadir Dalam Sidang Paripurna Pengesahan UU APBN Jakarta DPR siang ini menggelar s,anggota DPR tak hadir dalam sidang paripurna pengesahan UU APBN jakarta DPR siang ini menggelar si,-2.8,-0.7,0.4472135954999578,negative,DPR member absent failed to attend irresponsible in plenary session ratifying Jakarta APBN Law DPR this afternoon held the
829,2016-10-26T19:56:26.000Z,DPR RI Menyetujui RUU APBN,DPR RI menyetujui RUU APBN,0.2,0.05,0.447213595499958,positive,The Indonesian House of Representatives approves the APBN bill
877,2016-10-26T06:20:26.000Z,Agenda hari ini Rapat Paripurna DPR Ke Masa Persidangan I Tahun Sidang agendaDPR sidangparipurna DPR RI,agenda hari ini rapat paripurna DPR ke masa persidangan i tahun sidang agendadpr sidangparipurna DPR RI,0.0,0.0,0.0,neutral,agenda for today's plenary session of the DPR to the session period i year session agenda of the DPR plenary session of the DPR RI
879,2016-10-26T05:26:12.000Z,Syarifuddin Suding RUU Pemilu Akan Digiring ke Pemilu Sistem Proporsional Tertutup,syarifuddin suding RUU pemilu akan digiring ke pemilu sistem proporsional tertutup,0.0,0.0,0.0,neutral,Syarifuddin said the election bill would be sent to a closed proportional system election
1003,2016-10-20T10:03:32.000Z,Wakil Ketua DPR RI Agus Hermanto mendorong pemerintah segera menyerahkan draf Rancangan Undang Undang RUU P,wakil ketua DPR RI agus hermanto mendorong pemerintah segera menyerahkan draf rancangan undang undang RUU p,0.8,0.2,0.447213595499958,positive,"Deputy Chairman of the Indonesian House of Representatives, Agus Hermanto, encouraged the government to immediately submit a draft law for Bill P"
1032,2016-10-19T16:29:23.000Z,Usai Reses Ruhut Mundur sebagai Anggota DPR RI,usai reses ruhut mundur sebagai anggota DPR RI,-0.2,-0.05,0.447213595499958,negative,after constituency outreach service community visit Ruhut resigned controversy scandal failed as a member of the Indonesian House of Representatives
1033,2016-10-19T15:20:37.000Z,Terimakasih Indonesia Sahkan Paris Agreement Jadi Undang Undang,terimakasih indonesia sahkan paris agreement jadi undang undang,1.4,0.35,0.5477225575051661,positive,"Thank you, Indonesia ratifies the Paris Agreement as law"
1121,2016-10-14T09:16:22.000Z,Panja RUU Sistem Perbukuan Identifikasi Masalah Utama,panja RUU sistem perbukuan identifikasi masalah utama,0.2,0.05,0.447213595499958,positive,Panja bill bookkeeping system identifies main problems
1155,2016-10-13T01:49:36.000Z,DPR Sahkan UU Pelaksanaan Hukuman Kebiri JAKARTA SK Pihak DPR RI akhirnya mengesahkan undang undang UU,DPR sahkan UU pelaksanaan hukuman kebiri JAKARTA SUKA pihak DPR RI akhirnya mengesahkan undang undang UU,0.4,0.1,0.5477225575051662,positive,DPR passes law on evading dodging avoiding accountability Sanaan castration penalty Jakarta likes the DPR RI finally passed the law
1223,2016-10-12T02:40:42.000Z,DPR Kembali Bahas UU Perppu di Rapat Paripurna Dewan Perwakilan Rakyat DPR,DPR kembali bahas UU perppu di rapat paripurna dewan perwakilan rakyat DPR,0.0,0.0,0.0,neutral,The DPR again discussed the Perppu Law at the plenary meeting of the DPR People's Representative Council
1232,2016-10-11T09:38:26.000Z,Rapat juga menyetujui perpanjangan waktu pembahasan Pansus RUU PPILN sampai dengan Masa Persidangan II Tahun Sidang,rapat juga menyetujui perpanjangan waktu pembahasan pansus RUU PPILN sampai dengan masa persidangan II tahun sidang,-0.4,-0.1,0.5477225575051662,negative,The meeting also agreed to postpone the stalled postponement of the special committee's discussion of the PPILN bill until the second trial period of the session year
1260,2016-10-10T13:03:13.000Z,KabaKampuang Fraksi Partai Kebangkitan Bangsa di DPR RI akan mengusulkan RUU Pendidikan Madrasah dan Pondok Pesan,kabakampuang fraksi partai kebangkitan bangsa di DPR RI akan mengusulkan RUU pendidikan madrasah dan pondok pesan,0.8,0.2,0.447213595499958,positive,Kabakampuang faction of the National Awakening Party in the Republic of Indonesia DPR will propose a bill on madrasah and Islamic boarding school education
1279,2016-10-09T23:07:21.000Z,Dewan Perwakilan Rakyat DPR meminta aturan turunan dari Undang Undang UU No Tahun tentang Pendidikan,dewan perwakilan rakyat DPR meminta aturan turunan dari undang undang UU no tahun tentang pendidikan,0.2,0.05,0.447213595499958,positive,The House of Representatives of the DPR asked for derivative regulations from Law No. 1 regarding education
1282,2016-10-08T20:03:18.000Z,DPR bebas visa disalahgunakan jatim rugi Rp triliun Komisi III DPR RI menemukan penyalahgunaan kebijakan bebas,DPR bebas visa disalahgunakan jatim rugi rp triliun komisi II DPR RI menemukan penyalahgunaan kebijakan bebas,-1.4,-0.35,0.8944271909999159,negative,DPR visa free abuse misused corrupt violation East Java losses IDR trillion Commission II DPR RI finds abuse misused corruption violation free policy
1290,2016-10-07T00:54:12.000Z,Anggota DPR Apresiasi Penghentian Kebijakan Plastik Berbayar,anggota DPR apresiasi penghentian kebijakan plastik berbayar,0.8,0.2,0.447213595499958,positive,DPR member appreciation commend praise termination of paid plastic policy
1327,2016-10-05T17:45:55.000Z,DPR dukung undang undang khusus tentang Antara Anggota Komisi I DPR RI yang juga pernah menjadi pemimpin reda,DPR dukung undang undang khusus tentang antara anggota komisi i DPR RI yang juga pernah menjadi pemimpin reda,0.8,0.2,0.447213595499958,positive,DPR supports endorsement back special law regarding members of Commission I DPR RI who have also been leaders of Reda
1406,2016-09-28T05:14:03.000Z,Komisi II DPR RI Siap Bahas Pasal RUU Pemilu,komisi II DPR RI siap bahas pasal RUU pemilu,0.2,0.05,0.447213595499958,positive,Commission II of the Indonesian House of Representatives is ready to discuss the election bill articles
1412,2016-09-27T23:57:38.000Z,hukumOnline Jika RUU Jabatan Hakim Disahkan Hakim Bukan Monopoli MA Dewan Perwakilan Rakyat DPR menjad,hukumonline jika RUU jabatan hakim disahkan hakim bukan monopoli SAMA dewan perwakilan rakyat DPR menjad,0.0,0.0,0.0,neutral,"Hukumonline If the bill for the position of judge is successfully passed, the judge is not a monopoly of the DPR's people's representative council"
1449,2016-09-22T07:22:19.000Z,Tribun Rieke Diah Pitaloka Undang Undang Tax Amnesty Jangan Menakuti Pengusaha NewsToday DKK,tribun rieke diah pitaloka undang undang tax amnesty jangan menakuti pengusaha newstoday DKK,0.0,0.0,0.0,neutral,tribune rieke diah pitaloka laws tax amnesty don't scare entrepreneurs newstoday et al
1482,2016-09-20T07:07:10.000Z,Cari Masukan RUU Karantina Hewan Ikan dan Tumbuhan Komisi IV DPR RI Gelar FGD di Undip,cari masukan RUU karantina hewan ikan dan tumbuhan komisi IV DPR RI gelar FGD di undip,0.8,0.2,0.447213595499958,positive,"looking for input on the fish and plant animal quarantine bill, Commission IV of the Indonesian House of Representatives holds an FGD at Undip"
1514,2016-09-15T08:20:44.000Z,Berlanjut Baleg DPR RI Bahas DIM RUU Kekarantinaan Kesehatan,berlanjut baleg DPR RI bahas DIM RUU kekarantinaan kesehatan,0.0,0.0,0.0,neutral,The DPR RI continues to discuss the health quarantine bill
1567,2016-09-10T12:33:07.000Z,Anggota DPR RUU ITE mengacu putusan MK Indonesia,anggota DPR RUU ITE mengacu putusan MAKA indonesia,0.0,0.0,0.0,neutral,"DPR members, the bill refers to Indonesia's decision"
1569,2016-09-10T12:32:44.000Z,Anggota DPR RUU ITE mengacu putusan MK politik,anggota DPR RUU ITE mengacu putusan MAKA politik,-0.4,-0.1,0.5477225575051662,negative,"DPR members, the bill refers to political decisions"
1587,2016-09-09T00:15:54.000Z,Hari Hari Sepi Rapat Paripurna DPR Berlanjut,hari hari sepi rapat paripurna DPR berlanjut,-2.0,-0.5,0.0,negative,days poorly attended negligent empty session absent plenary session of parliament continues
1759,2016-08-28T11:02:53.000Z,Baleg DPR RI Undang PP IPPAT Bahas Persiapan Pengesahan RUU PPAT,baleg DPR RI undang PP IPPAT bahas persiapan pengesahan RUU PPAT,0.8,0.2,0.4472135954999579,positive,DPR RI Baleg invites PP IPPAT to discuss preparations for ratification of PPAT bill
1765,2016-08-27T13:44:06.000Z,Menyambut HUTDPR pada Agustus juga akan diadakan Rapat Paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,menyambut HUTDPR pada agustus juga akan diadakan rapat paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,0.6,0.15,0.5477225575051662,positive,"Welcoming the DPR's anniversary in August, there will also be a plenary meeting of the Republic of Indonesia's DPR with the sole agenda of the DPR RI's performance report on the DPR's anniversary."
1819,2016-08-24T13:26:15.000Z,Itu undang undang bung bukan peraturan perusahaan Pembuatan UU butuh anggota dpr komisi hukum dan makan wkt lama,itu undang undang bung bukan peraturan perusahaan pembuatan UU butuh anggota dpr komisi hukum dan makan waktu lama,0.0,0.0,0.0,neutral,"That's a law, bro, not a regulation. The company that makes the law requires members of the legal commission and takes a long time"
1820,2016-08-23T16:03:02.000Z,Populer Aturan Cuti Petahana Sebaiknya Opsional,populer aturan cuti petahana sebaiknya opsional,0.0,0.0,0.0,neutral,popular incumbent leave rules should be optional
1861,2016-08-23T12:13:12.000Z,News Ketua DPR Tak Ingin Komisi III Buru buru dalam Membahas RUU KUHP Komisi III DPR RI menggelar acar TU,news ketua DPR tak ingin komisi II buru buru dalam membahas RUU KUHP komisi II DPR RI menggelar acar ITU,0.0,0.0,0.0,neutral,news the chairman of the DPR does not want Commission II to rush in discussing the Criminal Code Bill. Commission II of the Republic of Indonesia DPR holds the event.
1866,2016-08-23T04:32:36.000Z,Dr Agus Hermanto bersama pimpinan DPR RI menghadiri Rapat Paripurna Masa Persidangan I TS,dari agus hermanto bersama pimpinan DPR RI menghadiri rapat paripurna masa persidangan i TS,0.0,0.0,0.0,neutral,from Agus Hermanto together with the leadership of the Indonesian House of Representatives attended the plenary meeting during the trial period
1898,2016-08-19T15:57:02.000Z,JKTJanken vs Winner Aurel,jktjanken vs winner aurel,0.0,0.0,0.0,neutral,jktjanken vs winner aurel
1903,2016-08-18T14:46:18.000Z,Wakil rakyat perlu elak politikkan RUU,wakil rakyat perlu elak politikkan RUU,-1.2,-0.3,0.8366600265340756,negative,People's representatives need to evading dodging avoiding accountability politicized manipulated biased corrupt bill
1935,2016-08-16T08:41:53.000Z,Pidato presiden Republik Indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tgl Agustus,pidato presiden republik indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tanggal agustus,0.0,0.0,0.0,neutral,speech by the President of the Republic of Indonesia regarding the APBN bill at the plenary session of the DPR RI DPD RI on August
1941,2016-08-16T08:02:05.000Z,Demikian beberap poin penting pidato Ketua DPR Ade Komarudin dalam Rapat Paripurna DPR RI mengenai RUU APBN ParipurnaDPR,demikian beberap poin penting pidato ketua DPR adek komarudin dalam rapat paripurna DPR RI mengenai RUU APBN paripurnadpr,0.0,0.0,0.0,neutral,"These are some of the important points from the speech of the chairman of the DPR, Adek Komarudin, in the plenary session of the DPR RI regarding the draft APBN plenary session."
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,-1.0,-0.25,0.7071067811865476,negative,DPR members full day school policy inappropriate flawed wrong unsuitable
2086,2016-08-10T01:05:04.000Z,Anggota DPR Usulan RUU Kamnas Belum Tepat,anggota DPR usulan RUU kamnas belum tepat,-1.2,-0.3,0.447213595499958,negative,DPR members proposed National Security Bill inappropriate flawed wrong misguided unsuitable
2162,2016-08-06T19:11:16.000Z,Rapat paripurna komisi dpr,rapat paripurna komisi dpr,0.0,0.0,0.0,neutral,DPR commission plenary meeting
2251,2016-07-28T17:25:49.000Z,Tribun Ketua Komisi V Fary Djemi Luncurkan Buku Pengalaman saat Reses etua Komisi V DPR RI Fary Djemi NewsToday,tribun ketua komisi v fary djemi luncurkan buku pengalaman saat reses etua komisi v DPR RI fary djemi newstoday,0.8,0.2,0.447213595499958,positive,tribune chairman of commission v fary djemi launches experience book during constituency outreach service community visit etua commission v DPR RI fary djemi newstoday
2288,2016-07-27T17:17:12.000Z,Fraksi Setuju RUU Pertembakauan Diparipurnakan via republika,fraksi setuju RUU pertembakauan diparipurnakan via republika,0.2,0.05,0.447213595499958,positive,The faction agrees that the tobacco bill will be finalized via Republika
2328,2016-07-26T17:38:32.000Z,NEWS Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani GaleriBerita,NEWS anggota DPR sebut RUU tembakau untuk melindungi petani galeriberita,0.8,0.2,0.447213595499958,positive,news DPR members call tobacco bill to protect farmers gallerynews
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadiri rapat paripurna wakil rakyat kepulauan riau kepri,0.0,0.0,0.0,neutral,governor and acting regional secretary absent failed irresponsible unaccountable i plenary meeting of representatives of the people of the Riau Islands
2391,2016-07-22T11:30:57.000Z,tahun RUU PRT diabaikan wakil rakyat via,tahun RUU PRT diabaikan wakil rakyat via,-2.0,-0.5,1.224744871391589,negative,bill year prt ignored neglected ignored ignored people's representatives via
2398,2016-07-22T07:04:46.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang beritanegara,RUU pertanggungjawaban APBN disetujui DPR untuk dilanjutkan ke tingkat undang undang beritanegara,0.4,0.1,0.5477225575051662,positive,APBN accountability bill approved supported agreed endorsed by DPR to be continued at the state gazette law level
2403,2016-07-21T14:53:03.000Z,Kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU Tembakau yg memuat racun nikotin perusak kesehatan otak dan paru insan?,kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU tembakau yang memuat racun nikotin perusak kesehatan otak dan paru insan ?,-2.8,-0.7,0.4472135954999578,negative,why questioning failed disappointed eyes turn blind ears turn deaf when DPR members discuss tobacco bill which contains nicotine poison which destroys human brain and lung health?
2472,2016-07-19T03:29:08.000Z,Undang Undang Pertembakauan Tekankan Pengendalian Impor,undang undang pertembakauan tekankan pengendalian impor,0.0,0.0,0.0,neutral,Tobacco laws emphasize import controls
2547,2016-07-02T08:15:49.000Z,JAKARTA Anggota Komisi IX DPR RI Ahmad Zainuddin menyambut baik kebijakan Badan Penyelenggara Jaminan Sosia,JAKARTA anggota komisi IX DPR RI ahmad zainuddin menyambut baik kebijakan badan penyelenggara jaminan sosia,1.0,0.25,0.0,positive,Jakarta DPR RI Commission IX member Ahmad Zainuddin welcomed the policy of the social security administering body
2566,2016-06-29T07:45:15.000Z,RUU tentang Penyandang Disabilitas yg merupakan revisi dari UU Nomor Tahun kini telah disahkan menjadi Undang Undang oleh,RUU tentang penyandang disabilitas yang merupakan revisi dari UU nomor tahun kini telah disahkan menjadi undang undang oleh,1.2,0.3,0.8366600265340756,positive,"The bill on persons with disabilities, which is a revision of the current year's law, has been successfully passed into law by"
2646,2016-06-27T16:19:02.000Z,RUU Tax Amnesty Melangkah ke Paripurna DPR RI,RUU tax amnesty melangkah ke paripurna DPR RI,0.8,0.2,0.447213595499958,positive,The tax amnesty bill moves to the plenary session of the Indonesian House of Representatives
2660,2016-06-27T14:05:35.000Z,Hari ini Komisi XI DPR_RI melakukan persetujuan tingkat I atas RUU Pengampunan Pajak Semua fraksi setuju diteruskan ke Paripurna DPR,hari ini komisi XI DPR_RI melakukan persetujuan tingkat i atas RUU pengampunan pajak semua fraksi setuju diteruskan ke paripurna DPR,0.2,0.05,0.447213595499958,positive,today commission xi dpr_ri m evading dodging avoiding accountability for level i approval of the tax amnesty bill all factions agreed to forward it to the plenary house of the dpr
2663,2016-06-27T13:01:17.000Z,Rapat Paripurna Diwarnai Bangku Kosong Anggota Dewan,rapat paripurna diwarnai bangku kosong anggota dewan,-2.8,-0.7,0.4472135954999578,negative,the plenary meeting was marked by empty seats absent negligent lazy lawmakers board members
2708,2016-06-27T03:08:44.000Z,Anggota DPR Impor Daging Sapi Kebijakan Sia Sia,anggota DPR impor daging sapi kebijakan sia sia,-1.8,-0.45,0.4472135954999579,negative,DPR members import beef policy useless futile wasted pointless failed
2729,2016-06-26T11:21:02.000Z,Pengamat spt Ronny Bako apakah ada niat baik dgn mengulur ulur taxamnesty ?,pengamat seperti ronny bako apakah ada niat baik dengan mengulur ulur taxamnesty ?,-1.8,-0.45,0.447213595499958,negative,"observers like Ronny Bako, are there good intentions with stalling delaying procrastinating dragging taxamnesty?"
2731,2016-06-26T09:24:48.000Z,Tata tertib DPR Pasal Ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,tata tertib DPR pasal ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,0.0,0.0,0.0,neutral,The article paragraph of the DPR's rules of conduct clearly states that DPR meetings must be held in the DPR building
2751,2016-06-23T04:04:46.000Z,Rapat Paripurna DPRD Kab Wonogiri,rapat paripurna DPRD kab wonogiri,0.0,0.0,0.0,neutral,Wonogiri Regency DPRD plenary meeting
2796,2016-06-20T14:22:37.000Z,Panja RUU Kebudayaan Himpun Masukan ke NTB,panja RUU kebudayaan himpun masukan ke NTB,0.2,0.05,0.8366600265340756,positive,Panja Ruu Culture collects input to NTB
2813,2016-06-20T06:16:06.000Z,RUU Kebudayaan Diharap Bisa Lestarikan Kearifan Lokal Republika Online,RUU kebudayaan diharap bisa lestarikan kearifan lokal republika online,1.0,0.25,0.0,positive,It is hoped that the cultural bill will preserve the local wisdom of Republika Online
2814,2016-06-20T05:53:11.000Z,UMKM dapat tarif tebusan khusus di RUU Tax Amnesty,UMKM dapat tarif tebusan khusus di RUU tax amnesty,0.6,0.15,0.5477225575051662,positive,MSMEs get special redemption rates in the tax amnesty bill
2829,2016-06-20T04:54:55.000Z,Wakil Rakyat Tak Hadir di Paripurna DPR Bahas Calon Kapolri DPR menggelar rapat paripurna deng Detikcom,wakil rakyat tak hadir di paripurna DPR bahas calon kapolri DPR menggelar rapat paripurna deng detikcom,-2.8,-0.7,0.4472135954999578,negative,People's representatives absent failed to attend irresponsible at DPR plenary session discussing candidates for National Police Chief DPR holds plenary meeting with detikcom
2842,2016-06-20T03:19:13.000Z,DPR RI Impor Daging Kebijakan Sia Sia,DPR RI impor daging kebijakan sia sia,-1.6,-0.4,0.8944271909999159,negative,DPR RI meat import policy useless futile wasted pointless failed
