no,timestamp,teks,teks_processed,teks_translated,neg,neu,pos,compound_score,sentiment
718,2016-10-29T09:00:10.000Z,Anggota DPR Indra Tersangka Penipuan Rp M MKD Bersikap Usai Reses fath,anggota DPR indra sangka tipu rp sama MKD sikap usai reses fath,DPR member Indra suspects RP cheating and MKD attitude after constituency outreach service community visit Fath,0.284,0.616,0.1,-0.5994,negative
745,2016-10-28T09:52:38.000Z,DPR Umumkan Susunan Anggota Pansus RUU Pemilu,DPR umum susun anggota pansus RUU pemilu,General DPR appoints members of special committee on election bills,0.0,0.769,0.231,0.4019,positive
786,2016-10-27T11:22:50.000Z,DPR RI Sahkan Revisi RUU ITE,DPR RI sahkan revisi RUU ITE,The Republic of Indonesia DPR approves the revision of the bill,0.0,0.787,0.213,0.4019,positive
790,2016-10-27T09:43:16.000Z,Paripurna DPR Sahkan RUU ITE Jadi UU,paripurna DPR sahkan RUU ITE jadi UU,DPR plenary ratifies the bill into law,0.0,1.0,0.0,0.0,neutral
825,2016-10-27T02:00:14.000Z,Anggota DPR Tak Hadir Dalam Sidang Paripurna Pengesahan UU APBN Jakarta DPR siang ini menggelar s,anggota DPR tak hadir dalam sidang paripurna pengesahan UU APBN jakarta DPR siang ini gelar si,DPR member absent failed to attend irresponsible in hearing session of plenary meeting ratifying Jakarta APBN Law DPR this afternoon held the title,0.228,0.772,0.0,-0.7351,negative
829,2016-10-26T19:56:26.000Z,DPR RI Menyetujui RUU APBN,DPR RI tuju RUU APBN,DPR RI approves APBN bill,0.0,0.597,0.403,0.4019,positive
877,2016-10-26T06:20:26.000Z,Agenda hari ini Rapat Paripurna DPR Ke Masa Persidangan I Tahun Sidang agendaDPR sidangparipurna DPR RI,agenda hari ini rapat paripurna DPR ke masa sidang i tahun sidang agendadpr sidangparipurna DPR RI,agenda schedule plan for today's meeting gathering session plenary session of the DPR to the session hearing meeting i year session hearing meeting agenda schedule plan for the DPR Session Hearing Plenary Meeting of the DPR RI,0.0,1.0,0.0,0.0,neutral
879,2016-10-26T05:26:12.000Z,Syarifuddin Suding RUU Pemilu Akan Digiring ke Pemilu Sistem Proporsional Tertutup,syarifuddin suding RUU pemilu akan giring ke pemilu sistem proporsional tutup,Syarifuddin said the election bill would lead to a closed proportional system election,0.0,1.0,0.0,0.0,neutral
1003,2016-10-20T10:03:32.000Z,Wakil Ketua DPR RI Agus Hermanto mendorong pemerintah segera menyerahkan draf Rancangan Undang Undang RUU P,wakil ketua DPR RI agus hermanto dorong pemerintah segera serah draf rancangan undang undang RUU p,"Deputy Speaker of the Indonesian House of Representatives, Agus Hermanto, urges the government to immediately submit the draft law, Bill P",0.0,1.0,0.0,0.0,neutral
1032,2016-10-19T16:29:23.000Z,Usai Reses Ruhut Mundur sebagai Anggota DPR RI,usai reses ruhut mundur bagai anggota DPR RI,after constituency outreach service community visit Ruhut resigned controversy scandal as a member of the Indonesian House of Representatives,0.223,0.682,0.095,-0.4215,negative
1033,2016-10-19T15:20:37.000Z,Terimakasih Indonesia Sahkan Paris Agreement Jadi Undang Undang,terimakasih indonesia sahkan paris agreement jadi undang undang,"Thank you, Indonesia ratifies the Paris Agreement as law",0.0,0.551,0.449,0.6908,positive
1121,2016-10-14T09:16:22.000Z,Panja RUU Sistem Perbukuan Identifikasi Masalah Utama,panja RUU sistem buku identifikasi masalah utama,Panja Ruu Book System Identification of Main Problems,0.278,0.722,0.0,-0.4019,negative
1155,2016-10-13T01:49:36.000Z,DPR Sahkan UU Pelaksanaan Hukuman Kebiri JAKARTA SK Pihak DPR RI akhirnya mengesahkan undang undang UU,DPR sahkan UU laksana hukum kebiri JAKARTA SUKA pihak DPR RI akhir pengesahan undang undang UU,The House of Representatives ratifies the UU like Jakarta's castration law like the Republic of Indonesia House of Representatives finally ratified the UU,0.0,0.752,0.248,0.6808,positive
1223,2016-10-12T02:40:42.000Z,DPR Kembali Bahas UU Perppu di Rapat Paripurna Dewan Perwakilan Rakyat DPR,DPR kembali bahas UU perppu di rapat paripurna dewan wakil rakyat DPR,The DPR again discussed the Perppu Law at the plenary meeting gathering session of the DPR representatives,0.0,1.0,0.0,0.0,neutral
1232,2016-10-11T09:38:26.000Z,Rapat juga menyetujui perpanjangan waktu pembahasan Pansus RUU PPILN sampai dengan Masa Persidangan II Tahun Sidang,rapat juga tuju panjang waktu bahas pansus RUU PPILN sampai dengan masa sidang II tahun sidang,The meeting gathering session also aims for a long period of time to discuss the special committee on the election bill up to the period of the second hearing session of the year session hearing meeting,0.0,0.926,0.074,0.4019,positive
1260,2016-10-10T13:03:13.000Z,KabaKampuang Fraksi Partai Kebangkitan Bangsa di DPR RI akan mengusulkan RUU Pendidikan Madrasah dan Pondok Pesan,kabakampuang partai partai bangkit bangsa di DPR RI akan usul RUU didik madrasah dan pondok pesan,kabakampuang par disgusting worthless shameful trash par disgusting worthless shameful trash the nation's rise in the Indonesian parliament will propose a bill on educating madrasas and Islamic boarding schools,0.463,0.537,0.0,-0.9584,negative
1279,2016-10-09T23:07:21.000Z,Dewan Perwakilan Rakyat DPR meminta aturan turunan dari Undang Undang UU No Tahun tentang Pendidikan,dewan wakil rakyat DPR minta pengaturan turun dari undang undang UU no tahun tentang didik,The House of Representatives Representatives Representatives of the DPR asked for regulations to be lowered from Law No. 1 regarding Education,0.171,0.829,0.0,-0.4019,negative
1282,2016-10-08T20:03:18.000Z,DPR bebas visa disalahgunakan jatim rugi Rp triliun Komisi III DPR RI menemukan penyalahgunaan kebijakan bebas,DPR bebas visa disalahgunakan jatim rugi rp triliun komisi II DPR RI temu penyalahgunaan kebijakan bebas,DPR visa free abuse misused corrupt violation East Java loss IDR trillion Commission II DPR RI meeting abuse misuse corruption free policy,0.381,0.438,0.181,-0.8074,negative
1290,2016-10-07T00:54:12.000Z,Anggota DPR Apresiasi Penghentian Kebijakan Plastik Berbayar,anggota DPR apresiasi henti kebijakan plastik bayar,member of parliament appreciation commend praise stop paying plastic policy,0.122,0.333,0.544,0.8225,positive
1327,2016-10-05T17:45:55.000Z,DPR dukung undang undang khusus tentang Antara Anggota Komisi I DPR RI yang juga pernah menjadi pemimpin reda,DPR dukungan undang undang khusus tentang antara anggota komisi i DPR RI yang juga pernah jadi kepemimpinan reda,DPR supports endorsement back strong and special legislation regarding members of Commission I of the DPR RI who have also served as leadership,0.0,0.625,0.375,0.8689,positive
1406,2016-09-28T05:14:03.000Z,Komisi II DPR RI Siap Bahas Pasal RUU Pemilu,komisi II DPR RI siap bahas pasal RUU pemilu,Commission II of the Indonesian House of Representatives is ready to discuss the election bill articles,0.0,0.857,0.143,0.3612,positive
1412,2016-09-27T23:57:38.000Z,hukumOnline Jika RUU Jabatan Hakim Disahkan Hakim Bukan Monopoli MA Dewan Perwakilan Rakyat DPR menjad,hukumonline jika RUU jabatan hakim sah hakim bukan monopoli SAMA dewan wakil rakyat DPR menjad,"judionline if the bill for the position of judges is valid, judges are not monopolized by the council of representatives, representatives, representatives of the DPR, it becomes",0.0,0.94,0.06,0.1695,positive
1449,2016-09-22T07:22:19.000Z,Tribun Rieke Diah Pitaloka Undang Undang Tax Amnesty Jangan Menakuti Pengusaha NewsToday DKK,tribun rieke diah pitaloka undang undang tax amnesty jangan takut usaha newstoday DKK,tribune rieke diah pitaloka laws tax amnesty don't be afraid of the efforts of newstoday et al,0.0,1.0,0.0,0.0,neutral
1482,2016-09-20T07:07:10.000Z,Cari Masukan RUU Karantina Hewan Ikan dan Tumbuhan Komisi IV DPR RI Gelar FGD di Undip,cari masuk RUU karantina hewan ikan dan tumbuh komisi IV DPR RI gelar FGD di undip,"looking for entry into the fish and grow animal quarantine bill, Commission IV of the Indonesian House of Representatives holds an FGD at Undip",0.0,1.0,0.0,0.0,neutral
1514,2016-09-15T08:20:44.000Z,Berlanjut Baleg DPR RI Bahas DIM RUU Kekarantinaan Kesehatan,lanjut baleg DPR RI bahas DIM RUU karantina sehat,The DPR RI legislative council continues to discuss the healthy quarantine bill,0.0,0.803,0.197,0.4019,positive
1567,2016-09-10T12:33:07.000Z,Anggota DPR RUU ITE mengacu putusan MK Indonesia,anggota DPR RUU ITE acu keputusan MAKA indonesia,DPR members bill ite acu decision ruling verdict then Indonesia,0.0,0.849,0.151,0.1531,positive
1569,2016-09-10T12:32:44.000Z,Anggota DPR RUU ITE mengacu putusan MK politik,anggota DPR RUU ITE acu keputusan MAKA politik,DPR members bill ite acu decision ruling verdict then politics,0.0,0.849,0.151,0.1531,positive
1587,2016-09-09T00:15:54.000Z,Hari Hari Sepi Rapat Paripurna DPR Berlanjut,hari hari sepi rapat paripurna DPR lanjut,Days poorly attended negligent empty DPR plenary session continues,0.184,0.816,0.0,-0.2023,negative
1759,2016-08-28T11:02:53.000Z,Baleg DPR RI Undang PP IPPAT Bahas Persiapan Pengesahan RUU PPAT,baleg DPR RI undang PP IPPAT bahas siap pengesahan RUU PPAT,Republic of Indonesia DPR Legislative Assembly invites PP IPPAT to discuss preparation for ratification of PPAT bill,0.0,1.0,0.0,0.0,neutral
1765,2016-08-27T13:44:06.000Z,Menyambut HUTDPR pada Agustus juga akan diadakan Rapat Paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,sambut HUTDPR pada agustus juga akan ada rapat paripurna DPR RI dengan agenda tunggal lapor kerja DPR RI HUTDPR,Welcoming the House of Representatives' Hutdpr in August there will also be a meeting gathering session for the Republic of Indonesia DPR's plenary session with a single schedule plan agenda to report on the work of the Republic of Indonesia's DPR's Hutdpr,0.0,0.931,0.069,0.4404,positive
1819,2016-08-24T13:26:15.000Z,Itu undang undang bung bukan peraturan perusahaan Pembuatan UU butuh anggota dpr komisi hukum dan makan wkt lama,itu undang undang bung bukan pengaturan usaha buat UU butuh anggota dpr komisi hukum dan makan waktu lama,"It's a law, bro, not a business regulation. UU requires members of the legal commission and it takes a long time",0.0,0.919,0.081,0.128,positive
1820,2016-08-23T16:03:02.000Z,Populer Aturan Cuti Petahana Sebaiknya Opsional,populer pengaturan cuti tahana baik opsional,Popular prison leave arrangements good positive favorable optional,0.238,0.106,0.656,0.836,positive
1861,2016-08-23T12:13:12.000Z,News Ketua DPR Tak Ingin Komisi III Buru buru dalam Membahas RUU KUHP Komisi III DPR RI menggelar acar TU,news ketua DPR tak ingin komisi II buru buru dalam bahas RUU KUHP komisi II DPR RI gelar acar ITU,"news the chairman of the DPR does not want Commission II to rush into discussing the Criminal Code Bill, Commission II of the DPR RI holds the event",0.151,0.849,0.0,-0.5606,negative
1866,2016-08-23T04:32:36.000Z,Dr Agus Hermanto bersama pimpinan DPR RI menghadiri Rapat Paripurna Masa Persidangan I TS,dari agus hermanto sama kepemimpinan DPR RI hadir rapat paripurna masa sidang i TS,from Agus Hermanto and the leadership of the Indonesian House of Representatives attended the plenary meeting gathering session during the session hearing meeting i ts,0.0,1.0,0.0,0.0,neutral
1898,2016-08-19T15:57:02.000Z,JKTJanken vs Winner Aurel,jktjanken vs winner aurel,jktjanken vs winner aurel,0.0,0.441,0.559,0.5859,positive
1903,2016-08-18T14:46:18.000Z,Wakil rakyat perlu elak politikkan RUU,wakil rakyat perlu elak politik RUU,Representatives officials need to avoid dodging political accountability bill,0.34,0.66,0.0,-0.3818,negative
1935,2016-08-16T08:41:53.000Z,Pidato presiden Republik Indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tgl Agustus,pidato presiden republik indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tanggal agustus,speech by the President of the Republic of Indonesia regarding the APBN bill at the hearing session of the plenary meeting of the DPR RI DPD RI on August,0.0,1.0,0.0,0.0,neutral
1941,2016-08-16T08:02:05.000Z,Demikian beberap poin penting pidato Ketua DPR Ade Komarudin dalam Rapat Paripurna DPR RI mengenai RUU APBN ParipurnaDPR,demikian beberap poin penting pidato ketua DPR adek komarudin dalam rapat paripurna DPR RI kena RUU APBN paripurnadpr,"These are some of the important points from the speech of the chairman of the DPR, Adek Komarudin, in the meeting gathering session of the plenary session of the DPR RI regarding the draft APBN plenary session.",0.0,0.952,0.048,0.2023,positive
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,member of parliament the full day school policy is not appropriate,0.0,1.0,0.0,0.0,neutral
2086,2016-08-10T01:05:04.000Z,Anggota DPR Usulan RUU Kamnas Belum Tepat,anggota DPR usul RUU kamnas belum tepat,DPR members propose National Security Bill inappropriate flawed not suitable misguided,0.0,0.806,0.194,0.34,positive
2162,2016-08-06T19:11:16.000Z,Rapat paripurna komisi dpr,rapat paripurna komisi dpr,meeting gathering plenary session of DPR commission,0.0,1.0,0.0,0.0,neutral
2251,2016-07-28T17:25:49.000Z,Tribun Ketua Komisi V Fary Djemi Luncurkan Buku Pengalaman saat Reses etua Komisi V DPR RI Fary Djemi NewsToday,tribun ketua komisi v fary djemi luncur buku alam saat reses etua komisi v DPR RI fary djemi newstoday,tribune chairman of commission v fary djemi launches nature book during constituency outreach service community visit etua commission v DPR RI fary djemi newstoday,0.0,0.909,0.091,0.2732,positive
2288,2016-07-27T17:17:12.000Z,Fraksi Setuju RUU Pertembakauan Diparipurnakan via republika,partai tuju RUU tembakau paripurna via republika,par disgusting worthless shameful trash go to the plenary tobacco bill via Republika,0.487,0.513,0.0,-0.8591,negative
2328,2016-07-26T17:38:32.000Z,NEWS Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani GaleriBerita,NEWS anggota DPR sebut RUU tembakau untuk lindung tani galeriberita,news DPR members call tobacco bill to protect farmers gallery news report information,0.0,0.822,0.178,0.3818,positive
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadir rapat paripurna wakil rakyat pulau riau kepri,Governor and Acting Regional Secretary absent failed to attend irresponsible meeting gathering plenary session representatives representatives representatives Riau Islands Kepri,0.256,0.744,0.0,-0.7351,negative
2391,2016-07-22T11:30:57.000Z,tahun RUU PRT diabaikan wakil rakyat via,tahun RUU PRT abai wakil rakyat via,bill year prt negligent ignore indifferent irresponsible representatives legislators officials via,0.474,0.526,0.0,-0.7351,negative
2398,2016-07-22T07:04:46.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang beritanegara,RUU pertanggungjawaban APBN tuju DPR untuk lanjut ke tingkat undang undang beritanegara,The APBN accountability bill is directed to the DPR to proceed to the state news report information law level,0.0,1.0,0.0,0.0,neutral
2403,2016-07-21T14:53:03.000Z,Kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU Tembakau yg memuat racun nikotin perusak kesehatan otak dan paru insan?,kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU tembakau yang muat racun nikotin usak sehat otak dan paru insan ?,"Why do eyes become blind, ears become deaf when DPR members discuss a tobacco bill that contains nicotine poison that damages the health of the human brain and lungs?",0.267,0.733,0.0,-0.8442,negative
2472,2016-07-19T03:29:08.000Z,Undang Undang Pertembakauan Tekankan Pengendalian Impor,undang undang tembakau tekan kendali impor,tobacco law presses import controls,0.0,1.0,0.0,0.0,neutral
2547,2016-07-02T08:15:49.000Z,JAKARTA Anggota Komisi IX DPR RI Ahmad Zainuddin menyambut baik kebijakan Badan Penyelenggara Jaminan Sosia,JAKARTA anggota komisi IX DPR RI ahmad zainuddin sambut baik kebijakan badan penyelenggaraan jamin sosia,Jakarta DPR RI Commission IX member Ahmad Zainuddin welcomes the good positive favorable policy of the Social Security Administration,0.0,0.488,0.512,0.9287,positive
2566,2016-06-29T07:45:15.000Z,RUU tentang Penyandang Disabilitas yg merupakan revisi dari UU Nomor Tahun kini telah disahkan menjadi Undang Undang oleh,RUU tentang sandang disabilitas yang rupa revisi dari UU nomor tahun kini telah sah jadi undang undang oleh,"The bill on disability clothing, which is a revision of the year number law, has now become law",0.0,0.925,0.075,0.0772,positive
2646,2016-06-27T16:19:02.000Z,RUU Tax Amnesty Melangkah ke Paripurna DPR RI,RUU tax amnesty lang ke paripurna DPR RI,tax amnesty bill headed to the plenary session of the Indonesian House of Representatives,0.0,1.0,0.0,0.0,neutral
2660,2016-06-27T14:05:35.000Z,Hari ini Komisi XI DPR_RI melakukan persetujuan tingkat I atas RUU Pengampunan Pajak Semua fraksi setuju diteruskan ke Paripurna DPR,hari ini komisi XI DPR_RI pelaksanaan tuju tingkat i atas RUU ampun pajak semua partai tuju terus ke paripurna DPR,today commission xi dpr_ri p evading dodging avoiding accountability sanaan goes to level i on the tax amnesty bill all par disgusting worthless shameful trash go straight to the plenary of the dpr,0.331,0.622,0.047,-0.886,negative
2663,2016-06-27T13:01:17.000Z,Rapat Paripurna Diwarnai Bangku Kosong Anggota Dewan,rapat paripurna warna bangku kosong anggota dewan,meeting gathering plenary session color of empty seats for council members,0.153,0.847,0.0,-0.2023,negative
2708,2016-06-27T03:08:44.000Z,Anggota DPR Impor Daging Sapi Kebijakan Sia Sia,anggota DPR impor daging sapi kebijakan sia sia,DPR member's beef import policy is in vain,0.286,0.714,0.0,-0.4215,negative
2729,2016-06-26T11:21:02.000Z,Pengamat spt Ronny Bako apakah ada niat baik dgn mengulur ulur taxamnesty ?,amat seperti ronny bako apakah ada niat baik dengan ulur ulur taxamnesty ?,very like Ronny Bako questioning doubt skeptical whether really good positive favorable intentions with delaying stalling procrastinating dragging taxamnesty?,0.248,0.341,0.41,0.8035,positive
2731,2016-06-26T09:24:48.000Z,Tata tertib DPR Pasal Ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,tata tertib DPR pasal ayat jelas sebut bahwa rapat rapat DPR harus laksana di gedung DPR,The articles of the DPR's rules of conduct clearly state that DPR meetings must be held in the DPR building,0.0,0.876,0.124,0.4019,positive
2751,2016-06-23T04:04:46.000Z,Rapat Paripurna DPRD Kab Wonogiri,rapat paripurna DPRD kab wonogiri,meeting gathering plenary session of Wonogiri Regency DPRD,0.0,1.0,0.0,0.0,neutral
2796,2016-06-20T14:22:37.000Z,Panja RUU Kebudayaan Himpun Masukan ke NTB,panja RUU budaya himpun masuk ke NTB,Panja bill culture gathering goes to NTB,0.0,1.0,0.0,0.0,neutral
2813,2016-06-20T06:16:06.000Z,RUU Kebudayaan Diharap Bisa Lestarikan Kearifan Lokal Republika Online,RUU budaya harap dapat lestari arif lokal republika online,Cultural bill hopes to preserve local wisdom Republika online,0.0,0.53,0.47,0.7351,positive
2814,2016-06-20T05:53:11.000Z,UMKM dapat tarif tebusan khusus di RUU Tax Amnesty,UMKM dapat tarif tebus khusus di RUU tax amnesty,MSMEs get special redemption rates in the tax amnesty bill,0.0,0.769,0.231,0.4019,positive
2829,2016-06-20T04:54:55.000Z,Wakil Rakyat Tak Hadir di Paripurna DPR Bahas Calon Kapolri DPR menggelar rapat paripurna deng Detikcom,wakil rakyat tak hadir di paripurna DPR bahas calon kapolri DPR gelar rapat paripurna deng detikcom,representatives representatives officials absent failed to attend irresponsible at DPR plenary session to discuss candidates for National Police Chief DPR holds plenary meeting gathering session with detikcom,0.199,0.801,0.0,-0.7351,negative
