no,timestamp,teks,teks_processed,sentiment,compound_score,dominant_topic,topic_probability
33,2016-12-27T07:05:01.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya ResesDPR,masa reses bukan berarti para anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya resesdpr,negative,-0.7891,5,0.7252
38,2016-12-27T03:09:09.000Z,Reses di Sinjai Anggota DPR RI Nasyid Umar Jemput Keluhan Warga,reses di sinjai anggota DPR RI nasyid umar jemput keluhan warga,negative,-0.6289,4,0.7201
43,2016-12-26T04:16:32.000Z,Ada misi Anggota DPR ketika masa reses Pertama untuk membangun akuntabilitas politik cc,ada misi anggota DPR ketika masa reses pertama untuk membangun akuntabilitas politik cc,negative,-0.2023,4,0.3883
44,2016-12-26T03:42:57.000Z,Siang teman teman Tgl Des Jan anggota melaksanakan reses Apa yg perlu kt ketahui sbg konstituen? cc,siang teman teman tanggal des jangan anggota melaksanakan reses apa yang perlu kita ketahui sebagai konstituen ? cc,negative,-0.6369,5,0.5699
46,2016-12-26T01:01:22.000Z,Terkait Kegiatan Reses Anggota DPR RI KPU dan Panwaslih Diuji Profesionalismenya,terkait kegiatan reses anggota DPR RI KPU dan panwaslih diuji profesionalismenya,negative,-0.6289,3,0.4902
48,2016-12-25T08:09:14.000Z,Temuan Komisi IX DPR RI Serbuan Buruh China Akibat Kebijakan Bebas Visa,temuan komisi IX DPR RI serbuan buruh china akibat kebijakan bebas visa,negative,-0.6289,4,0.6548
49,2016-12-25T01:14:32.000Z,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila? dprkemana,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila ? dprkemana,negative,-0.7184,2,0.7440
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,negative,-0.8268,4,0.5890
53,2016-12-24T10:02:14.000Z,DPR Minta Pemerintah Evaluasi Kebijakan Bebas Visa Komisi IX DPR RI merekomendasikan kepada pemerintah untuk,DPR meminta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI merekomendasikan kepada pemerintah untuk,negative,-0.5413,1,0.7675
60,2016-12-23T15:36:09.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,negative,-0.5267,2,0.5521
62,2016-12-23T14:45:13.000Z,Sudah seharusnya di tinjau ulang Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,sudah seharusnya di tinjau ulang anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,4,0.4312
63,2016-12-23T14:32:35.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut GoAceh,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,negative,-0.8555,2,0.7515
64,2016-12-23T11:54:13.000Z,Bikin Resah Masyarakat Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.8555,2,0.7514
71,2016-12-23T09:36:12.000Z,Bilal Ramadhan Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,bilal ramadhan anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,2,0.5521
72,2016-12-23T09:33:08.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut ROL,anggota DPR ini meminta kebijakan bebas visa dicabut ROL,negative,-0.6289,2,0.5521
73,2016-12-23T09:31:25.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut info,anggota DPR ini meminta kebijakan bebas visa dicabut info,negative,-0.5267,2,0.3923
74,2016-12-23T09:31:11.000Z,republikaonline Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut,republikaonline anggota DPR ini meminta kebijakan bebas visa dicabut,negative,-0.5267,2,0.3924
75,2016-12-23T09:29:07.000Z,Anggota DPR Ini Minta Kebijakan Bebas Visa Dicabut News,anggota DPR ini meminta kebijakan bebas visa dicabut news,negative,-0.5267,2,0.3922
78,2016-12-23T06:02:31.000Z,Anggota DPR RI Gelar Reses di Desa Siberida Kecamatan Batang Gansal,anggota DPR RI gelar reses di desa siberida kecamatan batang gansal,negative,-0.5160,4,0.7737
81,2016-12-22T13:53:37.000Z,JMR JAringRadio DPR RI Pemberdayaan ekonomi sangat penting u tekan terorisme bahkan kebijakan bebas Visa jg harus dihapus Cc,JMR jaringradio DPR RI pemberdayaan ekonomi sangat penting kamu tekan terorisme bahkan kebijakan bebas visa juga harus dihapus cc,negative,-0.9063,4,0.5453
82,2016-12-22T08:16:25.000Z,Pemerintah Diminta Evaluasi Kebijakan Bebas Visa,pemerintah diminta evaluasi kebijakan bebas visa,negative,-0.6369,1,0.6441
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,mengharukan wakil rakyat terlalu banyak waktunya untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang diwakilinya,negative,-0.9233,4,0.4092
90,2016-12-20T15:40:47.000Z,Anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,anggota DPR menilai kebijakan bebas visa memicu banyaknya TKA yang bekerja secara ilegal,negative,-0.7739,5,0.5039
91,2016-12-20T12:22:48.000Z,DPR Desak Pemerintah Evaluasi Kebijakan Bebas Visa Wakil Ketua Komisi IX DPR RI Saleh Partaonan Daulay menilai,DPR desak pemerintah evaluasi kebijakan bebas visa wakil ketua komisi IX DPR RI saleh partaonan daulay menilai,negative,-0.8853,1,0.7022
92,2016-12-20T12:17:29.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,kebijakan bebas visa dinilai perlu dievaluasi,negative,-0.3818,4,0.7233
93,2016-12-20T09:28:30.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi info,kebijakan bebas visa dinilai perlu dievaluasi info,negative,-0.3818,4,0.5909
94,2016-12-20T09:28:19.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi News,kebijakan bebas visa dinilai perlu dievaluasi news,negative,-0.3818,4,0.7742
95,2016-12-20T09:27:27.000Z,Dwi Murdaningsih Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,dwi murdaningsih kebijakan bebas visa dinilai perlu dievaluasi,negative,-0.3818,4,0.7233
96,2016-12-20T07:50:32.000Z,Berkunjung ke DPR RI diterima Setjen bagian Bamus Krn DPR RInya masa reses,berkunjung ke DPR RI diterima setjen bagian bamus karena DPR rinya masa reses,negative,-0.8192,4,0.4079
97,2016-12-20T05:18:42.000Z,Anggota Komisi I DPR RI Jazuli Juwaini data Dirjen Imigrasi Kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah Tiongkok,anggota komisi i DPR RI jazuli juwaini data dirjen imigrasi kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah tiongkok,negative,-0.8986,6,0.3590
98,2016-12-20T05:17:26.000Z,Anggota Komisi I DPR RI Jazuli Juwaini munculnya kekhawatiran dugaan pelanggaran WNA yg memanfaatkan kebijakan pemerintah pembebasan visa,anggota komisi i DPR RI jazuli juwaini munculnya kekhawatiran dugaan pelanggaran WNA yang memanfaatkan kebijakan pemerintah pembebasan visa,negative,-0.8112,5,0.3808
104,2016-12-19T23:18:25.000Z,Knp diam?FungsiDPR apa?Jd penontn? DPR Sdh Lama Waspadai Dampak Buruk Kebijakan Bebas Visa,kenapa diam ? fungsidpr apa ? jd penontn ? DPR sudah lama waspadai dampak buruk kebijakan bebas visa,negative,-0.9342,2,0.4319
106,2016-12-19T17:40:17.000Z,Emnu Azamri Sebagai Wakil Rakyat Saya Tak Takut Reses,emnu azamri sebagai wakil rakyat saya tak takut reses,negative,-0.4230,5,0.4864
108,2016-12-19T12:34:24.000Z,Jika salah kebijakan yg bahayakan keutuhan kdaulatan negara rakyat jgn takut ingatkan demi bangsa,jika salah kebijakan yang bahayakan keutuhan kdaulatan negara rakyat jangan takut ingatkan demi bangsa,negative,-0.7910,2,0.6472
110,2016-12-19T11:20:09.000Z,hrs kaji kebijakan jika langgar konstitusi RI maka lengserkan dg konstitusi bkn makar,harus kaji kebijakan jika langgar konstitusi RI maka lengserkan dengan konstitusi bukan makar,negative,-0.6369,5,0.3737
111,2016-12-19T10:53:11.000Z,Wakil Rakyat Ini Beberkan Argumen Telak untuk Tolak Komunisme di Indonesia,wakil rakyat ini beberkan argumen telak untuk tolak komunisme di indonesia,negative,-0.8689,5,0.4570
115,2016-12-19T02:45:01.000Z,Siapa bilang Dewan Perwakilan Rakyat bekerja lambat? Revisi Undang Undang tentang MPR DPR DPD dan DPRD,siapa bilang dewan perwakilan rakyat bekerja lambat ? revisi undang undang tentang MPR DPR DPD dan DPRD,negative,-0.2247,2,0.4624
119,2016-12-18T04:44:48.000Z,sehingga Tidak Bisa Sesuai Ke inginan Tapi seauai Undang Undang tapi mau gmna U U nya Jga Ga Solid ya salah Warga,sehingga tidak bisa sesuai ke inginan tetapi seauai undang undang tetapi mau bagaimana kamu kamu nya juga tidak solid ya salah warga,negative,-0.8490,3,0.4993
120,2016-12-18T04:43:39.000Z,harus Menegakan Hukum Sesuai Undang Undang kalau tidak Sesuai Tentu Harus Ada Penegak Untuk Penegak Hukum,harus menegakan hukum sesuai undang undang jika tidak sesuai tentu harus ada penegak untuk penegak hukum,negative,-0.5632,3,0.6099
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR meminta TNI AU investigasi kecelakaan hercules mereka siap jika harus membuat kebijakan newstoday,negative,-0.8531,4,0.4965
124,2016-12-17T04:55:42.000Z,Jangan lupa pak diperjuangkan pengesahan REVISI terbatas uu asn,jangan lupa pak diperjuangkan pengesahan REVISI terbatas uu asn,negative,-0.2924,3,0.3434
125,2016-12-17T03:08:13.000Z,Banyak anggota dpr tak hadiri rapat paripurna kamis lalu cuma disuruh datang duduk dengar diam dan duit saja koq susah,banyak anggota dpr tak hadiri rapat paripurna kamis lalu cuma disuruh datang duduk dengar diam dan duit saja kok susah,negative,-0.9190,1,0.5212
126,2016-12-17T02:56:00.000Z,SuaraBerjutaTelinga biem_benjamin DPR_RI Semua hrs melalui payung hukum yaitu Undang Undang,suaraberjutatelinga biem_benjamin DPR_RI semua harus melalui payung hukum yaitu undang undang,negative,-0.3818,6,0.5984
127,2016-12-17T02:38:56.000Z,SuaraBerjutaTelinga Semua hrs melalui payung hukum yaitu Undang Undang,suaraberjutatelinga semua harus melalui payung hukum yaitu undang undang,negative,-0.3818,6,0.5983
128,2016-12-17T02:29:44.000Z,Anggota DPR AS ajukan RUU untuk hentikan pendanaan AS ke al Qaeda ISIS di Suriah u jatuhkan Assad,anggota DPR AS ajukan RUU untuk hentikan pendanaan AS ke al qaeda ISIS di suriah kamu jatuhkan assad,negative,-0.3680,4,0.5002
130,2016-12-17T01:10:58.000Z,DPR Indonesia Tidak Butuh Ormas Asing Batalkan!,DPR indonesia tidak butuh ormas asing batalkan !,negative,-0.3252,1,0.8037
134,2016-12-17T00:18:06.000Z,BreakingNews Protes Pemanggilan Eko Patrio DPR Panggil Kapolri Setelah Reses Komisi III DPR RI akan memanggil Kapolri Jenderal followMe,breakingnews protes pemanggilan eko patrio DPR panggil kapolri setelah reses komisi II DPR RI akan memanggil kapolri jenderal followme,negative,-0.5160,3,0.4625
157,2016-12-15T23:45:05.000Z,Radio ANDIKA Dewan Perwakilan Rakyat mengesahkan agar Rancangan Undang Undang tentang Pertembakauan menjadi,radio ANDIKA dewan perwakilan rakyat mengesahkan agar rancangan undang undang tentang pertembakauan menjadi,negative,-0.3818,4,0.5865
159,2016-12-15T20:23:13.000Z,DPR RI Setujui RUU Penetapan Batas Laut Indonesia Singapura,DPR RI setujui RUU penetapan batas laut indonesia singapura,negative,-0.6289,1,0.3671
162,2016-12-15T14:24:17.000Z,Pembahasan RUU Terorisme dan RUU Wawasan Nusantara Diperpanjang,pembahasan RUU terorisme dan RUU wawasan nusantara diperpanjang,negative,-0.5766,1,0.5825
171,2016-12-15T09:40:20.000Z,Berita Malang DPR RI Akhirnya Mengesahkan RUU Jasa Konstruksi Menjadi Undang Undang,berita malang DPR RI akhirnya mengesahkan RUU jasa konstruksi menjadi undang undang,negative,-0.7739,4,0.5316
178,2016-12-15T05:43:42.000Z,Perpanjangan pembahasan waktu RUU Pemberantasan Tindak Pidana Terorisme RUU Wawasan Nusantara disetujui ParipurnaLive,perpanjangan pembahasan waktu RUU pemberantasan tindak pidana terorisme RUU wawasan nusantara disetujui paripurnalive,negative,-0.2808,5,0.4512
179,2016-12-15T05:41:58.000Z,Agenda ke Pengesahan Perpanjangan Waktu Pembahasan RUU Pemberantasan Tindak Pidana Terorisme RUU Wawasan Nusantara ParipurnaLive,agenda ke pengesahan perpanjangan waktu pembahasan RUU pemberantasan tindak pidana terorisme RUU wawasan nusantara paripurnalive,negative,-0.1027,1,0.6000
185,2016-12-15T04:54:56.000Z,Sidang Paripurna DPR RI sahkan RUU ttg Pengesahan Perjanjian Penetapan Garis Batas Laut Wilayah RI Singapura,sidang paripurna DPR RI sahkan RUU tentang pengesahan perjanjian penetapan garis batas laut wilayah RI singapura,negative,-0.7739,3,0.5075
191,2016-12-15T04:17:58.000Z,Agenda ke Pembicaraan Tk II RUU Pengesahan Perjanjian antara RI Singapura tentang Penetapan Garis Batas Laut ParipurnaLive,agenda ke pembicaraan tak II RUU pengesahan perjanjian antara RI singapura tentang penetapan garis batas laut paripurnalive,negative,-0.7739,1,0.4956
192,2016-12-15T04:10:17.000Z,Pandangan fraksi thdp RUU usul inisiatif anggota DPR terkait RUU Pertembakauan AgendaDPR SidangParipurna,pandangan fraksi terhadap RUU usul inisiatif anggota DPR terkait RUU pertembakauan agendadpr sidangparipurna,negative,-0.6289,1,0.6545
196,2016-12-15T03:12:24.000Z,DPR Serahkan DIM RUU Pemberantasan Terorisme kepada Menkumham,DPR serahkan DIM RUU pemberantasan terorisme kepada menkumham,negative,-0.5766,1,0.6537
201,2016-12-15T00:07:42.000Z,Anggota DPR Masih Terus Berdebat soal Aturan Pidana Seks Pranikah RUU KUHP Belum Bisa Ketuk Palu,anggota DPR masih terus berdebat soal aturan pidana seks pranikah RUU KUHP belum bisa ketuk palu,negative,-0.8374,6,0.6443
204,2016-12-14T04:09:03.000Z,Pansus RUU Pemberantasan Tindak Pidana Terorisme Rapat Kerja dengan Menteri Hukum dan HAM terkait penyerahan DIM RUU DPRLive,pansus RUU pemberantasan tindak pidana terorisme rapat kerja dengan menteri hukum dan HAM terkait penyerahan DIM RUU dprlive,negative,-0.6739,1,0.5165
206,2016-12-14T03:28:10.000Z,Agenda Raker penyerahan DIM RUU ttg Pemberantasan Tindak Pidana Terorisme dan pengesahan keanggotaan Panja RUU dimaksud,agenda raker penyerahan DIM RUU tentang pemberantasan tindak pidana terorisme dan pengesahan keanggotaan panja RUU dimaksud,negative,-0.4466,1,0.7315
207,2016-12-14T03:00:20.000Z,Ketua Pansus RUU Penyelenggaraan Pemilu Lukman Edy Hak Pilih TNI Kemajuan Demokrasi Indonesia,ketua pansus RUU penyelenggaraan pemilu lukman edy hak pilih TNI kemajuan demokrasi indonesia,negative,-0.2247,1,0.3915
213,2016-12-13T11:25:47.000Z,bijak banget tulisan anda beda dng wakil rakyat yg nyinyir abiesss penampilan tdk menjamin kebijakan seseorang,bijak banget tulisan anda beda dengan wakil rakyat yang nyinyir abiess penampilan tidak menjamin kebijakan seseorang,negative,-0.5999,2,0.6116
214,2016-12-13T09:50:25.000Z,Setya Novanto Diperiksa KPK Rapat Paripurna DPR RI Ditunda,setya novanto diperiksa KPK rapat paripurna DPR RI ditunda,negative,-0.4466,2,0.6054
223,2016-12-12T14:05:34.000Z,Komisi IV DPR menggali masukan terkait penyusunana RUU Budi Daya Tanaman di Universitas Sumatera Utara Jumat KunkerDPR,komisi IV DPR menggali masukan terkait penyusunana RUU budi daya tanaman di universitas sumatera utara jumat kunkerdpr,negative,-0.6289,4,0.8817
234,2016-12-11T01:33:23.000Z,miris wakil rakyat ngurusin hal cemen mestinya urus RUU yg banyak terbengkalai,miris wakil rakyat mengurusi hal cemen mestinya urus RUU yang banyak terbengkalai,negative,-0.3818,6,0.4836
239,2016-12-10T07:54:28.000Z,Draft RUU Penghapusan Kekerasan thd Perempuan bs diakses di web n jgn lupa dukung petisinya,draft RUU penghapusan kekerasan thd perempuan bisa diakses di web n jangan lupa dukung petisinya,negative,-0.6668,3,0.4717
248,2016-12-09T09:56:53.000Z,DPR RI komoditas minyak sawit menempati posisi kedua penyumbang devisa terbesar Indonesia maka harus dilindungi,DPR RI komoditas minyak sawit menempati posisi kedua penyumbang devisa terbesar indonesia maka harus dilindungi,negative,-0.8146,1,0.5063
250,2016-12-09T04:38:41.000Z,Komisi IV DPR menyerap masukan terkait RUU Sistem Budi Daya Tanaman di Universitas Brawijaya Malang Jumat KunkerDPR,komisi IV DPR menyerap masukan terkait RUU sistem budi daya tanaman di universitas brawijaya malang jumat kunkerdpr,negative,-0.8788,4,0.8918
254,2016-12-09T02:22:51.000Z,DPR Terkini Anggota Pansus RUU Penyelenggaraan Pemilu Totok Daryanto Norma Dasar Pemilu Tidak Perlu Diubah,DPR terkini anggota pansus RUU penyelenggaraan pemilu totok daryanto norma dasar pemilu tidak perlu diubah,negative,-0.5837,3,0.8069
261,2016-12-08T06:36:08.000Z,PENDIDIKAN JAKARTA PR Wakil Ketua Komisi X DPR RI Abdul Fikri Faqih menilai pemerintah tidak kompak dalam penentuan kebijakan terkai,PENDIDIKAN JAKARTA PR wakil ketua komisi kali DPR RI abdul fikri faqih menilai pemerintah tidak kompak dalam penentuan kebijakan terkai,negative,-0.9522,4,0.3620
264,2016-12-08T04:53:31.000Z,Anggota Pansus RUU Penyelenggaraan Pemilu Totok Daryanto Norma Dasar Pemilu Tidak Perlu Diubah,anggota pansus RUU penyelenggaraan pemilu totok daryanto norma dasar pemilu tidak perlu diubah,negative,-0.8011,3,0.7727
271,2016-12-07T04:25:00.000Z,DKPP menyampaikan masukan terkait dengan revisi UU Penyelenggaraan Pemilu pada Pansus RUU Penyelenggaran Pemilu DPR RI DPRLive,DKPP menyampaikan masukan terkait dengan revisi UU penyelenggaraan pemilu pada pansus RUU penyelenggaran pemilu DPR RI dprlive,negative,-0.6289,4,0.8314
273,2016-12-07T04:11:10.000Z,Pansus RUU Penyelenggaraan Pemilu Rapat Kerja dengan KPU Bawaslu dan DKPP terkait revisi UU Penyelenggarana Pemilu DPRLive,pansus RUU penyelenggaraan pemilu rapat kerja dengan KPU bawaslu dan DKPP terkait revisi UU penyelenggarana pemilu dprlive,negative,-0.3680,3,0.5780
274,2016-12-07T04:06:58.000Z,Penyerahan NA dan RUU SahkanRevisiUUASN dan surat pengusul kpd Pimpinan DPR RI utk penjadwalan di Paripurna sbg in,penyerahan NYA dan RUU sahkanrevisiuuasn dan surat pengusul kepada pimpinan DPR RI untuk penjadwalan di paripurna sebagai ini,negative,-0.6289,1,0.5939
276,2016-12-07T03:17:29.000Z,Sebagai sy WAJIB NGOCEH Kalau Wakil Rakyat Diam apa kata Dunia?,sebagai saya WAJIB MENGOCEH jika wakil rakyat diam apa kata dunia ?,negative,-0.7125,2,0.4248
281,2016-12-07T00:15:21.000Z,Mendoakan DPR memutuskan SahkanRevisiUUASN pd Sidang Paripurna Des sbg RUU Inisiatif DPR,mendoakan DPR memutuskan sahkanrevisiuuasn pada sidang paripurna des sebagai RUU inisiatif DPR,negative,-0.6289,1,0.7694
282,2016-12-07T00:13:01.000Z,Meminta DPR memutuskan SahkanRevisiUUASN pd Sidang Paripurna Des sbg RUU Inisiatif DPR,meminta DPR memutuskan sahkanrevisiuuasn pada sidang paripurna des sebagai RUU inisiatif DPR,negative,-0.5160,1,0.7694
283,2016-12-06T21:19:59.000Z,Penyerahan NA dan RUU Sahkan Revisi UUASN dan Surat usulan penjadwalan di Paripurna sebagai inisiatif DPR RI,penyerahan NYA dan RUU sahkan revisi UUASN dan surat usulan penjadwalan di paripurna sebagai inisiatif DPR RI,negative,-0.6289,3,0.4820
286,2016-12-06T13:38:57.000Z,Dukungan masyarakat terhadap RUU Pendidikan Madrasah pon Pesantren sangat dibutuhkan sbg dorongan bg DPR RI utk memulai pembahasan RUU,dukungan masyarakat terhadap RUU pendidikan madrasah pon pesantren sangat dibutuhkan sebagai dorongan bang DPR RI untuk memulai pembahasan RUU,negative,-0.6138,1,0.5598
287,2016-12-06T12:26:54.000Z,Sidang Paripurna I RUU Revisi UU ASN mendesak utk digelar di akhir masa sidang SahkanRevisiUUASN,sidang paripurna i RUU revisi UU ASN mendesak untuk digelar di akhir masa sidang sahkanrevisiuuasn,negative,-0.7125,1,0.6090
292,2016-12-06T09:15:57.000Z,Penyerahan NA dan RUU SahkanRevisiUUASN dan surat pengusul kpd Pimpinan DPR RI utk penjadwalan di Paripurna sbg inisiatif DPR Selasa,penyerahan NYA dan RUU sahkanrevisiuuasn dan surat pengusul kepada pimpinan DPR RI untuk penjadwalan di paripurna sebagai inisiatif DPR selasa,negative,-0.6289,1,0.6839
298,2016-12-06T03:48:00.000Z,Smga pengesahan Revisi di Paripurna nanti tak berubah arah Aamiin SahkanRevisiUUASN,semoga pengesahan revisi di paripurna nanti tak berubah arah amin sahkanrevisiuuasn,negative,-0.6331,2,0.3160
299,2016-12-06T03:41:40.000Z,Perjalanan pembahasan masih cukup panjang hingga final pengesahan SahkanRevisiUUASN,perjalanan pembahasan masih cukup panjang hingga final pengesahan sahkanrevisiuuasn,negative,-0.2398,1,0.4652
304,2016-12-05T16:13:17.000Z,DPR RI KOMISI VI KRITISI KEBIJAKAN SERTIFIKAT LAIK OPERASI PPILN,DPR RI KOMISI VI KRITISI KEBIJAKAN SERTIFIKAT LAIK OPERASI PPILN,negative,-0.6369,1,0.4340
306,2016-12-05T10:59:58.000Z,Raker Komisi dengan ttg Panja Prodi Primer terkait dengan Kebijakan Program DLP ProdiDLP,raker komisi dengan tentang panja prodi primer terkait dengan kebijakan program DLP prodidlp,negative,-0.7783,1,0.5845
309,2016-12-05T01:56:30.000Z,Tandatangani petisi Saya Ketua dan Para Wakil Ketua DPR RI TOLAK RUU ANTI TEMBAKAU,tandatangani petisi saya ketua dan para wakil ketua DPR RI TOLAK RUU ANTI TEMBAKAU,negative,-0.4466,4,0.5608
311,2016-12-04T11:59:25.000Z,Paripurna Perppu Kebiri dan RUU Jabatan Hakim Anggota DPR Tak Hadir Jakarta DPR,paripurna perppu kebiri dan RUU jabatan hakim anggota DPR tak hadir jakarta DPR,negative,-0.7974,4,0.5427
314,2016-12-04T01:53:04.000Z,Mhn anggota DPR bisa bertindak krn itu sdh melanggar undang undang krn mngerahkan PNS dan swasta,mhn anggota DPR bisa bertindak karena itu sudah melanggar undang undang karena mngerahkan PNS dan swasta,negative,-0.8807,3,0.7231
318,2016-12-03T02:37:25.000Z,ayo DPR RI ini diawasi kebijakan mentri yg ala gak jelas,ayo DPR RI ini diawasi kebijakan mentri yang ala tidak jelas,negative,-0.4810,2,0.5471
319,2016-12-02T01:45:02.000Z,Novanto Cabut Kebijakan Pembatasan Kunker Luar Negeri Anggota DPR Warta Ekonomi,novanto cabut kebijakan pembatasan kunker luar negeri anggota DPR warta ekonomi,negative,-0.8555,6,0.5271
322,2016-11-29T08:33:42.000Z,Ada berapa jumlah Muslim di DPR MPR??? kenapa harus Rakyat yg DEMO? Kan ada Wakil Rakyat? ADP,ada berapa jumlah muslim di DPR MPR ? ? kenapa harus rakyat yang DEMO ? kan ada wakil rakyat ? ADP,negative,-0.6739,5,0.5814
323,2016-12-01T15:09:44.000Z,Tanpa Dihadiri Akom Bamus Gelar Rapat Paripurna Terkait Pergantian Ketua,tanpa dihadiri akom bamus gelar rapat paripurna terkait pergantian ketua,negative,-0.2023,1,0.4336
326,2016-12-01T11:41:11.000Z,Kebijakan Pemerintah Soal WNA Dinilai Mengkhawatirkan,kebijakan pemerintah soal WNA dinilai mengkhawatirkan,negative,-0.3680,2,0.7464
328,2016-12-01T09:52:48.000Z,menyampaikan temuan dan usulan kebijakan terkait sekolah rusak kepada Bapak Ferdiansyah Wakil Ketua Komisi X DPR RI,menyampaikan temuan dan usulan kebijakan terkait sekolah rusak kepada bapak ferdiansyah wakil ketua komisi kali DPR RI,negative,-0.3818,3,0.4119
340,2016-11-30T10:40:09.000Z,Nungguin yg lagi rapat reses bersama DPR RI lainnya Berawal Dari Tatap by Yura Yunita,menunggu yang lagi rapat reses bersama DPR RI lainnya berawal dari tatap by yura yunita,negative,-0.3818,3,0.3767
