no,timestamp,teks,teks_processed,sentiment,compound_score,tokens_lda,teks_lda_clean
94,2016-12-20T09:28:19.000Z,Kebijakan Bebas Visa Dinilai Perlu Dievaluasi News,kebijakan bebas visa dinilai perlu dievaluasi news,negative,-0.3818,"['kebijakan', 'bebas', 'visa', 'dinilai', 'dievaluasi', 'news']",kebijakan bebas visa dinilai dievaluasi news
95,2016-12-20T09:27:27.000Z,Dwi Murdaningsih Kebijakan Bebas Visa Dinilai Perlu Dievaluasi,dwi murdaningsih kebijakan bebas visa dinilai perlu dievaluasi,negative,-0.3818,"['dwi', 'murdaningsih', 'kebijakan', 'bebas', 'visa', 'dinilai', 'dievaluasi']",dwi murdaningsih kebijakan bebas visa dinilai dievaluasi
96,2016-12-20T07:50:32.000Z,Berkunjung ke DPR RI diterima Setjen bagian Bamus Krn DPR RInya masa reses,berkunjung ke DPR RI diterima setjen bagian bamus karena DPR rinya masa reses,negative,-0.8192,"['berkunjung', 'diterima', 'setjen', 'bamus', 'rinya', 'reses']",berkunjung diterima setjen bamus rinya reses
97,2016-12-20T05:18:42.000Z,Anggota Komisi I DPR RI Jazuli Juwaini data Dirjen Imigrasi Kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah Tiongkok,anggota komisi i DPR RI jazuli juwaini data dirjen imigrasi kemenkumham WNA paling banyak melanggar kebijakan bebas visa adalah tiongkok,negative,-0.8986,"['komisi', 'jazuli', 'juwaini', 'data', 'dirjen', 'imigrasi', 'kemenkumham', 'wna', 'melanggar', 'kebijakan', 'bebas', 'visa', 'tiongkok']",komisi jazuli juwaini data dirjen imigrasi kemenkumham wna melanggar kebijakan bebas visa tiongkok
98,2016-12-20T05:17:26.000Z,Anggota Komisi I DPR RI Jazuli Juwaini munculnya kekhawatiran dugaan pelanggaran WNA yg memanfaatkan kebijakan pemerintah pembebasan visa,anggota komisi i DPR RI jazuli juwaini munculnya kekhawatiran dugaan pelanggaran WNA yang memanfaatkan kebijakan pemerintah pembebasan visa,negative,-0.8112,"['komisi', 'jazuli', 'juwaini', 'munculnya', 'kekhawatiran', 'dugaan', 'pelanggaran', 'wna', 'memanfaatkan', 'kebijakan', 'pemerintah', 'pembebasan', 'visa']",komisi jazuli juwaini munculnya kekhawatiran dugaan pelanggaran wna memanfaatkan kebijakan pemerintah pembebasan visa
104,2016-12-19T23:18:25.000Z,Knp diam?FungsiDPR apa?Jd penontn? DPR Sdh Lama Waspadai Dampak Buruk Kebijakan Bebas Visa,kenapa diam ? fungsidpr apa ? jd penontn ? DPR sudah lama waspadai dampak buruk kebijakan bebas visa,negative,-0.9342,"['diam', 'fungsidpr', 'penontn', 'waspadai', 'dampak', 'buruk', 'kebijakan', 'bebas', 'visa']",diam fungsidpr penontn waspadai dampak buruk kebijakan bebas visa
106,2016-12-19T17:40:17.000Z,Emnu Azamri Sebagai Wakil Rakyat Saya Tak Takut Reses,emnu azamri sebagai wakil rakyat saya tak takut reses,negative,-0.423,"['emnu', 'azamri', 'wakil', 'rakyat', 'takut', 'reses']",emnu azamri wakil rakyat takut reses
108,2016-12-19T12:34:24.000Z,Jika salah kebijakan yg bahayakan keutuhan kdaulatan negara rakyat jgn takut ingatkan demi bangsa,jika salah kebijakan yang bahayakan keutuhan kdaulatan negara rakyat jangan takut ingatkan demi bangsa,negative,-0.791,"['salah', 'kebijakan', 'bahayakan', 'keutuhan', 'kdaulatan', 'negara', 'rakyat', 'takut', 'ingatkan', 'bangsa']",salah kebijakan bahayakan keutuhan kdaulatan negara rakyat takut ingatkan bangsa
110,2016-12-19T11:20:09.000Z,hrs kaji kebijakan jika langgar konstitusi RI maka lengserkan dg konstitusi bkn makar,harus kaji kebijakan jika langgar konstitusi RI maka lengserkan dengan konstitusi bukan makar,negative,-0.6369,"['kaji', 'kebijakan', 'langgar', 'konstitusi', 'lengserkan', 'konstitusi', 'makar']",kaji kebijakan langgar konstitusi lengserkan konstitusi makar
111,2016-12-19T10:53:11.000Z,Wakil Rakyat Ini Beberkan Argumen Telak untuk Tolak Komunisme di Indonesia,wakil rakyat ini beberkan argumen telak untuk tolak komunisme di indonesia,negative,-0.8689,"['wakil', 'rakyat', 'beberkan', 'argumen', 'telak', 'tolak', 'komunisme', 'indonesia']",wakil rakyat beberkan argumen telak tolak komunisme indonesia
115,2016-12-19T02:45:01.000Z,Siapa bilang Dewan Perwakilan Rakyat bekerja lambat? Revisi Undang Undang tentang MPR DPR DPD dan DPRD,siapa bilang dewan perwakilan rakyat bekerja lambat ? revisi undang undang tentang MPR DPR DPD dan DPRD,negative,-0.2247,"['bilang', 'dewan', 'perwakilan', 'rakyat', 'lambat', 'revisi', 'undang', 'undang', 'mpr', 'dpd', 'dprd']",bilang dewan perwakilan rakyat lambat revisi undang undang mpr dpd dprd
119,2016-12-18T04:44:48.000Z,sehingga Tidak Bisa Sesuai Ke inginan Tapi seauai Undang Undang tapi mau gmna U U nya Jga Ga Solid ya salah Warga,sehingga tidak bisa sesuai ke inginan tetapi seauai undang undang tetapi mau bagaimana kamu kamu nya juga tidak solid ya salah warga,negative,-0.849,"['sesuai', 'inginan', 'seauai', 'undang', 'undang', 'solid', 'salah', 'warga']",sesuai inginan seauai undang undang solid salah warga
120,2016-12-18T04:43:39.000Z,harus Menegakan Hukum Sesuai Undang Undang kalau tidak Sesuai Tentu Harus Ada Penegak Untuk Penegak Hukum,harus menegakan hukum sesuai undang undang jika tidak sesuai tentu harus ada penegak untuk penegak hukum,negative,-0.5632,"['menegakan', 'hukum', 'sesuai', 'undang', 'undang', 'sesuai', 'penegak', 'penegak', 'hukum']",menegakan hukum sesuai undang undang sesuai penegak penegak hukum
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR meminta TNI AU investigasi kecelakaan hercules mereka siap jika harus membuat kebijakan newstoday,negative,-0.8531,"['viva', 'tni', 'investigasi', 'kecelakaan', 'hercules', 'kebijakan', 'newstoday']",viva tni investigasi kecelakaan hercules kebijakan newstoday
124,2016-12-17T04:55:42.000Z,Jangan lupa pak diperjuangkan pengesahan REVISI terbatas uu asn,jangan lupa pak diperjuangkan pengesahan REVISI terbatas uu asn,negative,-0.2924,"['lupa', 'diperjuangkan', 'pengesahan', 'revisi', 'terbatas', 'asn']",lupa diperjuangkan pengesahan revisi terbatas asn
125,2016-12-17T03:08:13.000Z,Banyak anggota dpr tak hadiri rapat paripurna kamis lalu cuma disuruh datang duduk dengar diam dan duit saja koq susah,banyak anggota dpr tak hadiri rapat paripurna kamis lalu cuma disuruh datang duduk dengar diam dan duit saja kok susah,negative,-0.919,"['hadiri', 'kamis', 'disuruh', 'duduk', 'dengar', 'diam', 'duit', 'susah']",hadiri kamis disuruh duduk dengar diam duit susah
126,2016-12-17T02:56:00.000Z,SuaraBerjutaTelinga biem_benjamin DPR_RI Semua hrs melalui payung hukum yaitu Undang Undang,suaraberjutatelinga biem_benjamin DPR_RI semua harus melalui payung hukum yaitu undang undang,negative,-0.3818,"['suaraberjutatelinga', 'payung', 'hukum', 'undang', 'undang']",suaraberjutatelinga payung hukum undang undang
127,2016-12-17T02:38:56.000Z,SuaraBerjutaTelinga Semua hrs melalui payung hukum yaitu Undang Undang,suaraberjutatelinga semua harus melalui payung hukum yaitu undang undang,negative,-0.3818,"['suaraberjutatelinga', 'payung', 'hukum', 'undang', 'undang']",suaraberjutatelinga payung hukum undang undang
128,2016-12-17T02:29:44.000Z,Anggota DPR AS ajukan RUU untuk hentikan pendanaan AS ke al Qaeda ISIS di Suriah u jatuhkan Assad,anggota DPR AS ajukan RUU untuk hentikan pendanaan AS ke al qaeda ISIS di suriah kamu jatuhkan assad,negative,-0.368,"['ajukan', 'hentikan', 'pendanaan', 'qaeda', 'isis', 'suriah', 'jatuhkan', 'assad']",ajukan hentikan pendanaan qaeda isis suriah jatuhkan assad
130,2016-12-17T01:10:58.000Z,DPR Indonesia Tidak Butuh Ormas Asing Batalkan!,DPR indonesia tidak butuh ormas asing batalkan !,negative,-0.3252,"['indonesia', 'butuh', 'ormas', 'asing', 'batalkan']",indonesia butuh ormas asing batalkan
134,2016-12-17T00:18:06.000Z,BreakingNews Protes Pemanggilan Eko Patrio DPR Panggil Kapolri Setelah Reses Komisi III DPR RI akan memanggil Kapolri Jenderal followMe,breakingnews protes pemanggilan eko patrio DPR panggil kapolri setelah reses komisi II DPR RI akan memanggil kapolri jenderal followme,negative,-0.516,"['breakingnews', 'protes', 'pemanggilan', 'eko', 'patrio', 'panggil', 'kapolri', 'reses', 'komisi', 'memanggil', 'kapolri', 'jenderal', 'followme']",breakingnews protes pemanggilan eko patrio panggil kapolri reses komisi memanggil kapolri jenderal followme
157,2016-12-15T23:45:05.000Z,Radio ANDIKA Dewan Perwakilan Rakyat mengesahkan agar Rancangan Undang Undang tentang Pertembakauan menjadi,radio ANDIKA dewan perwakilan rakyat mengesahkan agar rancangan undang undang tentang pertembakauan menjadi,negative,-0.3818,"['radio', 'andika', 'dewan', 'perwakilan', 'rakyat', 'mengesahkan', 'rancangan', 'undang', 'undang', 'pertembakauan']",radio andika dewan perwakilan rakyat mengesahkan rancangan undang undang pertembakauan
159,2016-12-15T20:23:13.000Z,DPR RI Setujui RUU Penetapan Batas Laut Indonesia Singapura,DPR RI setujui RUU penetapan batas laut indonesia singapura,negative,-0.6289,"['setujui', 'penetapan', 'batas', 'laut', 'indonesia', 'singapura']",setujui penetapan batas laut indonesia singapura
162,2016-12-15T14:24:17.000Z,Pembahasan RUU Terorisme dan RUU Wawasan Nusantara Diperpanjang,pembahasan RUU terorisme dan RUU wawasan nusantara diperpanjang,negative,-0.5766,"['pembahasan', 'terorisme', 'wawasan', 'nusantara', 'diperpanjang']",pembahasan terorisme wawasan nusantara diperpanjang
171,2016-12-15T09:40:20.000Z,Berita Malang DPR RI Akhirnya Mengesahkan RUU Jasa Konstruksi Menjadi Undang Undang,berita malang DPR RI akhirnya mengesahkan RUU jasa konstruksi menjadi undang undang,negative,-0.7739,"['berita', 'malang', 'mengesahkan', 'jasa', 'konstruksi', 'undang', 'undang']",berita malang mengesahkan jasa konstruksi undang undang
178,2016-12-15T05:43:42.000Z,Perpanjangan pembahasan waktu RUU Pemberantasan Tindak Pidana Terorisme RUU Wawasan Nusantara disetujui ParipurnaLive,perpanjangan pembahasan waktu RUU pemberantasan tindak pidana terorisme RUU wawasan nusantara disetujui paripurnalive,negative,-0.2808,"['perpanjangan', 'pembahasan', 'pemberantasan', 'tindak', 'pidana', 'terorisme', 'wawasan', 'nusantara', 'disetujui', 'paripurnalive']",perpanjangan pembahasan pemberantasan tindak pidana terorisme wawasan nusantara disetujui paripurnalive
179,2016-12-15T05:41:58.000Z,Agenda ke Pengesahan Perpanjangan Waktu Pembahasan RUU Pemberantasan Tindak Pidana Terorisme RUU Wawasan Nusantara ParipurnaLive,agenda ke pengesahan perpanjangan waktu pembahasan RUU pemberantasan tindak pidana terorisme RUU wawasan nusantara paripurnalive,negative,-0.1027,"['agenda', 'pengesahan', 'perpanjangan', 'pembahasan', 'pemberantasan', 'tindak', 'pidana', 'terorisme', 'wawasan', 'nusantara', 'paripurnalive']",agenda pengesahan perpanjangan pembahasan pemberantasan tindak pidana terorisme wawasan nusantara paripurnalive
185,2016-12-15T04:54:56.000Z,Sidang Paripurna DPR RI sahkan RUU ttg Pengesahan Perjanjian Penetapan Garis Batas Laut Wilayah RI Singapura,sidang paripurna DPR RI sahkan RUU tentang pengesahan perjanjian penetapan garis batas laut wilayah RI singapura,negative,-0.7739,"['sidang', 'sahkan', 'pengesahan', 'perjanjian', 'penetapan', 'garis', 'batas', 'laut', 'wilayah', 'singapura']",sidang sahkan pengesahan perjanjian penetapan garis batas laut wilayah singapura
191,2016-12-15T04:17:58.000Z,Agenda ke Pembicaraan Tk II RUU Pengesahan Perjanjian antara RI Singapura tentang Penetapan Garis Batas Laut ParipurnaLive,agenda ke pembicaraan tak II RUU pengesahan perjanjian antara RI singapura tentang penetapan garis batas laut paripurnalive,negative,-0.7739,"['agenda', 'pembicaraan', 'pengesahan', 'perjanjian', 'singapura', 'penetapan', 'garis', 'batas', 'laut', 'paripurnalive']",agenda pembicaraan pengesahan perjanjian singapura penetapan garis batas laut paripurnalive
192,2016-12-15T04:10:17.000Z,Pandangan fraksi thdp RUU usul inisiatif anggota DPR terkait RUU Pertembakauan AgendaDPR SidangParipurna,pandangan fraksi terhadap RUU usul inisiatif anggota DPR terkait RUU pertembakauan agendadpr sidangparipurna,negative,-0.6289,"['pandangan', 'fraksi', 'usul', 'inisiatif', 'terkait', 'pertembakauan', 'agendadpr', 'sidangparipurna']",pandangan fraksi usul inisiatif terkait pertembakauan agendadpr sidangparipurna
196,2016-12-15T03:12:24.000Z,DPR Serahkan DIM RUU Pemberantasan Terorisme kepada Menkumham,DPR serahkan DIM RUU pemberantasan terorisme kepada menkumham,negative,-0.5766,"['serahkan', 'dim', 'pemberantasan', 'terorisme', 'menkumham']",serahkan dim pemberantasan terorisme menkumham
201,2016-12-15T00:07:42.000Z,Anggota DPR Masih Terus Berdebat soal Aturan Pidana Seks Pranikah RUU KUHP Belum Bisa Ketuk Palu,anggota DPR masih terus berdebat soal aturan pidana seks pranikah RUU KUHP belum bisa ketuk palu,negative,-0.8374,"['berdebat', 'aturan', 'pidana', 'seks', 'pranikah', 'kuhp', 'ketuk', 'palu']",berdebat aturan pidana seks pranikah kuhp ketuk palu
